,weight2011,weight2021,height2011,height2021
226,74.0,72,182.0,175
227,69.0,71,178.0,182
228,80.0,73,182.0,184
229,64.0,78,174.0,187
230,76.0,68,181.0,180
231,73.0,74,173.0,178
232,75.0,86,181.0,190
233,75.0,74,183.0,180
234,77.0,72,184.0,175
235,85.0,62,189.0,175
236,72.0,79,171.0,186
237,78.0,80,178.0,190
238,72.0,84,191.0,186
239,78.0,72,187.0,177
240,72.0,69,176.0,177
241,72.0,85,180.0,186
242,76.0,78,183.0,183
243,70.0,68,179.0,180
244,73.0,78,178.0,186
245,65.0,81,178.0,187
246,88.0,71,194.0,178
247,79.0,72,183.0,174
248,84.0,82,188.0,192
249,71.0,70,173.0,178
250,70.0,70,183.0,170
251,77.0,77,186.0,173
252,74.0,83,178.0,191
253,79.0,79,181.0,177
254,75.0,66,173.0,170
255,85.0,63,192.0,178
256,67.0,70,167.0,174
257,79.0,76,180.0,192
258,67.0,79,178.0,184
259,74.0,89,181.0,193
260,79.0,73,186.0,181
261,78.0,73,189.0,198
262,72.0,68,183.0,173
263,71.0,67,169.0,173
264,76.0,66,183.0,170
265,73.0,71,180.0,183
266,76.0,75,191.0,177
267,74.0,65,176.0,167
268,70.0,64,173.0,170
269,71.0,70,180.0,181
270,61.0,85,165.0,189
271,68.0,81,180.0,181
272,69.0,83,177.0,188
273,79.0,80,184.0,182
274,80.0,71,186.0,180
275,74.0,80,183.0,185
276,81.0,65,184.0,182
277,76.0,83,184.0,188
278,74.0,76,182.0,184
279,78.0,78,185.0,195
280,74.0,80,183.0,189
281,77.0,75,183.0,180
282,85.0,88,181.0,196
283,77.0,70,188.0,177
284,74.0,75,178.0,185
285,72.0,70,180.0,181
286,72.0,78,172.0,184
287,89.0,77,188.0,178
288,73.0,76,185.0,177
289,84.0,77,187.0,187
290,76.0,77,183.0,186
291,73.0,81,181.0,186
292,72.0,80,179.0,187
293,75.0,83,175.0,187
294,71.0,84,178.0,184
295,65.0,81,166.0,192
296,78.0,72,182.0,181
297,71.0,73,175.0,184
298,75.0,61,180.0,175
299,71.0,81,173.0,186
300,70.0,87,187.0,191
301,67.0,92,173.0,190
302,77.0,83,182.0,190
303,78.0,82,183.0,192
304,83.0,80,191.0,186
305,70.0,70,171.0,178
306,87.0,68,196.0,180
307,70.0,68,175.0,177
308,77.0,74,175.0,177
309,70.0,72,180.0,174
310,74.0,79,180.0,185
311,76.0,81,179.0,180
312,68.0,70,174.0,180
313,74.0,73,180.0,182
314,79.0,75,188.0,186
315,66.0,69,176.0,183
316,82.0,79,183.0,187
317,73.0,71,175.0,175
318,71.0,66,180.0,171
319,82.0,70,191.0,183
320,83.0,75,188.0,181
321,78.0,81,182.0,187
322,68.0,84,172.0,188
323,92.0,74,195.0,183
324,75.0,70,183.0,171
325,83.0,79,190.0,183
326,74.0,86,183.0,192
327,70.0,71,174.0,184
328,73.0,82,171.0,180
329,82.0,90,189.0,195
330,80.0,65,182.0,170
331,78.0,84,181.0,195
332,83.0,71,193.0,178
333,64.0,76,167.0,180
334,67.0,74,169.0,183
335,70.0,74,175.0,175
336,84.0,87,186.0,196
337,85.0,75,185.0,189
338,80.0,78,191.0,182
339,84.0,80,183.0,184
340,75.0,67,184.0,177
341,80.0,72,181.0,171
342,77.0,68,180.0,170
343,84.0,71,187.0,178
344,81.0,55,185.0,166
345,76.0,83,183.0,182
346,76.0,65,180.0,173
347,82.0,81,184.0,186
348,68.0,74,176.0,193
349,68.0,72,175.0,175
350,72.0,80,190.0,180
351,70.0,78,185.0,178
352,68.0,72,171.0,175
353,80.0,77,184.0,173
354,80.0,81,188.0,191
355,75.0,72,184.0,173
356,78.0,73,180.0,183
357,72.0,78,176.0,187
358,83.0,65,187.0,171
359,63.0,72,173.0,173
360,68.0,72,168.0,180
361,64.0,81,183.0,184
362,84.0,88,192.0,191
363,77.0,66,180.0,167
364,70.0,69,175.0,178
365,74.0,76,185.0,191
366,76.0,78,181.0,180
367,60.0,75,180.0,180
368,70.0,81,180.0,190
369,74.0,82,181.0,181
370,70.0,76,175.0,186
371,67.0,78,171.0,185
372,57.0,78,165.0,185
373,79.0,67,191.0,175
374,81.0,88,181.0,188
375,84.0,82,188.0,184
376,76.0,81,180.0,184
377,75.0,81,174.0,183
378,78.0,65,184.0,170
379,65.0,79,175.0,192
380,73.0,73,182.0,180
381,81.0,74,188.0,178
382,68.0,64,174.0,170
383,74.0,73,180.0,175
384,78.0,82,175.0,183
385,72.0,73,173.0,172
386,71.0,78,178.0,174
387,86.0,81,192.0,190
388,98.0,84,194.0,187
389,79.0,81,180.0,178
390,79.0,67,189.0,170
391,74.0,75,181.0,182
392,79.0,71,179.0,185
393,73.0,69,184.0,175
394,75.0,70,184.0,177
395,66.0,69,178.0,174
396,74.0,78,186.0,185
397,71.0,66,173.0,181
398,62.0,73,167.0,175
399,70.0,88,174.0,185
400,68.0,75,178.0,175
401,77.0,77,187.0,183
402,74.0,80,185.0,187
403,74.0,63,176.0,174
404,74.0,72,181.0,174
405,73.0,80,178.0,189
406,68.0,73,188.0,179
407,89.0,68,193.0,173
408,65.0,65,170.0,174
409,78.0,74,188.0,178
410,72.0,84,182.0,187
411,89.0,83,191.0,188
412,84.0,77,185.0,184
413,78.0,73,179.0,180
414,78.0,73,185.0,179
415,79.0,80,186.0,184
416,73.0,74,180.0,183
417,73.0,68,176.0,169
418,69.0,61,174.0,178
419,80.0,72,192.0,188
420,76.0,75,178.0,180
421,85.0,68,186.0,171
422,72.0,80,175.0,178
423,70.0,70,178.0,173
424,71.0,79,180.0,187
425,70.0,73,178.0,185
426,80.0,80,185.0,188
427,86.0,75,186.0,176
428,78.0,88,182.0,188
429,75.0,66,175.0,180
430,65.0,80,169.0,186
431,71.0,71,176.0,174
432,69.0,66,177.0,178
433,83.0,88,185.0,192
434,72.0,65,184.0,183
435,72.0,92,178.0,196
436,68.0,87,179.0,196
437,78.0,75,182.0,187
438,73.0,71,178.0,180
439,63.0,88,174.0,188
440,75.0,79,182.0,184
441,70.0,75,180.0,180
442,68.0,80,174.0,187
443,69.0,75,180.0,181
444,70.0,62,180.0,170
445,89.0,76,197.0,190
446,77.0,68,184.0,178
447,84.0,88,187.0,189
448,75.0,65,188.0,170
449,72.0,69,180.0,183
450,74.0,72,178.0,170
451,69.0,75,169.0,178
452,80.0,85,180.0,195
453,72.0,90,184.0,193
454,79.0,65,183.0,173
455,75.0,80,183.0,186
456,71.0,78,174.0,183
457,72.0,77,183.0,180
458,75.0,67,176.0,181
459,76.0,67,184.0,176
460,72.0,78,180.0,185
461,85.0,76,181.0,179
462,70.0,63,176.0,174
463,80.0,74,188.0,179
464,67.0,88,175.0,190
465,86.0,70,189.0,178
466,68.0,85,170.0,192
467,70.0,88,178.0,185
468,82.0,74,180.0,180
469,74.0,79,180.0,191
470,77.0,78,187.0,187
471,69.0,76,181.0,184
472,71.0,77,184.0,184
473,64.0,70,170.0,182
474,83.0,78,191.0,179
475,79.0,73,188.0,177
476,73.0,64,178.0,168
477,75.0,72,181.0,182
478,75.0,59,181.0,183
479,80.0,72,189.0,182
480,72.0,67,177.0,173
481,70.0,68,178.0,175
482,74.0,72,185.0,177
483,80.0,79,187.0,175
484,79.0,80,180.0,188
485,84.0,83,186.0,186
486,72.0,81,180.0,186
487,76.0,77,185.0,182
488,82.0,78,179.0,182
489,74.0,60,183.0,165
490,77.0,73,180.0,175
491,75.0,77,180.0,178
492,74.0,76,187.0,185
493,84.0,73,185.0,175
494,80.0,83,181.0,183
495,69.0,77,174.0,182
496,94.0,75,188.0,189
497,75.0,66,184.0,175
498,85.0,65,186.0,178
499,82.0,72,187.0,183
500,84.0,86,188.0,188
501,76.0,70,181.0,174
502,88.0,74,191.0,178
503,81.0,66,188.0,173
504,74.0,69,177.0,170
505,74.0,77,174.0,188
506,90.0,70,191.0,180
507,76.0,75,187.0,181
508,84.0,79,185.0,177
509,77.0,75,180.0,187
510,65.0,80,174.0,192
511,79.0,85,180.0,193
512,82.0,71,184.0,173
513,72.0,67,180.0,176
514,78.0,68,179.0,178
515,79.0,77,188.0,187
516,77.0,76,187.0,182
517,93.0,86,193.0,193
518,77.0,80,177.0,186
519,63.0,79,176.0,181
520,85.0,79,190.0,184
521,73.0,78,181.0,187
522,87.0,71,188.0,187
523,86.0,71,187.0,172
524,79.0,70,187.0,190
525,75.0,68,182.0,178
526,80.0,77,187.0,185
527,63.0,75,170.0,185
528,82.0,72,186.0,180
529,69.0,83,171.0,187
530,68.0,71,168.0,179
531,77.0,76,193.0,179
532,79.0,80,183.0,181
533,85.0,90,191.0,190
534,83.0,70,185.0,188
535,79.0,76,184.0,183
536,73.0,70,179.0,164
537,65.0,65,173.0,176
538,79.0,83,182.0,189
539,71.0,71,181.0,170
540,68.0,75,178.0,182
541,66.0,73,172.0,187
542,70.0,72,172.0,175
543,76.0,80,190.0,183
544,68.0,72,172.0,173
545,68.0,72,174.0,175
546,80.0,76,189.0,184
547,75.0,91,177.0,198
548,75.0,64,185.0,169
549,77.0,69,185.0,175
550,79.0,68,183.0,175
551,76.0,68,184.0,182
552,86.0,81,193.0,188
553,67.0,91,177.0,188
554,79.0,68,191.0,173
555,77.0,65,186.0,167
556,73.0,70,187.0,175
557,87.0,81,192.0,190
558,75.0,71,183.0,178
559,64.0,81,167.0,179
560,81.0,75,187.0,197
561,72.0,73,178.0,178
562,78.0,72,185.0,180
563,79.0,70,182.0,178
564,71.0,71,184.0,185
565,79.0,80,188.0,183
566,68.0,72,175.0,182
567,70.0,83,178.0,183
568,75.0,72,188.0,180
569,66.0,66,178.0,167
570,68.0,60,175.0,173
571,75.0,69,184.0,177
572,78.0,73,187.0,173
573,74.0,66,174.0,178
574,79.0,97,185.0,195
575,81.0,86,184.0,188
576,78.0,75,184.0,184
577,82.0,84,183.0,186
578,70.0,66,180.0,169
579,75.0,78,173.0,188
580,75.0,76,180.0,184
581,67.0,78,178.0,184
582,62.0,62,165.0,173
583,67.0,73,170.0,180
584,74.0,76,178.0,181
585,77.0,78,177.0,181
586,75.0,67,180.0,167
587,72.0,72,178.0,183
588,62.0,67,171.0,170
589,76.0,75,180.0,177
590,70.0,75,175.0,180
591,75.0,69,174.0,168
592,80.0,75,185.0,180
593,73.0,79,177.0,183
594,82.0,75,181.0,176
595,73.0,72,182.0,180
596,71.0,76,176.0,182
597,68.0,80,178.0,188
598,79.0,77,183.0,179
599,71.0,69,179.0,174
600,75.0,79,180.0,179
601,72.0,79,180.0,183
602,77.0,73,184.0,181
603,75.0,70,175.0,173
604,95.0,75,194.0,183
605,90.0,75,193.0,184
606,71.0,70,184.0,174
607,74.0,75,182.0,179
608,73.0,73,178.0,173
609,72.0,80,179.0,186
610,70.0,80,177.0,190
611,75.0,90,172.0,187
612,74.0,68,184.0,178
613,72.0,88,181.0,192
614,82.0,81,180.0,186
615,80.0,82,182.0,190
616,72.0,79,169.0,183
617,70.0,63,178.0,178
618,71.0,79,183.0,186
619,77.0,67,188.0,180
620,78.0,68,185.0,168
621,64.0,74,172.0,176
622,77.0,66,178.0,178
623,74.0,92,180.0,196
624,70.0,76,185.0,187
625,76.0,93,180.0,196
626,80.0,75,188.0,181
627,79.0,75,178.0,186
628,66.0,78,175.0,188
629,81.0,72,183.0,179
630,82.0,75,187.0,181
631,76.0,78,180.0,179
632,77.0,82,183.0,177
633,86.0,76,187.0,177
634,65.0,76,175.0,182
635,68.0,86,172.0,184
636,76.0,71,178.0,182
637,77.0,87,183.0,189
638,75.0,81,178.0,188
639,77.0,72,183.0,175
640,57.0,80,170.0,188
641,76.0,79,175.0,186
642,64.0,78,173.0,180
643,81.0,73,188.0,178
644,81.0,80,193.0,188
645,70.0,84,180.0,184
646,66.0,68,183.0,182
647,65.0,80,173.0,183
648,74.0,78,182.0,183
649,82.0,80,187.0,181
650,81.0,69,191.0,180
651,70.0,81,170.0,188
652,83.0,78,187.0,184
653,80.0,83,186.0,187
654,71.0,66,176.0,172
655,73.0,70,173.0,171
656,74.0,64,190.0,175
657,76.0,65,184.0,167
658,70.0,76,180.0,176
659,78.0,87,188.0,191
660,85.0,71,190.0,182
661,80.0,74,187.0,184
662,76.0,70,180.0,177
663,70.0,70,175.0,190
664,75.0,66,180.0,173
665,91.0,77,197.0,183
666,88.0,75,187.0,185
667,78.0,75,183.0,178
668,79.0,67,187.0,178
669,69.0,77,176.0,187
670,80.0,77,180.0,182
671,70.0,73,184.0,181
672,65.0,78,170.0,180
673,70.0,73,180.0,179
674,63.0,78,171.0,182
675,73.0,71,185.0,173
676,72.0,75,174.0,189
677,68.0,64,173.0,169
678,71.0,79,178.0,191
679,70.0,78,174.0,194
680,70.0,77,185.0,186
681,74.0,68,176.0,183
682,80.0,75,186.0,183
683,72.0,70,171.0,175
684,71.0,64,180.0,178
685,72.0,82,178.0,194
686,69.0,79,170.0,188
687,75.0,85,175.0,187
688,70.0,64,175.0,168
689,83.0,78,188.0,181
690,76.0,61,186.0,166
691,74.0,68,174.0,183
692,75.0,75,182.0,188
693,81.0,70,185.0,186
694,80.0,70,188.0,173
695,71.0,68,183.0,175
696,76.0,62,186.0,171
697,77.0,70,185.0,170
698,76.0,70,185.0,169
699,85.0,79,187.0,191
700,79.0,87,186.0,182
701,75.0,85,180.0,190
702,76.0,70,177.0,175
703,67.0,74,175.0,183
704,82.0,80,184.0,193
705,78.0,69,186.0,182
706,79.0,75,183.0,189
707,73.0,68,182.0,180
708,72.0,87,178.0,191
709,72.0,88,179.0,201
710,65.0,82,180.0,186
711,86.0,75,191.0,181
712,84.0,79,187.0,188
713,77.0,76,191.0,177
714,83.0,56,188.0,169
715,85.0,70,195.0,177
716,81.0,81,187.0,181
717,89.0,65,190.0,174
718,72.0,79,178.0,185
719,82.0,80,183.0,187
720,84.0,71,185.0,170
721,71.0,70,174.0,184
722,82.0,60,192.0,165
723,93.0,73,197.0,175
724,79.0,70,187.0,173
725,75.0,76,183.0,183
726,76.0,77,181.0,178
727,77.0,80,181.0,184
728,83.0,81,191.0,185
729,78.0,70,180.0,180
730,80.0,83,182.0,185
731,80.0,71,184.0,180
732,77.0,70,185.0,179
733,77.0,82,180.0,186
734,77.0,79,184.0,180
735,99.0,78,190.0,186
736,74.0,73,177.0,183
737,60.0,77,171.0,182
738,70.0,66,178.0,172
739,75.0,72,170.0,175
740,75.0,74,191.0,180
741,82.0,78,181.0,188
742,77.0,78,186.0,186
743,75.0,83,174.0,185
744,81.0,72,183.0,182
745,72.0,64,186.0,179
746,75.0,66,179.0,171
747,85.0,94,191.0,191
748,68.0,70,173.0,170
749,73.0,70,183.0,175
750,73.0,85,175.0,193
751,67.0,71,174.0,174
752,69.0,80,170.0,181
753,75.0,72,190.0,186
754,71.0,69,174.0,176
755,80.0,82,185.0,185
756,82.0,77,192.0,188
757,80.0,85,183.0,183
758,87.0,72,188.0,177
759,70.0,79,185.0,188
760,87.0,70,196.0,173
761,72.0,88,183.0,187
762,69.0,86,182.0,192
763,70.0,75,170.0,183
764,80.0,70,183.0,185
765,86.0,63,190.0,167
766,76.0,77,183.0,183
767,73.0,68,182.0,175
768,75.0,67,180.0,173
769,77.0,83,185.0,186
770,72.0,72,185.0,179
771,75.0,83,180.0,189
772,74.0,72,174.0,177
773,90.0,75,193.0,180
774,77.0,77,190.0,187
775,73.0,78,185.0,185
776,73.0,69,183.0,179
777,68.0,64,181.0,172
778,69.0,73,177.0,174
779,74.0,70,183.0,176
780,64.0,89,168.0,188
781,74.0,82,174.0,177
782,72.0,76,173.0,178
783,80.0,68,183.0,173
784,70.0,75,176.0,179
785,74.0,84,178.0,180
786,74.0,72,177.0,180
787,83.0,69,189.0,179
788,78.0,76,180.0,189
789,82.0,66,188.0,181
790,72.0,74,174.0,182
791,81.0,74,187.0,181
792,70.0,75,183.0,188
793,70.0,71,174.0,178
794,82.0,74,186.0,176
795,80.0,74,183.0,185
796,78.0,83,184.0,190
797,78.0,69,188.0,178
798,72.0,72,183.0,175
799,72.0,70,178.0,175
800,77.0,72,182.0,182
801,67.0,67,172.0,170
802,76.0,70,180.0,176
803,81.0,79,181.0,178
804,81.0,72,185.0,177
805,71.0,65,174.0,174
806,77.0,81,184.0,185
807,70.0,84,170.0,190
808,90.0,83,191.0,189
809,84.0,72,191.0,178
810,72.0,71,180.0,175
811,71.0,79,177.0,185
812,74.0,68,180.0,174
813,82.0,70,190.0,179
814,65.0,72,171.0,177
815,74.0,70,182.0,176
816,64.0,66,177.0,175
817,79.0,70,187.0,173
818,62.0,77,174.0,190
819,72.0,69,189.0,193
820,78.0,70,189.0,169
821,69.0,72,179.0,180
822,71.0,72,186.0,178
823,70.0,79,178.0,190
824,79.0,73,188.0,185
825,81.0,75,189.0,182
826,74.0,64,180.0,169
827,65.0,75,174.0,178
828,80.0,75,185.0,187
829,75.0,67,185.0,171
830,75.0,73,180.0,180
831,72.0,70,185.0,174
832,77.0,68,190.0,170
833,75.0,68,180.0,173
834,79.0,80,182.0,185
835,74.0,73,180.0,176
836,83.0,81,184.0,188
837,74.0,82,175.0,192
838,75.0,82,182.0,191
839,69.0,60,172.0,170
840,75.0,79,183.0,193
841,62.0,83,167.0,196
842,70.0,63,175.0,173
843,72.0,70,180.0,185
844,82.0,94,187.0,196
845,58.0,68,172.0,178
846,87.0,75,187.0,183
847,73.0,72,178.0,178
848,60.0,61,166.0,167
849,76.0,75,183.0,177
850,70.0,77,178.0,183
851,70.0,83,172.0,188
852,86.0,65,190.0,170
853,60.0,83,178.0,187
854,89.0,70,196.0,184
855,84.0,66,191.0,170
856,68.0,74,165.0,177
857,68.0,61,179.0,170
858,80.0,75,180.0,193
859,67.0,71,175.0,184
860,68.0,78,171.0,182
861,75.0,74,170.0,184
862,83.0,73,191.0,183
863,67.0,75,177.0,177
864,75.0,77,182.0,183
865,69.0,71,175.0,176
866,72.0,74,170.0,177
867,76.0,87,174.0,193
868,78.0,68,184.0,168
869,72.0,85,185.0,188
870,78.0,86,184.0,186
871,68.0,64,173.0,180
872,91.0,88,188.0,188
873,66.0,67,172.0,170
874,65.0,72,170.0,178
875,82.0,80,194.0,180
876,64.0,69,178.0,174
877,79.0,83,180.0,190
878,72.0,85,177.0,190
879,79.0,75,185.0,190
880,83.0,71,185.0,173
881,84.0,77,184.0,184
882,83.0,73,190.0,179
883,76.0,72,185.0,177
884,77.0,73,181.0,181
885,67.0,70,170.0,176
886,77.0,72,183.0,185
887,75.0,75,171.0,185
888,71.0,73,176.0,170
889,79.0,72,189.0,193
890,62.0,76,167.0,189
891,82.0,81,186.0,187
892,82.0,72,191.0,175
893,77.0,67,185.0,173
894,68.0,81,180.0,181
895,95.0,85,193.0,188
896,78.0,80,182.0,187
897,80.0,77,180.0,180
898,73.0,77,186.0,188
899,71.0,75,176.0,177
900,69.0,70,178.0,175
901,80.0,79,190.0,188
902,78.0,66,185.0,173
903,82.0,82,183.0,188
904,73.0,66,180.0,175
905,78.0,77,185.0,183
906,73.0,79,182.0,187
907,75.0,62,180.0,165
908,73.0,75,178.0,183
909,71.0,78,180.0,192
910,85.0,75,186.0,183
911,94.0,78,195.0,187
912,76.0,67,177.0,180
913,84.0,76,188.0,180
914,89.0,75,191.0,187
915,64.0,68,169.0,176
916,78.0,71,176.0,168
917,58.0,78,171.0,193
918,66.0,78,173.0,176
919,82.0,93,185.0,194
920,73.0,86,185.0,190
921,75.0,86,181.0,192
922,70.0,77,175.0,185
923,75.0,70,178.0,174
924,69.0,70,180.0,170
925,85.0,83,185.0,190
926,72.0,83,178.0,175
927,70.0,88,177.0,193
928,75.0,87,179.0,190
929,71.0,91,173.0,191
930,80.0,70,191.0,184
931,80.0,76,186.0,188
932,91.0,70,188.0,177
933,78.0,59,182.0,167
934,69.0,78,175.0,185
935,78.0,62,189.0,169
936,74.0,80,185.0,189
937,73.0,75,182.0,192
938,70.0,70,175.0,180
939,72.0,79,180.0,186
940,75.0,69,179.0,170
941,84.0,70,191.0,175
942,70.0,84,176.0,188
943,74.0,70,181.0,173
944,80.0,72,182.0,183
945,76.0,72,179.0,187
946,82.0,62,188.0,168
947,75.0,66,184.0,174
948,72.0,74,177.0,183
949,75.0,91,175.0,194
950,72.0,68,188.0,173
951,78.0,78,178.0,182
952,68.0,69,168.0,174
953,76.0,86,179.0,188
954,70.0,71,178.0,179
955,75.0,74,181.0,178
956,75.0,77,186.0,190
957,80.0,69,184.0,179
958,74.0,84,183.0,190
959,83.0,96,183.0,199
960,80.0,76,184.0,176
961,70.0,76,174.0,183
962,65.0,75,174.0,180
963,77.0,68,180.0,176
964,77.0,82,186.0,192
965,78.0,68,183.0,175
966,75.0,70,178.0,183
967,80.0,66,188.0,170
968,82.0,73,189.0,180
969,80.0,78,186.0,178
970,78.0,68,188.0,178
971,74.0,78,182.0,177
972,84.0,67,173.0,168
973,69.0,78,178.0,189
974,72.0,77,181.0,183
975,65.0,91,175.0,193
976,84.0,76,188.0,188
977,77.0,65,182.0,169
978,73.0,65,180.0,170
979,76.0,79,186.0,185
980,68.0,78,180.0,190
981,79.0,80,184.0,190
982,71.0,69,180.0,182
983,65.0,65,176.0,169
984,65.0,78,176.0,186
985,75.0,70,183.0,182
986,81.0,83,190.0,191
987,75.0,60,175.0,170
988,76.0,79,189.0,183
989,64.0,63,174.0,173
990,67.0,75,185.0,173
991,75.0,70,184.0,177
992,72.0,77,179.0,183
993,67.0,80,172.0,191
994,75.0,64,180.0,170
995,75.0,72,173.0,179
996,71.0,78,181.0,177
