,t_real,t_feels_like,humidity,wind_speed
123,11.0,11.0,85.0,33.0
124,11.5,11.5,85.0,33.0
125,12.0,12.0,82.0,32.5
126,12.0,12.0,82.0,31.5
127,12.0,12.0,79.5,25.0
128,12.0,12.0,74.5,30.0
129,12.5,12.5,69.5,29.5
130,13.0,13.0,67.0,28.0
131,13.0,13.0,67.0,26.0
132,13.0,13.0,63.0,30.0
133,13.0,13.0,63.0,26.0
134,13.5,13.5,67.5,33.5
135,13.0,13.0,79.5,37.0
136,13.5,13.5,85.0,35.0
137,15.0,15.0,82.0,36.0
138,15.5,15.5,77.0,41.0
139,15.0,15.0,72.0,44.0
140,15.0,15.0,68.0,41.0
141,15.0,15.0,68.0,40.0
142,14.0,14.0,77.0,41.5
143,14.0,14.0,77.0,39.0
144,14.0,14.0,77.0,40.0
145,14.0,14.0,72.0,40.5
146,13.0,13.0,77.0,41.0
147,13.0,13.0,77.0,36.0
148,13.0,13.0,77.0,35.0
149,13.0,13.0,82.0,35.0
150,13.0,13.0,79.5,35.0
151,14.0,14.0,74.5,40.0
152,14.0,14.0,77.0,48.0
153,14.0,14.0,74.5,41.0
154,11.5,11.5,67.5,42.5
155,11.5,11.5,58.0,41.5
156,10.5,8.5,54.0,38.0
157,9.0,4.5,54.0,42.5
158,9.0,5.0,48.0,35.0
159,8.0,4.0,51.5,27.0
160,8.0,4.0,51.5,29.0
161,7.0,3.0,55.0,26.0
162,6.0,2.0,57.0,26.0
163,6.0,2.0,57.0,25.0
164,6.0,2.0,57.0,21.0
165,5.0,1.0,66.0,20.0
166,5.0,1.0,66.0,19.5
167,4.5,0.5,72.5,22.0
168,4.0,-0.5,75.0,22.0
169,4.0,-0.5,75.0,23.0
170,4.0,-1.0,75.0,27.0
171,4.0,-1.0,72.5,28.0
172,4.0,-1.0,70.0,27.0
173,4.5,0.0,68.0,24.0
174,5.0,1.0,66.0,24.0
175,5.0,0.0,66.0,29.5
176,5.5,0.5,63.5,29.0
177,6.5,2.0,61.0,30.0
178,7.5,3.5,59.0,27.0
179,8.5,4.5,55.5,27.0
180,9.0,5.0,56.0,28.0
181,9.0,5.0,60.0,28.0
182,8.5,5.0,64.0,26.0
183,8.0,4.5,66.0,23.0
184,8.0,5.0,71.0,20.5
185,8.0,4.0,73.5,25.0
186,8.0,4.0,73.5,24.0
187,8.0,4.5,71.0,26.0
188,8.0,4.0,71.0,30.0
189,9.0,5.0,66.0,37.0
190,9.0,5.0,71.0,30.5
191,9.0,5.0,68.5,29.0
192,10.0,6.0,60.0,34.0
193,10.0,7.0,64.5,30.0
194,10.0,6.5,67.0,30.5
195,10.0,6.5,67.0,33.5
196,10.0,6.0,67.0,35.0
197,10.0,6.0,73.5,31.0
198,10.0,7.0,76.0,30.0
199,10.0,6.0,76.0,31.0
200,11.5,11.5,67.0,32.5
201,12.0,12.0,67.0,33.0
202,12.0,12.0,74.5,39.0
203,12.0,12.0,79.5,29.5
204,12.0,12.0,79.5,29.5
205,12.5,12.5,77.0,33.0
206,12.0,12.0,82.0,25.0
207,12.0,12.0,82.0,22.5
208,11.5,11.5,88.0,22.0
209,11.0,11.0,94.0,22.0
210,11.5,11.5,85.0,22.0
211,12.0,12.0,82.0,20.0
212,12.0,12.0,85.0,18.5
213,12.0,12.0,88.0,21.0
214,12.0,12.0,88.0,23.0
215,12.0,12.0,88.0,25.0
216,12.0,12.0,88.0,30.0
217,11.5,11.5,88.0,24.5
218,11.0,11.0,85.0,19.0
219,11.0,11.0,82.0,21.0
220,10.5,9.0,79.5,21.0
221,10.0,7.5,82.0,20.5
222,9.5,6.5,79.0,21.0
223,9.0,6.5,71.0,16.0
224,9.0,6.0,71.0,18.0
225,9.0,6.5,71.0,17.5
226,9.0,6.0,68.5,18.0
227,9.5,6.5,64.0,20.5
228,9.0,5.5,73.5,27.5
229,8.5,4.5,71.0,29.0
230,8.0,4.5,73.5,21.5
231,7.5,4.0,68.5,23.0
232,7.0,3.0,71.0,22.0
233,7.0,4.5,71.0,14.0
234,6.0,2.5,76.0,19.5
235,5.5,1.5,76.0,21.0
236,5.0,1.0,76.0,23.0
237,5.0,2.0,76.0,17.0
238,5.0,1.0,70.0,19.5
239,5.0,0.5,66.0,26.0
240,5.0,0.0,66.0,30.0
241,5.0,0.5,66.0,24.0
242,4.5,0.5,72.5,21.0
243,4.5,1.5,72.5,14.0
244,5.0,1.5,70.0,17.5
245,5.0,1.0,70.0,23.0
246,4.5,-1.0,68.0,30.5
247,4.0,-1.0,70.0,26.0
248,4.5,-0.5,68.0,29.0
249,5.0,0.0,70.0,30.5
250,5.5,1.0,65.5,27.0
251,6.5,2.5,59.0,27.0
252,7.0,3.0,57.0,24.0
253,7.0,3.5,55.0,22.0
254,7.0,4.0,55.0,18.0
255,7.0,4.5,59.0,16.0
256,7.5,4.5,64.0,16.0
257,8.0,4.5,71.0,21.5
258,9.0,5.5,71.0,27.0
259,10.0,6.0,69.0,31.0
260,10.0,6.0,71.0,38.0
261,9.5,5.5,76.5,39.0
262,10.0,6.0,79.0,40.0
263,10.0,6.0,82.0,40.0
264,11.0,11.0,79.5,40.0
265,11.0,11.0,82.0,44.5
266,11.5,11.5,79.5,45.0
267,11.0,11.0,77.0,37.0
268,10.0,6.5,79.0,31.5
269,9.5,5.5,73.5,29.5
270,9.0,6.0,73.5,23.0
271,9.0,6.0,66.0,21.0
272,9.0,6.0,73.5,19.5
273,9.0,6.0,76.0,21.0
274,9.0,6.0,66.0,26.0
275,8.5,5.0,71.0,25.0
276,9.0,5.0,64.0,32.5
277,9.0,5.0,60.0,30.5
278,9.0,5.0,52.0,36.0
279,8.0,4.0,53.0,29.0
280,7.5,3.5,55.0,29.5
281,7.0,3.0,57.0,29.5
282,8.0,4.0,51.5,29.5
283,7.0,2.0,51.0,34.0
284,6.5,1.5,57.0,32.0
285,6.5,1.5,59.0,33.0
286,7.0,3.0,57.0,29.5
287,7.0,3.0,53.0,31.0
288,7.0,3.0,53.0,27.5
289,6.5,2.5,59.0,22.0
290,6.5,2.5,59.0,25.0
291,6.5,3.0,55.0,20.5
292,6.5,3.0,55.0,20.5
293,7.0,4.0,55.0,18.5
294,7.0,4.5,59.0,15.0
295,7.0,4.5,61.0,15.0
296,6.0,3.0,71.0,13.0
297,6.5,3.5,68.5,17.0
298,6.0,2.5,76.0,19.5
299,6.0,3.0,73.5,17.0
300,7.0,4.0,68.5,15.0
301,7.0,4.5,66.0,15.0
302,7.0,4.0,66.0,15.0
303,6.0,2.0,68.5,23.5
304,5.5,2.5,76.0,14.0
305,5.0,1.5,73.0,16.0
306,4.0,1.0,72.5,12.0
308,3.0,0.0,75.0,11.0
309,2.5,-1.5,72.5,15.0
310,2.5,-1.0,81.0,12.0
311,2.0,-2.0,81.0,13.0
312,2.0,-1.5,81.0,12.0
313,1.0,-3.0,81.0,14.0
314,1.0,-3.0,81.0,15.0
318,1.5,-2.5,72.5,16.0
319,2.5,-1.5,67.5,15.0
320,3.5,-0.5,65.0,16.0
321,4.0,0.0,70.0,21.0
322,5.0,1.5,73.0,18.5
323,6.5,3.5,73.5,17.0
324,6.0,2.5,73.5,20.5
325,7.0,4.0,66.0,17.0
326,6.0,3.0,71.0,18.0
327,6.0,3.0,71.0,15.0
329,5.0,2.0,76.0,13.0
330,5.0,2.0,76.0,12.0
347,4.0,1.0,81.0,12.0
348,4.0,1.0,81.0,12.0
349,4.0,1.0,75.0,14.0
350,4.0,1.0,75.0,13.0
397,5.0,2.0,68.0,11.0
398,4.0,1.0,75.0,13.0
399,4.0,1.0,78.0,13.0
400,4.0,1.0,78.0,12.0
401,4.0,1.0,75.0,12.0
402,4.0,1.0,72.5,13.0
403,4.0,1.0,70.0,14.0
404,4.0,0.5,70.0,16.0
405,4.0,0.5,70.0,17.5
406,4.0,0.0,70.0,18.5
407,3.5,-0.5,72.5,18.0
408,3.0,-1.5,81.0,18.5
409,3.0,-1.0,81.0,19.0
410,3.0,-1.0,81.0,17.0
411,3.0,-1.0,84.0,16.0
412,3.0,-0.5,87.0,14.0
413,3.0,-1.0,87.0,18.0
414,3.0,-1.0,87.0,18.0
415,3.0,-1.0,87.0,18.0
416,3.0,-1.0,87.0,18.0
417,3.0,-1.0,87.0,17.0
418,3.0,-1.0,87.0,16.0
419,3.0,-1.0,87.0,17.0
420,3.5,0.0,84.0,16.0
421,3.0,-1.0,87.0,17.0
422,3.0,-1.0,87.0,18.0
423,3.0,-1.0,87.0,16.0
424,3.0,-0.5,84.0,14.0
425,3.0,0.0,87.0,11.0
426,3.0,0.0,87.0,13.0
443,5.0,2.0,59.0,13.0
444,5.0,2.0,57.0,13.0
445,4.5,1.5,59.0,14.0
446,4.0,1.0,61.0,13.0
447,4.0,1.0,63.0,12.0
448,3.5,0.5,63.0,12.0
466,3.5,0.5,67.5,12.0
467,4.5,1.0,65.5,16.5
468,5.0,1.5,66.0,17.5
469,5.0,1.0,66.0,19.5
470,5.0,2.0,66.0,17.0
471,4.0,1.0,75.0,12.0
472,4.0,1.0,75.0,14.0
473,4.5,1.5,78.5,14.0
474,6.0,2.5,76.0,18.5
475,6.5,2.5,78.5,24.0
476,7.0,4.0,87.0,20.0
477,7.5,3.5,87.0,23.0
478,8.0,4.0,87.0,24.0
479,8.0,4.5,93.0,22.5
480,9.0,6.0,90.5,18.0
481,7.0,4.0,87.0,18.5
482,6.5,3.5,81.0,18.0
483,6.0,2.5,76.0,18.5
484,5.5,1.5,73.5,24.0
485,5.0,1.0,76.0,19.0
486,4.0,1.0,81.0,14.0
487,4.5,1.0,75.5,16.0
488,5.0,1.5,70.0,18.0
489,5.5,1.5,68.0,24.0
490,6.0,2.0,66.0,24.0
491,6.0,2.0,61.0,24.0
492,7.0,3.5,61.0,22.0
493,7.0,4.0,61.0,20.0
494,7.0,3.0,61.0,22.0
495,6.5,3.5,63.5,17.0
496,6.0,3.0,66.0,15.0
497,5.5,2.5,68.0,13.0
498,5.0,2.0,68.0,14.0
499,4.5,1.5,70.0,13.0
500,4.0,1.0,72.5,13.0
501,3.5,0.5,75.0,13.0
502,3.0,-0.5,81.0,13.0
503,3.0,0.0,81.0,13.0
504,2.0,-1.5,87.0,12.0
506,2.0,-2.0,87.0,14.0
507,2.0,-2.0,84.0,13.0
508,2.0,-1.5,87.0,12.0
509,2.0,-2.0,87.0,13.0
510,2.0,-2.0,87.0,15.0
511,3.0,-0.5,81.0,15.0
512,3.5,0.5,78.0,13.0
513,5.0,2.0,70.0,15.0
514,6.5,4.0,68.5,13.0
515,8.5,5.5,62.0,19.5
516,8.0,5.0,66.0,18.0
517,9.0,6.0,66.0,22.0
518,8.0,5.0,71.0,21.0
519,8.0,5.0,71.0,18.0
520,8.0,5.0,71.0,19.5
521,8.0,5.0,73.5,19.5
522,8.0,5.0,76.0,19.5
523,8.0,5.0,76.0,18.5
524,8.0,5.0,82.0,18.5
525,8.0,5.0,82.0,18.0
526,8.0,5.0,82.0,18.0
527,8.0,5.0,87.0,19.0
528,8.5,5.5,87.0,18.0
529,9.0,6.0,87.0,21.5
530,9.0,6.0,87.0,19.5
531,9.0,6.5,87.0,16.0
532,9.5,7.0,84.5,17.0
533,10.0,7.5,82.0,18.5
534,10.0,7.5,88.0,18.5
535,10.0,8.0,85.0,18.0
536,10.5,9.0,85.0,19.5
537,10.0,7.5,85.0,16.5
538,10.0,7.0,71.5,23.0
539,10.0,7.0,62.5,24.0
540,9.0,6.0,64.0,19.5
541,9.0,6.0,60.0,22.0
542,8.0,4.5,62.0,23.0
543,8.0,4.5,62.0,21.5
544,8.0,5.0,62.0,19.0
545,7.5,4.5,64.0,18.0
546,7.0,4.0,66.0,20.0
547,7.0,4.0,66.0,17.0
548,6.5,3.5,68.5,17.0
549,6.0,3.0,76.0,14.0
550,6.0,3.0,76.0,15.0
551,5.5,2.5,76.0,14.0
552,5.0,2.0,78.5,15.0
553,5.0,2.0,76.0,14.0
554,5.0,2.0,76.0,12.0
555,5.0,2.0,76.0,12.0
556,5.5,2.5,78.5,13.0
557,6.0,3.5,76.0,12.0
558,6.0,3.0,76.0,15.0
559,5.5,2.5,78.5,15.0
560,6.5,3.5,73.5,15.0
561,7.0,4.0,73.5,18.0
562,8.0,5.0,71.0,19.0
563,9.0,6.0,66.0,17.0
564,9.0,6.0,66.0,19.5
565,9.0,6.0,68.5,19.0
566,8.0,5.5,71.0,16.0
567,8.0,6.0,71.0,11.0
569,8.0,6.0,71.0,11.0
570,8.0,4.5,71.0,22.0
571,8.0,5.0,64.0,19.5
572,8.0,5.0,66.0,18.0
573,7.0,4.0,71.0,15.0
574,7.0,4.0,71.0,18.0
575,7.0,4.0,73.5,19.5
576,7.0,3.0,76.0,23.0
577,7.0,3.0,76.0,22.0
578,7.0,3.0,81.0,25.0
579,8.0,4.5,76.0,22.0
580,8.0,4.5,82.0,23.0
581,9.0,5.5,79.0,24.0
582,9.0,6.0,87.0,24.0
583,10.0,7.0,88.0,24.0
584,10.0,7.0,88.0,29.0
585,10.5,9.0,91.0,32.5
586,10.5,8.5,67.0,40.0
587,7.5,2.5,73.5,41.5
588,6.5,1.5,71.0,38.0
589,7.0,2.0,59.0,37.0
590,6.5,1.5,55.0,37.0
591,6.0,1.0,53.0,34.0
592,5.5,0.5,53.0,33.5
593,5.0,0.0,53.0,31.5
594,5.0,0.5,57.0,26.0
595,4.0,-1.0,63.0,27.0
596,4.0,-1.0,65.0,29.0
597,4.0,-1.0,65.0,29.0
598,3.5,-1.5,72.5,28.0
599,3.0,-2.0,75.0,26.0
600,3.0,-3.0,78.0,30.0
601,3.0,-3.0,75.0,30.0
602,3.0,-2.5,75.0,29.5
603,3.0,-2.0,75.0,28.0
604,3.0,-2.0,75.0,28.0
605,3.0,-2.0,81.0,22.0
606,3.0,-2.0,81.0,21.0
607,3.0,-2.0,81.0,24.0
608,4.5,-0.5,72.5,26.0
609,5.5,1.0,68.0,27.0
610,6.0,1.0,63.5,35.0
611,6.0,1.0,61.0,30.5
612,6.5,1.5,59.0,31.5
613,6.5,1.5,59.0,31.5
614,4.5,-0.5,78.5,28.5
615,4.0,-0.5,75.5,25.0
616,3.0,-1.5,75.0,20.5
617,3.0,-1.5,75.0,19.5
618,3.0,-2.0,75.0,26.0
619,3.0,-2.0,72.5,26.0
620,2.5,-2.5,81.0,23.0
621,2.5,-2.5,78.0,24.0
622,3.0,-2.0,75.0,25.0
623,3.0,-2.0,75.0,24.0
624,3.0,-2.0,81.0,22.0
625,3.0,-1.0,81.0,17.0
626,3.5,-0.5,75.5,17.0
627,4.0,0.0,78.0,19.5
628,3.0,-0.5,87.0,15.0
631,2.0,-2.5,90.0,18.5
632,2.0,-2.5,87.0,16.0
633,2.5,-1.5,84.0,16.0
634,4.0,0.0,75.0,18.5
635,5.5,1.5,73.5,20.0
636,6.0,2.0,66.0,23.0
637,6.0,2.0,71.0,21.0
638,6.0,2.5,71.0,19.5
639,6.0,2.5,71.0,16.5
640,5.5,2.5,70.5,17.0
641,5.5,1.5,66.0,19.5
642,4.5,1.5,68.0,14.0
643,5.0,1.5,68.0,17.0
644,4.0,0.5,72.5,16.5
645,3.0,-0.5,81.0,16.0
646,3.0,-1.0,75.0,18.0
647,2.0,-2.0,81.0,16.0
648,2.0,-2.5,81.0,17.5
649,2.0,-3.0,81.0,19.5
650,1.0,-3.5,87.0,17.0
651,2.0,-2.5,81.0,18.0
652,2.0,-2.5,87.0,18.0
653,2.0,-2.0,93.0,17.0
654,3.0,-1.0,87.0,16.0
655,3.0,-1.0,87.0,15.0
656,3.0,-1.0,87.0,16.0
657,3.0,-1.0,87.0,15.0
658,4.0,0.0,81.0,18.5
659,4.0,0.0,81.0,18.5
660,3.0,-1.0,87.0,18.0
661,3.5,-0.5,90.0,19.5
662,5.0,1.0,78.5,21.5
663,5.0,0.0,70.0,29.0
664,5.0,1.0,70.0,24.0
665,5.0,1.0,68.0,22.0
666,5.0,0.5,63.5,26.0
667,5.0,0.5,59.0,24.0
668,4.5,-0.5,61.0,27.0
669,4.0,-1.0,61.0,24.0
670,4.0,-1.0,61.0,26.0
671,4.0,-1.0,61.0,27.0
672,2.5,-3.0,78.5,28.0
673,2.0,-3.0,87.0,23.0
674,2.0,-3.0,87.0,22.0
675,2.5,-2.5,84.0,25.0
676,4.0,-1.0,67.5,28.0
677,4.0,-1.5,65.0,31.5
678,4.0,-1.5,67.5,32.0
679,4.0,-2.0,67.5,34.0
680,4.5,-0.5,65.5,31.0
681,4.5,-0.5,65.5,30.0
682,5.0,0.0,63.5,30.5
683,5.0,0.0,66.0,30.0
684,6.0,1.5,61.0,29.0
685,5.5,1.5,63.5,24.0
686,5.0,1.0,63.5,24.0
687,5.0,0.0,61.0,26.0
688,4.5,0.5,61.0,19.5
689,4.0,0.0,61.0,19.5
690,4.0,0.0,61.0,18.5
691,3.5,0.0,58.0,17.0
692,2.5,-1.5,62.5,16.0
693,2.0,-2.0,65.0,15.0
694,1.0,-3.0,65.0,14.0
695,1.0,-3.0,65.0,13.0
696,1.0,-2.5,65.0,12.0
697,0.0,-4.0,69.0,13.0
698,-1.0,-6.0,69.0,16.0
699,-1.0,-5.5,69.0,13.0
700,0.0,-4.0,64.0,12.0
701,-0.5,-4.5,66.5,14.0
702,0.0,-4.5,69.0,16.0
703,0.5,-3.5,67.0,12.0
704,1.5,-2.5,62.5,15.0
705,2.0,-2.0,60.0,16.0
706,2.0,-2.0,60.0,17.0
707,2.5,-1.5,58.0,14.0
708,3.0,-0.5,58.0,14.0
709,3.0,-1.0,60.0,16.0
710,3.0,-0.5,60.0,14.0
711,3.0,-1.0,60.0,15.0
712,2.0,-1.5,65.0,11.0
713,2.0,-1.0,67.5,11.0
727,1.0,-3.0,93.0,15.0
728,1.0,-3.0,93.0,13.0
729,2.0,-1.5,87.0,11.0
730,2.5,-1.0,87.0,13.0
731,3.0,-1.5,81.0,17.5
732,4.0,0.0,75.0,17.0
733,4.0,0.5,78.0,17.0
734,4.0,0.0,81.0,17.0
735,4.0,1.0,81.0,15.0
736,4.0,1.0,75.0,15.0
737,3.0,0.0,81.0,11.0
738,3.0,0.0,84.0,11.0
739,2.0,-2.0,93.0,13.0
740,2.0,-1.5,87.0,12.0
741,2.5,-0.5,84.0,11.0
742,2.0,-2.0,87.0,13.0
743,2.0,-1.5,87.0,11.0
747,1.0,-2.5,87.0,12.0
748,1.0,-2.5,93.0,13.0
750,2.0,-1.5,87.0,12.0
751,2.0,-1.5,87.0,12.0
752,2.0,-2.0,87.0,15.0
753,2.5,-1.5,84.0,18.0
754,3.5,-0.5,75.0,18.0
755,4.0,0.0,70.0,19.0
756,4.0,0.5,70.0,16.0
757,4.5,0.5,72.5,18.0
758,5.0,1.5,70.0,18.0
759,5.0,2.0,73.0,16.0
760,4.0,0.0,75.0,19.0
761,4.0,0.0,75.0,19.0
762,4.0,1.0,75.0,15.0
763,3.0,-0.5,81.0,15.0
764,3.0,0.0,81.0,13.0
765,3.0,0.0,81.0,12.0
766,3.0,-0.5,81.0,15.0
767,2.5,-1.0,84.0,13.0
768,2.0,-1.5,87.0,13.0
769,2.5,-1.0,84.0,14.0
770,3.0,-1.0,81.0,15.0
771,3.0,-0.5,81.0,14.0
772,3.0,-1.0,81.0,17.0
773,2.5,-2.5,87.0,20.0
774,2.0,-2.0,87.0,16.0
775,2.0,-1.0,87.0,11.0
776,2.0,-1.5,93.0,13.0
777,2.5,-1.5,90.0,14.0
778,3.0,0.0,87.0,13.0
779,4.0,0.0,81.0,17.0
780,5.0,2.0,73.0,17.0
781,5.0,1.0,65.5,19.5
782,5.0,1.0,53.0,21.0
783,4.5,0.5,59.5,20.5
784,3.0,-1.5,67.5,18.5
785,3.0,-0.5,70.0,16.0
786,2.0,-2.0,75.0,16.0
787,2.0,-2.0,81.0,17.0
788,2.0,-2.0,75.0,16.0
789,2.0,-2.0,75.0,17.0
790,2.0,-2.0,70.0,16.0
791,1.5,-2.5,72.5,16.0
792,1.5,-2.5,72.5,16.0
793,1.0,-3.0,75.0,17.0
794,1.0,-3.0,75.0,15.0
795,1.0,-3.5,75.0,18.5
796,2.0,-3.0,67.5,19.0
797,2.0,-3.0,70.0,19.0
798,2.0,-3.0,70.0,20.0
799,2.0,-3.0,70.0,22.0
800,2.5,-2.5,67.5,21.0
801,3.0,-1.5,70.0,19.5
802,4.0,0.0,65.0,21.0
803,4.5,-0.5,63.0,26.0
804,5.0,0.5,57.0,27.0
805,5.0,0.5,59.0,25.0
806,5.0,1.0,59.0,22.0
807,4.5,0.0,63.0,24.0
808,4.0,0.0,65.0,20.5
809,3.0,-1.0,70.0,16.0
810,2.5,-1.5,72.5,17.0
811,2.0,-2.0,75.0,17.0
812,2.0,-2.0,81.0,16.0
813,2.0,-2.0,78.0,15.0
814,1.5,-2.5,84.0,13.0
815,1.5,-2.5,84.0,14.0
816,1.0,-3.0,87.0,14.0
817,1.0,-3.0,87.0,13.0
826,5.0,2.0,87.0,12.0
827,5.5,2.5,81.5,13.0
828,6.0,3.0,76.0,14.0
829,6.0,3.0,76.0,15.0
830,5.0,2.0,81.0,16.0
831,5.0,2.0,81.0,16.0
832,5.0,2.0,81.0,15.0
833,6.0,3.5,76.0,13.0
834,6.0,3.0,81.0,14.0
840,5.0,2.0,81.0,11.0
842,4.0,1.0,81.0,11.0
843,5.0,2.0,76.0,14.0
849,5.5,2.5,78.5,13.0
850,7.0,4.5,71.0,13.0
851,7.0,5.0,71.0,13.0
852,7.5,5.5,68.5,11.0
853,8.0,6.0,66.0,11.0
854,8.0,6.0,62.0,11.0
858,5.0,2.5,78.5,11.0
860,5.0,2.0,78.5,14.0
861,4.5,1.5,78.5,13.0
862,4.5,1.5,78.5,14.0
863,3.0,-1.0,87.0,16.5
864,2.5,-0.5,90.0,11.0
865,4.0,0.5,87.0,16.0
866,4.0,1.0,87.0,11.0
867,4.5,1.5,87.0,13.0
870,5.0,2.0,87.0,11.0
873,6.0,3.5,81.0,11.0
874,7.0,4.5,76.0,14.0
875,8.0,5.5,71.0,14.0
876,8.5,7.0,68.5,11.0
877,9.0,7.0,66.0,11.0
905,6.0,3.5,76.0,12.0
906,6.0,4.0,76.0,11.0
908,6.0,3.0,73.5,14.0
909,5.0,2.0,76.0,11.0
910,5.0,2.0,78.5,12.0
913,5.0,2.0,81.0,11.0
933,5.0,2.0,76.0,11.0
950,5.0,2.0,66.0,12.0
953,4.0,1.0,70.0,11.0
958,2.5,-1.0,87.0,11.0
960,4.0,1.0,87.0,14.0
961,5.0,2.0,87.0,13.0
962,5.0,2.0,93.0,15.0
963,6.0,3.0,87.0,19.0
964,6.0,2.5,87.0,18.5
965,6.5,3.5,87.0,19.0
966,7.5,4.5,84.5,19.5
967,8.0,5.0,82.0,18.5
968,8.0,5.0,82.0,19.5
969,9.0,6.0,76.0,23.0
970,9.0,6.0,76.0,22.0
971,8.5,5.0,79.0,26.0
972,8.0,4.5,84.5,23.0
973,8.0,4.0,87.0,25.0
974,9.0,6.0,82.0,18.0
975,9.0,6.5,82.0,17.0
976,8.5,5.5,84.5,21.0
977,7.0,3.5,84.0,24.0
978,7.5,5.5,84.5,13.0
979,8.0,5.0,82.0,15.0
980,7.0,5.0,87.0,13.0
981,7.0,4.5,93.0,14.0
982,8.0,5.5,87.0,15.0
984,7.0,5.0,90.0,11.0
985,7.0,4.0,87.0,17.0
992,7.5,5.0,90.0,15.0
993,8.0,5.0,87.0,19.5
994,8.0,5.0,87.0,18.0
995,8.5,6.0,84.5,14.0
996,8.0,5.0,87.0,15.0
997,8.0,5.0,87.0,15.0
998,8.0,5.0,87.0,15.0
999,8.0,5.0,87.0,16.0
1000,8.0,5.0,84.5,15.0
1001,7.0,5.0,90.0,13.0
1002,7.5,5.0,90.0,14.0
1003,7.5,5.5,90.0,11.0
1013,6.0,4.0,93.0,11.0
1029,3.0,0.0,96.5,11.0
1040,8.0,6.0,84.5,13.0
1041,9.0,6.5,76.0,16.0
1042,9.0,7.0,73.5,15.0
1043,9.0,7.0,76.0,11.0
1049,6.5,3.5,90.0,17.0
1052,6.0,3.5,90.0,11.0
1053,6.0,3.0,84.0,16.0
1054,5.5,2.5,81.0,17.0
1055,5.0,2.0,81.0,14.0
1056,4.5,1.5,81.0,13.0
1057,4.0,1.0,81.0,13.0
1058,4.0,1.0,81.0,13.0
1059,4.0,1.0,81.0,14.0
1060,4.0,1.0,81.0,13.0
1061,4.0,1.0,81.0,12.0
1062,4.0,1.0,81.0,14.0
1063,5.0,2.0,76.0,17.0
1064,6.5,4.0,68.5,13.0
1065,7.0,4.5,66.0,15.0
1066,8.0,6.0,55.0,12.0
1067,8.0,5.5,55.0,16.0
1068,8.0,5.0,51.5,18.0
1069,9.0,6.5,50.0,16.0
1070,8.0,6.0,53.0,11.0
