,t_real,t_feels_like,humidity,wind_speed,t_percent
92,10.0,6.120000000000001,82.0,27.0,31.428571428571427
93,10.0,6.120000000000001,82.0,27.0,31.428571428571427
94,10.0,6.449999999999999,85.0,24.0,31.428571428571427
95,11.0,7.302,82.0,26.0,34.285714285714285
96,11.5,8.077499999999999,85.0,24.0,35.714285714285715
97,12.0,8.484,82.0,25.0,37.142857142857146
98,12.0,8.82,85.0,22.0,37.142857142857146
99,12.0,9.006,88.0,20.5,37.142857142857146
100,12.0,8.91,80.0,20.5,37.142857142857146
101,11.5,8.65675,74.5,17.0,35.714285714285715
102,10.5,7.666250000000002,82.5,17.0,32.857142857142854
103,9.5,6.93125,87.5,14.0,30.0
104,9.0,6.482999999999999,87.0,13.0,28.57142857142857
105,9.0,6.382999999999999,87.0,14.0,28.57142857142857
106,9.0,5.688,82.0,20.5,28.57142857142857
107,9.0,6.060500000000001,84.5,17.0,28.57142857142857
108,9.0,5.011,79.0,27.0,28.57142857142857
109,10.0,6.510000000000002,71.0,22.0,31.428571428571427
110,9.0,5.438999999999999,71.0,22.0,28.57142857142857
111,9.0,5.688999999999999,71.0,19.5,28.57142857142857
112,9.0,5.483999999999999,76.0,22.0,28.57142857142857
113,8.5,4.874750000000001,73.5,22.5,27.142857142857142
114,8.0,4.537999999999999,73.5,20.5,25.71428571428571
115,8.0,4.908,76.0,17.0,25.71428571428571
116,8.0,4.558000000000001,76.0,20.5,25.71428571428571
117,8.5,5.024750000000001,73.5,21.0,27.142857142857142
118,9.0,4.983999999999999,76.0,27.0,28.57142857142857
119,10.0,5.910000000000001,71.0,28.0,31.428571428571427
120,10.0,5.734999999999999,73.5,30.0,31.428571428571427
121,10.0,5.839999999999999,79.0,29.5,31.428571428571427
122,11.0,6.974499999999999,79.5,29.0,34.285714285714285
123,11.0,6.635000000000002,85.0,33.0,34.285714285714285
124,11.5,7.177499999999998,85.0,33.0,35.714285714285715
125,12.0,7.734,82.0,32.5,37.142857142857146
126,12.0,7.834,82.0,31.5,37.142857142857146
127,12.0,8.454,79.5,25.0,37.142857142857146
128,12.0,7.894,74.5,30.0,37.142857142857146
129,12.5,8.41875,69.5,29.5,38.57142857142858
130,13.0,9.071000000000002,67.0,28.0,40.0
131,13.0,9.271,67.0,26.0,40.0
132,13.0,8.818999999999999,63.0,30.0,40.0
133,13.0,9.219,63.0,26.0,40.0
134,13.5,9.061250000000001,67.5,33.5,41.42857142857143
135,13.0,8.3335,79.5,37.0,40.0
136,13.5,9.1475,85.0,35.0,41.42857142857143
137,15.0,10.63,82.0,36.0,45.714285714285715
138,15.5,10.5935,77.0,41.0,47.14285714285714
139,15.0,9.679999999999998,72.0,44.0,45.714285714285715
140,15.0,9.92,68.0,41.0,45.714285714285715
