cnt,t1,t2,humidity,wind_speed,is_weekend,season
1094,15.5,15.5,77.0,41.0,0.0,3.0
686,15.0,15.0,72.0,44.0,0.0,3.0
443,15.0,15.0,68.0,41.0,0.0,3.0
464,15.0,15.0,68.0,40.0,0.0,3.0
420,14.0,14.0,77.0,41.5,0.0,3.0
392,14.0,14.0,77.0,39.0,1.0,3.0
277,14.0,14.0,77.0,40.0,1.0,3.0
189,14.0,14.0,72.0,40.5,1.0,3.0
153,13.0,13.0,77.0,41.0,1.0,3.0
90,13.0,13.0,77.0,36.0,1.0,3.0
52,13.0,13.0,77.0,35.0,1.0,3.0
69,13.0,13.0,82.0,35.0,1.0,3.0
143,13.0,13.0,79.5,35.0,1.0,3.0
321,14.0,14.0,74.5,40.0,1.0,3.0
619,14.0,14.0,77.0,48.0,1.0,3.0
757,14.0,14.0,74.5,41.0,1.0,3.0
800,11.5,11.5,67.5,42.5,1.0,3.0
1191,11.5,11.5,58.0,41.5,1.0,3.0
1395,10.5,8.5,54.0,38.0,1.0,3.0
1358,9.0,4.5,54.0,42.5,1.0,3.0
1436,9.0,5.0,48.0,35.0,1.0,3.0
1270,8.0,4.0,51.5,27.0,1.0,3.0
1054,8.0,4.0,51.5,29.0,1.0,3.0
849,7.0,3.0,55.0,26.0,1.0,3.0
720,6.0,2.0,57.0,26.0,1.0,3.0
556,6.0,2.0,57.0,25.0,1.0,3.0
349,6.0,2.0,57.0,21.0,1.0,3.0
335,5.0,1.0,66.0,20.0,1.0,3.0
334,5.0,1.0,66.0,19.5,1.0,3.0
360,4.5,0.5,72.5,22.0,1.0,3.0
255,4.0,-0.5,75.0,22.0,1.0,3.0
198,4.0,-0.5,75.0,23.0,1.0,3.0
135,4.0,-1.0,75.0,27.0,1.0,3.0
74,4.0,-1.0,72.5,28.0,1.0,3.0
57,4.0,-1.0,70.0,27.0,1.0,3.0
67,4.5,0.0,68.0,24.0,1.0,3.0
93,5.0,1.0,66.0,24.0,1.0,3.0
241,5.0,0.0,66.0,29.5,1.0,3.0
538,5.5,0.5,63.5,29.0,1.0,3.0
922,6.5,2.0,61.0,30.0,1.0,3.0
1248,7.5,3.5,59.0,27.0,1.0,3.0
1555,8.5,4.5,55.5,27.0,1.0,3.0
1813,9.0,5.0,56.0,28.0,1.0,3.0
1639,9.0,5.0,60.0,28.0,1.0,3.0
1464,8.5,5.0,64.0,26.0,1.0,3.0
1097,8.0,4.5,66.0,23.0,1.0,3.0
827,8.0,5.0,71.0,20.5,1.0,3.0
519,8.0,4.0,73.5,25.0,1.0,3.0
493,8.0,4.0,73.5,24.0,1.0,3.0
315,8.0,4.5,71.0,26.0,1.0,3.0
260,8.0,4.0,71.0,30.0,1.0,3.0
237,9.0,5.0,66.0,37.0,1.0,3.0
168,9.0,5.0,71.0,30.5,1.0,3.0
117,9.0,5.0,68.5,29.0,0.0,3.0
45,10.0,6.0,60.0,34.0,0.0,3.0
29,10.0,7.0,64.5,30.0,0.0,3.0
36,10.0,6.5,67.0,30.5,0.0,3.0
26,10.0,6.5,67.0,33.5,0.0,3.0
86,10.0,6.0,67.0,35.0,0.0,3.0
433,10.0,6.0,73.5,31.0,0.0,3.0
1541,10.0,7.0,76.0,30.0,0.0,3.0
3418,10.0,6.0,76.0,31.0,0.0,3.0
1832,11.5,11.5,67.0,32.5,0.0,3.0
723,12.0,12.0,67.0,33.0,0.0,3.0
654,12.0,12.0,74.5,39.0,0.0,3.0
700,12.0,12.0,79.5,29.5,0.0,3.0
631,12.0,12.0,79.5,29.5,0.0,3.0
520,12.5,12.5,77.0,33.0,0.0,3.0
374,12.0,12.0,82.0,25.0,0.0,3.0
669,12.0,12.0,82.0,22.5,0.0,3.0
1510,11.5,11.5,88.0,22.0,0.0,3.0
1186,11.0,11.0,94.0,22.0,0.0,3.0
1136,11.5,11.5,85.0,22.0,0.0,3.0
753,12.0,12.0,82.0,20.0,0.0,3.0
510,12.0,12.0,85.0,18.5,0.0,3.0
184,12.0,12.0,88.0,21.0,0.0,3.0
86,12.0,12.0,88.0,23.0,0.0,3.0
64,12.0,12.0,88.0,25.0,0.0,3.0
29,12.0,12.0,88.0,30.0,0.0,3.0
21,11.5,11.5,88.0,24.5,0.0,3.0
13,11.0,11.0,85.0,19.0,0.0,3.0
33,11.0,11.0,82.0,21.0,0.0,3.0
113,10.5,9.0,79.5,21.0,0.0,3.0
600,10.0,7.5,82.0,20.5,0.0,3.0
1584,9.5,6.5,79.0,21.0,0.0,3.0
3960,9.0,6.5,71.0,16.0,0.0,3.0
2090,9.0,6.0,71.0,18.0,0.0,3.0
960,9.0,6.5,71.0,17.5,0.0,3.0
866,9.0,6.0,68.5,18.0,0.0,3.0
1019,9.5,6.5,64.0,20.5,0.0,3.0
719,9.0,5.5,73.5,27.5,0.0,3.0
811,8.5,4.5,71.0,29.0,0.0,3.0
883,8.0,4.5,73.5,21.5,0.0,3.0
1391,7.5,4.0,68.5,23.0,0.0,3.0
2886,7.0,3.0,71.0,22.0,0.0,3.0
2659,7.0,4.5,71.0,14.0,0.0,3.0
1548,6.0,2.5,76.0,19.5,0.0,3.0
947,5.5,1.5,76.0,21.0,0.0,3.0
660,5.0,1.0,76.0,23.0,0.0,3.0
501,5.0,2.0,76.0,17.0,0.0,3.0
340,5.0,1.0,70.0,19.5,0.0,3.0
168,5.0,0.5,66.0,26.0,0.0,3.0
79,5.0,0.0,66.0,30.0,0.0,3.0
60,5.0,0.5,66.0,24.0,0.0,3.0
54,4.5,0.5,72.5,21.0,0.0,3.0
44,4.5,1.5,72.5,14.0,0.0,3.0
93,5.0,1.5,70.0,17.5,0.0,3.0
560,5.0,1.0,70.0,23.0,0.0,3.0
1820,4.5,-1.0,68.0,30.5,0.0,3.0
3904,4.0,-1.0,70.0,26.0,0.0,3.0
2064,4.5,-0.5,68.0,29.0,0.0,3.0
841,5.0,0.0,70.0,30.5,0.0,3.0
732,5.5,1.0,65.5,27.0,0.0,3.0
1013,6.5,2.5,59.0,27.0,0.0,3.0
1066,7.0,3.0,57.0,24.0,0.0,3.0
913,7.0,3.5,55.0,22.0,0.0,3.0
969,7.0,4.0,55.0,18.0,0.0,3.0
1365,7.0,4.5,59.0,16.0,0.0,3.0
2638,7.5,4.5,64.0,16.0,0.0,3.0
1974,8.0,4.5,71.0,21.5,0.0,3.0
1254,9.0,5.5,71.0,27.0,0.0,3.0
885,10.0,6.0,69.0,31.0,0.0,3.0
537,10.0,6.0,71.0,38.0,0.0,3.0
344,9.5,5.5,76.5,39.0,0.0,3.0
188,10.0,6.0,79.0,40.0,0.0,3.0
91,10.0,6.0,82.0,40.0,0.0,3.0
66,11.0,11.0,79.5,40.0,0.0,3.0
25,11.0,11.0,82.0,44.5,0.0,3.0
23,11.5,11.5,79.5,45.0,0.0,3.0
23,11.0,11.0,77.0,37.0,0.0,3.0
62,10.0,6.5,79.0,31.5,0.0,3.0
481,9.5,5.5,73.5,29.5,0.0,3.0
1692,9.0,6.0,73.5,23.0,0.0,3.0
3673,9.0,6.0,66.0,21.0,0.0,3.0
1941,9.0,6.0,73.5,19.5,0.0,3.0
844,9.0,6.0,76.0,21.0,0.0,3.0
729,9.0,6.0,66.0,26.0,0.0,3.0
835,8.5,5.0,71.0,25.0,0.0,3.0
1005,9.0,5.0,64.0,32.5,0.0,3.0
828,9.0,5.0,60.0,30.5,0.0,3.0
912,9.0,5.0,52.0,36.0,0.0,3.0
1249,8.0,4.0,53.0,29.0,0.0,3.0
2524,7.5,3.5,55.0,29.5,0.0,3.0
2480,7.0,3.0,57.0,29.5,0.0,3.0
1353,8.0,4.0,51.5,29.5,0.0,3.0
810,7.0,2.0,51.0,34.0,0.0,3.0
591,6.5,1.5,57.0,32.0,0.0,3.0
430,6.5,1.5,59.0,33.0,0.0,3.0
301,7.0,3.0,57.0,29.5,0.0,3.0
208,7.0,3.0,53.0,31.0,0.0,3.0
117,7.0,3.0,53.0,27.5,0.0,3.0
71,6.5,2.5,59.0,22.0,0.0,3.0
59,6.5,2.5,59.0,25.0,0.0,3.0
46,6.5,3.0,55.0,20.5,0.0,3.0
88,6.5,3.0,55.0,20.5,0.0,3.0
471,7.0,4.0,55.0,18.5,0.0,3.0
1648,7.0,4.5,59.0,15.0,0.0,3.0
3546,7.0,4.5,61.0,15.0,0.0,3.0
1980,6.0,3.0,71.0,13.0,0.0,3.0
878,6.5,3.5,68.5,17.0,0.0,3.0
795,6.0,2.5,76.0,19.5,0.0,3.0
994,6.0,3.0,73.5,17.0,0.0,3.0
1122,7.0,4.0,68.5,15.0,0.0,3.0
941,7.0,4.5,66.0,15.0,0.0,3.0
1104,7.0,4.0,66.0,15.0,0.0,3.0
1149,6.0,2.0,68.5,23.5,0.0,3.0
2348,5.5,2.5,76.0,14.0,0.0,3.0
2002,5.0,1.5,73.0,16.0,0.0,3.0
1183,4.0,1.0,72.5,12.0,0.0,3.0
693,4.0,2.0,72.5,9.0,0.0,3.0
473,3.0,0.0,75.0,11.0,0.0,3.0
386,2.5,-1.5,72.5,15.0,0.0,3.0
361,2.5,-1.0,81.0,12.0,0.0,3.0
328,2.0,-2.0,81.0,13.0,1.0,3.0
220,2.0,-1.5,81.0,12.0,1.0,3.0
199,1.0,-3.0,81.0,14.0,1.0,3.0
144,1.0,-3.0,81.0,15.0,1.0,3.0
76,1.0,-2.0,81.0,10.0,1.0,3.0
68,0.5,-2.5,77.5,8.0,1.0,3.0
70,0.5,-3.0,77.5,10.0,1.0,3.0
154,1.5,-2.5,72.5,16.0,1.0,3.0
350,2.5,-1.5,67.5,15.0,1.0,3.0
682,3.5,-0.5,65.0,16.0,1.0,3.0
784,4.0,0.0,70.0,21.0,1.0,3.0
998,5.0,1.5,73.0,18.5,1.0,3.0
1360,6.5,3.5,73.5,17.0,1.0,3.0
1421,6.0,2.5,73.5,20.5,1.0,3.0
1531,7.0,4.0,66.0,17.0,1.0,3.0
1527,6.0,3.0,71.0,18.0,1.0,3.0
1257,6.0,3.0,71.0,15.0,1.0,3.0
997,5.0,2.5,76.0,10.0,1.0,3.0
765,5.0,2.0,76.0,13.0,1.0,3.0
719,5.0,2.0,76.0,12.0,1.0,3.0
525,5.0,3.0,81.0,9.0,1.0,3.0
415,5.0,2.5,76.0,10.0,1.0,3.0
328,5.0,3.0,76.0,7.0,1.0,3.0
350,5.0,2.5,78.5,9.0,1.0,3.0
383,5.0,3.0,76.0,7.0,1.0,3.0
268,5.0,3.5,76.0,6.5,1.0,3.0
268,5.0,3.0,81.0,8.0,1.0,3.0
140,4.5,3.0,84.0,6.5,1.0,3.0
73,4.0,4.0,87.0,0.0,1.0,3.0
53,4.0,3.5,90.0,5.0,1.0,3.0
54,4.0,3.5,90.0,5.0,1.0,3.0
97,4.0,3.5,87.0,5.0,1.0,3.0
210,4.0,3.5,93.0,5.0,1.0,3.0
406,4.0,2.5,90.0,6.5,1.0,3.0
693,4.0,2.0,87.0,9.0,1.0,3.0
906,4.0,1.5,84.0,9.0,1.0,3.0
1244,4.0,1.0,81.0,12.0,1.0,3.0
1401,4.0,1.0,81.0,12.0,1.0,3.0
1313,4.0,1.0,75.0,14.0,1.0,3.0
1450,4.0,1.0,75.0,13.0,1.0,3.0
1111,3.0,2.0,81.0,6.0,1.0,3.0
844,3.0,3.0,81.0,4.0,1.0,3.0
694,2.0,0.0,87.0,6.5,1.0,3.0
510,2.0,-0.5,87.0,8.0,1.0,3.0
370,1.5,0.5,87.0,5.5,1.0,3.0
265,1.0,1.0,87.0,4.0,1.0,3.0
249,1.0,1.0,87.0,4.0,1.0,3.0
197,0.5,-1.5,90.0,6.0,1.0,3.0
128,0.0,-3.0,93.0,8.0,0.0,3.0
57,0.5,-2.5,93.0,8.0,0.0,3.0
30,1.0,0.0,93.0,5.5,0.0,3.0
32,0.5,-0.5,93.0,3.5,0.0,3.0
36,0.5,-1.0,93.0,4.5,0.0,3.0
88,1.0,-1.0,93.0,6.5,0.0,3.0
472,1.0,-1.0,90.0,7.0,0.0,3.0
1695,1.0,-1.0,90.0,6.5,0.0,3.0
3554,2.0,-0.5,84.0,7.5,0.0,3.0
1828,2.0,-0.5,87.0,8.0,0.0,3.0
794,3.0,1.0,75.0,7.5,0.0,3.0
688,3.5,3.0,72.5,3.0,0.0,3.0
923,4.0,1.5,70.0,9.0,0.0,3.0
913,4.0,2.0,70.0,8.0,0.0,3.0
815,5.0,3.5,66.0,7.5,0.0,3.0
908,5.0,4.0,63.5,6.0,0.0,3.0
1257,4.0,2.5,67.5,6.5,0.0,3.0
2774,3.5,2.5,72.5,6.0,0.0,3.0
2543,3.5,2.5,72.5,6.0,0.0,3.0
1442,3.5,1.5,72.5,7.0,0.0,3.0
893,3.0,1.5,75.0,6.5,0.0,3.0
561,2.5,1.5,78.0,5.5,0.0,3.0
356,2.0,1.0,75.0,3.0,0.0,3.0
247,2.0,2.0,81.0,2.0,0.0,3.0
85,1.0,0.0,87.0,3.0,0.0,3.0
49,0.5,-1.0,90.0,6.5,0.0,3.0
40,0.0,-1.0,93.0,3.0,0.0,3.0
18,-0.5,-0.5,90.0,4.0,0.0,3.0
32,-1.0,-2.0,93.0,3.0,0.0,3.0
80,-0.5,-0.5,93.0,4.0,0.0,3.0
520,-1.0,-2.0,93.0,5.0,0.0,3.0
1791,-1.0,-3.5,96.5,6.5,0.0,3.0
3700,-0.5,-3.5,96.5,7.0,0.0,3.0
1818,0.0,-3.0,93.0,9.0,0.0,3.0
806,1.0,0.0,87.0,5.0,0.0,3.0
636,2.5,1.0,78.0,6.0,0.0,3.0
894,3.5,1.0,78.0,9.0,0.0,3.0
966,4.5,2.0,72.5,9.0,0.0,3.0
806,5.0,2.0,68.0,11.0,0.0,3.0
897,4.0,1.0,75.0,13.0,0.0,3.0
1287,4.0,1.0,78.0,13.0,0.0,3.0
2683,4.0,1.0,78.0,12.0,0.0,3.0
2624,4.0,1.0,75.0,12.0,0.0,3.0
1448,4.0,1.0,72.5,13.0,0.0,3.0
758,4.0,1.0,70.0,14.0,0.0,3.0
603,4.0,0.5,70.0,16.0,0.0,3.0
447,4.0,0.5,70.0,17.5,0.0,3.0
259,4.0,0.0,70.0,18.5,0.0,3.0
151,3.5,-0.5,72.5,18.0,0.0,3.0
70,3.0,-1.5,81.0,18.5,0.0,3.0
56,3.0,-1.0,81.0,19.0,0.0,3.0
24,3.0,-1.0,81.0,17.0,0.0,3.0
41,3.0,-1.0,84.0,16.0,0.0,3.0
81,3.0,-0.5,87.0,14.0,0.0,3.0
522,3.0,-1.0,87.0,18.0,0.0,3.0
1656,3.0,-1.0,87.0,18.0,0.0,3.0
3655,3.0,-1.0,87.0,18.0,0.0,3.0
1976,3.0,-1.0,87.0,18.0,0.0,3.0
821,3.0,-1.0,87.0,17.0,0.0,3.0
666,3.0,-1.0,87.0,16.0,0.0,3.0
805,3.0,-1.0,87.0,17.0,0.0,3.0
821,3.5,0.0,84.0,16.0,0.0,3.0
701,3.0,-1.0,87.0,17.0,0.0,3.0
759,3.0,-1.0,87.0,18.0,0.0,3.0
1217,3.0,-1.0,87.0,16.0,0.0,3.0
2503,3.0,-0.5,84.0,14.0,0.0,3.0
2511,3.0,0.0,87.0,11.0,0.0,3.0
1359,3.0,0.0,87.0,13.0,0.0,3.0
890,3.0,0.5,81.0,9.0,0.0,3.0
666,3.0,2.0,81.0,6.0,0.0,3.0
480,3.0,2.0,81.0,6.0,0.0,3.0
351,3.0,2.5,81.0,3.0,0.0,3.0
138,2.5,2.5,84.0,2.0,0.0,3.0
81,2.0,2.0,87.0,2.0,0.0,3.0
54,2.0,2.0,87.0,2.0,0.0,3.0
37,2.0,1.0,87.0,5.5,0.0,3.0
39,2.0,1.0,87.0,5.0,0.0,3.0
89,2.0,1.0,87.0,5.0,0.0,3.0
512,2.0,2.0,84.0,2.0,0.0,3.0
1677,2.0,2.0,81.0,2.0,0.0,3.0
3828,2.0,1.0,81.0,5.0,0.0,3.0
1911,2.5,2.5,78.0,2.0,0.0,3.0
789,4.0,1.5,70.0,9.0,0.0,3.0
713,4.0,1.5,67.5,10.0,0.0,3.0
914,5.0,2.0,59.0,13.0,0.0,3.0
935,5.0,2.0,57.0,13.0,0.0,3.0
867,4.5,1.5,59.0,14.0,0.0,3.0
885,4.0,1.0,61.0,13.0,0.0,3.0
1328,4.0,1.0,63.0,12.0,0.0,3.0
2457,3.5,0.5,63.0,12.0,0.0,3.0
2422,3.0,0.0,65.0,9.0,0.0,3.0
1350,2.0,0.0,70.0,6.5,0.0,3.0
850,2.0,0.0,70.0,6.5,0.0,3.0
640,0.0,-2.0,80.0,6.0,0.0,3.0
438,0.0,0.0,80.0,2.0,0.0,3.0
324,0.0,-1.0,80.0,3.0,0.0,3.0
171,-0.5,-2.0,86.5,5.5,0.0,3.0
96,-1.0,-3.0,86.0,6.0,0.0,3.0
58,-1.0,-3.0,86.0,6.0,0.0,3.0
41,-0.5,-1.5,83.0,5.0,0.0,3.0
31,-1.0,-2.0,86.0,5.0,0.0,3.0
80,-1.0,-3.0,86.0,6.0,0.0,3.0
426,-1.5,-2.5,89.5,5.0,0.0,3.0
1494,-1.0,-3.5,86.0,6.5,0.0,3.0
3328,-0.5,-3.5,83.0,7.0,0.0,3.0
1839,0.5,-2.0,84.0,6.5,0.0,3.0
894,2.0,-0.5,75.0,7.5,0.0,3.0
794,3.5,0.5,67.5,12.0,0.0,3.0
1084,4.5,1.0,65.5,16.5,0.0,3.0
1053,5.0,1.5,66.0,17.5,0.0,3.0
1005,5.0,1.0,66.0,19.5,0.0,3.0
1002,5.0,2.0,66.0,17.0,0.0,3.0
1421,4.0,1.0,75.0,12.0,0.0,3.0
2388,4.0,1.0,75.0,14.0,0.0,3.0
1946,4.5,1.5,78.5,14.0,0.0,3.0
1126,6.0,2.5,76.0,18.5,0.0,3.0
687,6.5,2.5,78.5,24.0,0.0,3.0
421,7.0,4.0,87.0,20.0,0.0,3.0
208,7.5,3.5,87.0,23.0,0.0,3.0
299,8.0,4.0,87.0,24.0,0.0,3.0
186,8.0,4.5,93.0,22.5,1.0,3.0
141,9.0,6.0,90.5,18.0,1.0,3.0
142,7.0,4.0,87.0,18.5,1.0,3.0
121,6.5,3.5,81.0,18.0,1.0,3.0
70,6.0,2.5,76.0,18.5,1.0,3.0
61,5.5,1.5,73.5,24.0,1.0,3.0
76,5.0,1.0,76.0,19.0,1.0,3.0
142,4.0,1.0,81.0,14.0,1.0,3.0
318,4.5,1.0,75.5,16.0,1.0,3.0
723,5.0,1.5,70.0,18.0,1.0,3.0
1086,5.5,1.5,68.0,24.0,1.0,3.0
1411,6.0,2.0,66.0,24.0,1.0,3.0
1636,6.0,2.0,61.0,24.0,1.0,3.0
1769,7.0,3.5,61.0,22.0,1.0,3.0
1796,7.0,4.0,61.0,20.0,1.0,3.0
1798,7.0,3.0,61.0,22.0,1.0,3.0
1597,6.5,3.5,63.5,17.0,1.0,3.0
1226,6.0,3.0,66.0,15.0,1.0,3.0
837,5.5,2.5,68.0,13.0,1.0,3.0
709,5.0,2.0,68.0,14.0,1.0,3.0
526,4.5,1.5,70.0,13.0,1.0,3.0
393,4.0,1.0,72.5,13.0,1.0,3.0
401,3.5,0.5,75.0,13.0,1.0,3.0
374,3.0,-0.5,81.0,13.0,1.0,3.0
347,3.0,0.0,81.0,13.0,1.0,3.0
261,2.0,-1.5,87.0,12.0,1.0,3.0
216,2.0,-1.0,81.0,10.0,1.0,3.0
162,2.0,-2.0,87.0,14.0,1.0,3.0
107,2.0,-2.0,84.0,13.0,1.0,3.0
70,2.0,-1.5,87.0,12.0,1.0,3.0
83,2.0,-2.0,87.0,13.0,1.0,3.0
108,2.0,-2.0,87.0,15.0,1.0,3.0
226,3.0,-0.5,81.0,15.0,1.0,3.0
529,3.5,0.5,78.0,13.0,1.0,3.0
857,5.0,2.0,70.0,15.0,1.0,3.0
1195,6.5,4.0,68.5,13.0,1.0,3.0
1478,8.5,5.5,62.0,19.5,1.0,3.0
1705,8.0,5.0,66.0,18.0,1.0,3.0
1519,9.0,6.0,66.0,22.0,1.0,3.0
1477,8.0,5.0,71.0,21.0,1.0,3.0
1238,8.0,5.0,71.0,18.0,1.0,3.0
875,8.0,5.0,71.0,19.5,1.0,3.0
810,8.0,5.0,73.5,19.5,1.0,3.0
566,8.0,5.0,76.0,19.5,1.0,3.0
423,8.0,5.0,76.0,18.5,1.0,3.0
335,8.0,5.0,82.0,18.5,1.0,3.0
297,8.0,5.0,82.0,18.0,1.0,3.0
