,keywords,segments,visit count,popularity
157,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],826,0.017048792157060243
166,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'khanevadehvakhanedari']",518,0.010691615420529306
167,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],399,0.008235433499596897
172,"['نتایج زنده', 'نتایج', 'زنده']","['konkoor', 'maleSegment']",709,0.014633890604546868
181,"['صفحه اخبار', 'صفحه', 'اخبار']","['maleSegment', 'salamat']",883,0.019500082372941395
185,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],957,0.019752656288506844
186,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],721,0.014881572815061061
189,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],965,0.019917777762182974
192,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],819,0.01690431086759363
193,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],259,0.005345807710264653
194,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",354,0.007306625210168676
196,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],118,0.0024355417367228917
199,"['صفحه اخبار', 'صفحه', 'اخبار']",['sarmayegozari'],703,0.015524980643462968
202,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],813,0.016780469762336533
203,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],309,0.006377816920740454
206,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],278,0.005737971210245457
208,"['نتایج زنده', 'نتایج', 'زنده']","['mohajerat', 'maleSegment', 'salamat']",185,0.0038184340787604664
212,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],947,0.019546254446411684
213,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],253,0.005221966605007556
214,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],413,0.008524396078530122
218,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],997,0.020578263656887485
222,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],52,0.0010732895788948336
223,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],904,0.018658726525402493
226,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],440,0.009081681052187054
230,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']",['maleSegment'],128,0.009679436717279534
231,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],112,0.0024733966316754655
234,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",154,0.003178588368265469
236,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],61,0.001259051236780478
238,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],458,0.010114425511672886
239,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],918,0.018947689104335717
241,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],847,0.01748223602546008
244,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],889,0.018349123762259754
246,"['نتایج زنده', 'نتایج', 'زنده']","['sarmayegozari', 'maleSegment']",845,0.017440955657041048
252,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],282,0.005820531947083521
253,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'zibaievamode']",460,0.009494484736377375
255,"['صفحه اخبار', 'صفحه', 'اخبار']","['maleSegment', 'salamat']",757,0.016717511162306496
258,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],37,0.0007636868157520932
260,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],268,0.005531569368150297
262,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],399,0.008235433499596897
263,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],37,0.0008171042443927877
266,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],53,0.0010939297631043497
268,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],327,0.006749340236511744
269,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],81,0.0016718549209707987
271,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],513,0.010588414499481724
273,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'khanevadehvakhanedari']",23,0.0004747242368188688
274,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],558,0.011517222788909947
276,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],195,0.004024835920855626
277,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],942,0.019443053525364105
278,"['نتایج زنده', 'نتایج', 'زنده']","['sarmayegozari', 'maleSegment']",719,0.014840292446642029
279,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],615,0.01269371328885236
288,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],836,0.017255193999155403
290,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],16,0.0003302429473522565
298,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],969,0.020000338499021036
301,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",654,0.013498680473023487
302,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],623,0.012858834762528488
303,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],182,0.003756513526131918
306,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],651,0.013436759920394939
309,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],769,0.015872301657117827
310,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],104,0.002146579157789667
316,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],443,0.009143601604815603
319,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],730,0.015067334472946704
323,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],952,0.019649455367459264
326,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],517,0.01067097523631979
327,"['نتایج زنده', 'نتایج', 'زنده']",['laghari'],642,0.013250998262509292
332,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],43,0.0008875279210091894
335,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],451,0.009308723078491732
336,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],767,0.01693835014727752
342,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],793,0.016367666078146215
344,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],19,0.0003921634999808046
345,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",82,0.0016924951051803146
346,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],614,0.012673073104642845
347,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'technology']",840,0.017337754735993468
349,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],395,0.008152872762758834
355,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",115,0.008696368925680832
358,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],98,0.0021642220527160324
359,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],627,0.012941395499366551
361,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],192,0.003962915368227078
364,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],952,0.019649455367459264
366,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'khanevadehvakhanedari', 'varzeshi']",936,0.019319212420107007
368,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],570,0.011764904999424139
369,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],538,0.011881137391441076
370,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],103,0.0021259389735801514
373,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'khanevadehvakhanedari']",72,0.0014860932630851545
376,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],652,0.013457400104604453
377,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],261,0.0053870880786836845
379,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],24,0.0004953644210283848
382,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],127,0.002621303394608536
384,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",323,0.024425453591260072
387,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],346,0.007141503736492548
391,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],25,0.0005160046052379008
392,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],88,0.0019433830677450085
393,"['نتایج زنده', 'نتایج', 'زنده']","['sarmayegozari', 'maleSegment', 'varzeshi']",445,0.009184881973234636
395,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],739,0.015253096130832347
397,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],705,0.014551329867708802
400,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],628,0.01296203568357607
401,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],235,0.004850443289236268
404,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],392,0.008090952210130285
408,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],315,0.00650165802599755
409,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],504,0.010402652841596081
412,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],596,0.012301549788871555
413,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],72,0.0014860932630851545
416,"['صفحه اخبار', 'صفحه', 'اخبار']","['sarmayegozari', 'maleSegment']",475,0.010489851786123628
417,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],466,0.009618325841634471
418,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],286,0.005903092683921586
423,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",814,0.01680110994654605
427,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],97,0.0021421381542189298
430,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],843,0.017399675288622015
433,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],268,0.005531569368150297
437,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],816,0.016842390314965084
440,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],792,0.016347025893936697
441,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],679,0.014014685078261386
442,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",74,0.0055959243521772305
444,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",467,0.03531481989819955
446,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],189,0.00390099481559853
449,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],282,0.005820531947083521
456,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],374,0.008259378037916288
457,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],75,0.0015480138157137023
462,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],503,0.010382012657386565
465,"['نی', 'نظرهای نی', 'تبادل نظرهای', 'نظرهای', 'تبادل']",['femaleSegment'],997,0.13324494885371924
466,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],771,0.015913582025536863
468,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],0,0.0
472,"['نی', 'تبادل', 'نی سایت', 'نی نی', 'موضوعات']","['zibaievamode', 'khanevadehvakhanedari', 'femaleSegment', 'laghari']",523,0.07321320581450041
476,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],616,0.012714353473061876
478,"['نی', 'نظرهای نی', 'تبادل نظرهای', 'نظرهای', 'تبادل']",['femaleSegment'],521,0.06962950687340794
481,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],891,0.018390404130678786
483,"['نی', 'نظرهای نی', 'تبادل نظرهای', 'نظرهای', 'تبادل']",['femaleSegment'],401,0.05359200049181686
486,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],231,0.004767882552398204
490,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],492,0.01015497063108189
491,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],902,0.018617446156983464
493,"['نی', 'نظرهای نی', 'تبادل نظرهای', 'نظرهای', 'تبادل']",['femaleSegment'],181,0.02418990545889988
496,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],180,0.003715233157712886
505,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],598,0.013206171301267217
509,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],306,0.006315896368111905
511,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],963,0.019876497393763938
524,"['نتایج زنده', 'نتایج', 'زنده']","['sarmayegozari', 'maleSegment']",498,0.010278811736338985
525,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],950,0.01960817499904023
526,"['نتایج زنده', 'نتایج', 'زنده']","['javan', 'maleSegment']",765,0.015789740920279766
528,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],269,0.005552209552359813
532,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],144,0.002972186526170309
543,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],167,0.003446910762989177
544,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],211,0.004355078868207882
547,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],983,0.02028930107795426
548,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",45,0.003402926970918586
553,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],298,0.0061507748944357775
554,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],328,0.006769980420721258
555,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],807,0.01665662865707944
559,"['نی', 'نظرهای نی', 'تبادل نظرهای', 'نظرهای', 'تبادل']",['femaleSegment'],166,0.022185217161200994
562,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],180,0.003715233157712886
564,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],952,0.019649455367459264
566,"['نتایج زنده', 'نتایج', 'زنده']","['sarmayegozari', 'maleSegment']",809,0.016697909025498472
570,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",609,0.046052945006431534
571,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],933,0.01925729186747846
572,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],674,0.013911484157213806
576,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],836,0.017255193999155403
577,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],288,0.005944373052340618
578,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",519,0.03924709106459436
580,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],586,0.012095147946776396
581,"['نی', 'نظرهای نی', 'تبادل نظرهای', 'نظرهای', 'تبادل']",['femaleSegment'],557,0.07444075878788527
583,"['نی', 'نظرهای نی', 'تبادل نظرهای', 'نظرهای', 'تبادل']",['femaleSegment'],630,0.08419690850335318
584,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],7,0.00014448128946661223
585,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],332,0.0068525411575593225
590,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],493,0.010175610815291404
593,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],181,0.0037358733419224016
595,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],772,0.015934222209746378
597,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],346,0.007141503736492548
598,"['نی', 'نظرهای نی', 'تبادل نظرهای', 'نظرهای', 'تبادل']",['femaleSegment'],323,0.04316762134378266
601,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",842,0.06367254465585444
603,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",833,0.06299195926167071
604,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],138,0.0028483454209132127
608,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],294,0.006068214157597714
610,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],364,0.007513027052263836
611,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],333,0.00687318134176884
612,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],183,0.003777153710341434
619,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],503,0.010382012657386565
624,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",900,0.06805853941837171
625,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],677,0.013973404709842355
626,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],425,0.008772078289044314
635,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],822,0.016966231420222178
640,"['صفحه اخبار', 'صفحه', 'اخبار']","['sarmayegozari', 'maleSegment', 'varzeshi']",954,0.021068039166235664
641,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],286,0.005903092683921586
643,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],247,0.00509812549975046
646,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],433,0.008937199762720442
647,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],47,0.0009700886578472536
651,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",793,0.016367666078146215
655,"['نتایج زنده', 'نتایج', 'زنده']","['mohajerat', 'maleSegment']",607,0.012528591815176232
657,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",395,0.008152872762758834
660,"['نی', 'نظرهای نی', 'تبادل نظرهای', 'نظرهای', 'تبادل']",['femaleSegment'],730,0.09756149715467909
667,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",113,0.008545127726973339
673,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],768,0.015851661472908313
674,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],115,0.0023736211840943437
677,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",816,0.06170640907265703
679,"['نتایج زنده', 'نتایج', 'زنده']",['femaleSegment'],397,0.008194153131177865
681,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],220,0.004540840526093527
683,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],821,0.016945591236012664
688,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],48,0.0009907288420567695
689,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],941,0.019422413341154587
694,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],820,0.016924951051803146
697,"['نتایج زنده', 'نتایج', 'زنده']","['technology', 'maleSegment', 'moosighi', 'varzeshi']",528,0.010898017262624465
698,"['نی', 'تبادل', 'نی سایت', 'نی نی', 'موضوعات']","['zibaievamode', 'khanevadehvakhanedari', 'femaleSegment', 'laghari']",215,0.030097206979192333
700,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",501,0.010340732288967534
709,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],631,0.013023956236204616
710,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],982,0.020268660893744746
712,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],861,0.017771198604393305
716,"['نی', 'نظرهای نی', 'تبادل نظرهای', 'نظرهای', 'تبادل']",['femaleSegment'],144,0.019245007657909298
717,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],217,0.004478919973464979
726,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",180,0.013611707883674344
730,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],855,0.017647357499136207
734,"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],926,0.020449690008316798
735,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],37,0.0007636868157520932
737,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],698,0.01440684857824219
744,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],60,0.001238411052570962
745,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],283,0.005841172131293038
758,"['نتایج زنده', 'نتایج', 'زنده']",['femaleSegment'],520,0.010732895788948338
766,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],944,0.019484333893783134
767,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],922,0.019030249841173782
768,"['نتایج زنده', 'نتایج', 'زنده']","['sarmayegozari', 'maleSegment']",778,0.016058063315003476
769,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],477,0.009845367867939148
770,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],332,0.0068525411575593225
771,"['نتایج زنده', 'نتایج', 'زنده']",['sarmayegozari'],449,0.0092674427100727
781,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],648,0.01337483936776639
782,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],132,0.0027245043156561163
783,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],512,0.010567774315272208
785,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",597,0.012322189973081071
788,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],531,0.010959937815253014
791,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],732,0.015108614841365735
794,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],687,0.014179806551937513
797,"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",964,0.019897137577973456
798,"['نتایج زنده', 'نتایج', 'زنده']","['sarmayegozari', 'maleSegment']",398,0.008214793315387383
799,"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",844,0.06382378585456193
801,"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],125,0.002580023026189504
804,"['نتایج زنده', 'نتایج', 'زنده']","['sarmayegozari', 'maleSegment']",244,0.005036204947121912
