action,application_id,interaction_time,notification_id,user_id
F,1,4482000,79,13864
F,1,4482000,79,8163
C,1,4482000,79,10373
F,1,4482000,79,13028
F,1,4482000,79,16970
F,1,4482000,79,2742
F,1,4482000,79,10896
C,1,4482000,79,15660
C,1,4482000,79,9931
F,1,4482000,79,7482
F,1,4482000,79,10619
C,1,4467600,78,13888
F,1,4474800,78,10391
F,1,4428000,78,10987
F,1,4428000,78,238
F,1,4428000,70,8481
F,1,4428000,78,4038
F,1,4428000,78,8395
F,1,4435200,78,1435
F,1,4438800,78,3758
F,1,4388400,78,2308
F,1,4438800,78,17371
C,1,4474800,79,7305
C,1,4474800,79,6105
C,1,4474800,79,9082
C,1,4474800,79,15996
C,1,4474800,79,17004
C,1,4474800,79,17243
C,1,4474800,79,2297
C,1,4478400,79,7191
C,1,4474800,79,8016
C,1,4474800,79,11452
C,1,4474800,79,15775
F,1,4474800,79,8252
F,1,4474800,79,13326
F,1,4474800,79,17381
F,1,4474800,79,5271
F,1,4474800,79,6366
F,1,4474800,79,7801
F,1,4474800,79,7979
F,1,4474800,79,10450
F,1,4474800,79,12901
F,1,4474800,79,4933
F,1,4474800,79,1108
F,1,4474800,79,2230
F,1,4474800,79,2765
F,1,4474800,79,4646
F,1,4474800,79,7841
F,1,4474800,79,9040
F,1,4474800,79,9451
F,1,4474800,79,9517
F,1,4474800,79,10081
F,1,4474800,79,11903
F,1,4474800,79,13450
F,1,4474800,79,15721
C,1,4438800,78,2217
C,1,4435200,78,2211
F,1,4442400,78,13204
F,2,3567600,57,15651
C,1,4435200,78,7997
F,1,4431600,78,13200
F,1,4435200,78,16679
F,1,4435200,78,12888
F,1,4435200,78,5388
F,1,4438800,78,8760
F,1,4438800,72,8760
F,1,4438800,76,8760
F,1,4438800,73,8760
F,1,4471200,61,7103
F,1,4471200,59,7103
F,1,4478400,79,12888
F,1,4482000,79,3137
F,1,4482000,79,11891
F,1,4482000,79,15060
F,1,4478400,79,14947
C,1,4482000,79,12345
C,1,4482000,79,6982
F,1,4482000,79,12145
F,1,4482000,78,2219
F,1,4482000,79,3095
C,1,4482000,79,7316
F,1,4482000,79,10845
F,1,4482000,79,94
F,1,4482000,79,4622
F,2,4417200,77,4151
F,1,4471200,66,7103
F,1,4471200,62,7103
F,2,3567600,57,17895
F,1,4485600,79,14552
F,2,3571200,57,1775
F,1,5130000,78,7103
F,1,4435200,78,10125
F,2,4500000,57,14595
C,1,4478400,79,16896
C,1,4478400,79,2473
C,1,4478400,79,8987
C,1,4478400,79,11059
C,1,4478400,79,12013
C,1,4478400,79,14234
C,1,4478400,79,2680
C,1,4478400,79,12697
C,1,4478400,79,13446
C,1,4478400,79,2786
C,1,4478400,79,3497
C,1,4478400,79,14553
C,1,4478400,79,17013
C,1,4478400,79,3049
C,1,4478400,79,4210
C,1,4478400,79,5602
C,1,4478400,79,15400
C,1,4478400,79,2976
C,1,4478400,79,8030
C,1,4478400,79,5213
C,1,4478400,79,7617
C,1,4478400,79,10364
C,1,4478400,79,10484
F,1,4478400,79,6189
F,1,4478400,79,9673
F,1,4478400,79,8210
F,1,4478400,79,15271
F,1,4478400,79,9784
F,1,4478400,79,13291
F,1,4478400,79,1054
F,1,4478400,79,4749
F,1,4478400,79,10935
F,1,4478400,79,12567
F,1,4478400,79,5047
F,1,4478400,79,8895
F,1,4478400,79,8823
F,1,4478400,79,5535
F,1,4478400,79,5860
F,1,4478400,79,13584
F,2,4435200,77,3298
F,1,4471200,71,10646
C,1,4489200,79,9913
C,1,4489200,79,3236
F,1,4489200,79,3152
C,1,4489200,79,11285
F,1,4489200,79,10907
C,1,4489200,79,12874
F,1,4489200,79,13227
F,1,4489200,79,646
F,1,4489200,79,15379
F,1,4489200,79,15492
F,1,4489200,79,6248
F,1,4489200,78,646
C,1,4489200,79,13745
C,1,4489200,79,1680
F,1,4489200,79,5747
F,1,4435200,71,94
F,1,4482000,79,1322
C,1,4482000,79,15580
F,1,4482000,79,9884
F,1,4482000,79,36
F,1,4482000,79,3325
F,1,4482000,79,10887
C,1,4482000,79,6345
F,1,4482000,79,3072
F,1,4482000,79,9919
F,1,4482000,79,660
F,2,3492000,57,2760
F,1,4449600,78,197
F,2,4438800,77,11564
F,1,4438800,74,8760
F,2,5158800,9,889
F,2,5158800,20,889
F,2,4852800,19,912
F,1,3607200,59,8210
F,1,3607200,59,8987
F,1,4442400,78,11846
F,2,4442400,77,2503
F,1,4446000,78,14929
F,1,4449600,78,14576
F,1,4474800,79,9785
F,1,4482000,79,3551
F,1,4482000,79,5148
F,1,4482000,79,10056
F,1,4478400,79,16790
F,1,4482000,79,1560
F,1,4482000,79,110
F,1,4482000,79,10289
C,1,4482000,79,9500
F,1,4482000,79,6710
C,1,4482000,79,6711
C,1,4482000,79,8436
F,1,4482000,79,15359
F,1,4482000,79,16229
C,1,4482000,79,6211
C,1,4482000,79,2828
F,1,4482000,79,3311
C,1,4482000,79,6089
C,1,4482000,79,6557
F,1,4482000,79,10326
F,1,4474800,79,11062
F,1,3603600,59,2633
C,1,4474800,79,10211
C,1,4474800,79,2141
C,1,4474800,79,3225
C,1,4474800,79,5191
C,1,4474800,79,6097
C,1,4474800,79,7360
C,1,4474800,79,7413
C,1,4474800,79,8243
C,1,4474800,79,8419
C,1,4474800,79,8952
C,1,4474800,79,9214
C,1,4474800,79,9704
C,1,4474800,79,9982
C,1,4651200,79,10766
C,1,4474800,79,13206
C,1,4474800,79,13335
C,1,4474800,79,13955
C,1,4474800,79,14970
C,1,4474800,79,16201
C,1,4474800,79,16803
C,1,4474800,79,185
C,1,4474800,79,1029
C,1,4474800,79,1429
C,1,4474800,79,3376
C,1,4474800,79,3758
C,1,4474800,79,12529
C,1,4474800,79,13066
C,1,4474800,79,13302
C,1,4474800,79,15985
C,1,4474800,79,16225
C,1,4474800,79,17007
C,1,4474800,79,1251
C,1,4474800,79,1452
C,1,4474800,79,4491
C,1,4474800,79,5479
C,1,4474800,79,6560
C,1,4474800,79,6737
C,1,4474800,79,9048
C,1,4474800,79,9478
C,1,4474800,79,10413
C,1,4474800,79,13791
C,1,4474800,79,13987
C,1,4474800,79,14571
C,1,4474800,79,16569
C,1,4474800,79,17524
C,1,4474800,79,330
C,1,4474800,79,6532
C,1,4474800,79,17793
C,1,4474800,79,2510
C,1,4474800,79,6041
C,1,4474800,79,6165
C,1,4474800,79,8772
C,1,4474800,79,9550
C,1,4474800,79,9708
C,1,4474800,79,10292
C,1,4474800,79,11068
C,1,4474800,79,12207
C,1,4474800,79,15892
C,1,4474800,79,17532
C,1,4474800,79,525
C,1,4474800,79,953
C,1,4474800,79,2479
C,1,4474800,79,2980
C,1,4474800,79,6179
C,1,4474800,79,7426
C,1,4474800,79,8876
C,1,4474800,79,11097
C,1,4474800,79,13202
C,1,4474800,79,14812
C,1,4474800,79,16618
C,1,4474800,79,247
C,1,4474800,79,2667
C,1,4474800,79,2945
C,1,4474800,79,5483
C,1,4474800,79,5720
C,1,4474800,79,8048
C,1,4474800,79,8193
C,1,4474800,79,8258
C,1,4474800,79,10287
C,1,4474800,79,11366
C,1,4474800,79,12741
C,1,4474800,79,13053
C,1,4474800,79,17858
C,1,4474800,79,2984
C,1,4474800,79,7424
C,1,4474800,79,8701
C,1,4474800,79,9575
C,1,4474800,79,11657
C,1,4474800,79,14534
C,1,4474800,79,15233
F,1,4474800,79,8769
F,1,4474800,79,2462
F,1,4474800,79,2486
F,1,4474800,79,3492
F,1,4474800,79,6086
F,1,4474800,79,6141
F,1,4474800,79,7838
F,1,4474800,79,10718
F,1,4474800,79,12590
F,1,4474800,79,13677
F,1,4474800,79,14640
F,1,4474800,79,14932
F,1,4474800,79,16327
F,1,4474800,79,888
F,1,4474800,79,1012
F,1,4474800,79,2949
F,1,4474800,79,3099
F,1,4474800,79,3291
F,1,4474800,79,4711
F,1,4474800,79,6134
F,1,4474800,79,7660
F,1,4474800,79,8129
F,1,4474800,79,8386
F,1,4474800,79,10016
F,1,4474800,79,11515
F,1,4474800,79,12475
F,1,4474800,79,14024
F,1,4474800,79,14739
F,1,4474800,79,15370
F,1,4474800,79,17165
F,1,4474800,79,17360
F,1,4474800,79,938
F,1,4474800,79,1473
F,1,4474800,79,1696
F,1,4474800,79,1771
F,1,4474800,79,2803
F,1,4474800,79,4027
F,1,4474800,79,4460
F,1,4474800,79,5722
F,1,4474800,79,6032
F,1,4474800,79,8656
F,1,4474800,79,9135
F,1,4474800,79,10417
F,1,4474800,79,10668
F,1,4474800,79,12057
F,1,4474800,79,12825
F,1,4474800,79,13080
F,1,4474800,79,13888
F,1,4474800,79,14266
F,1,4474800,79,15413
F,1,4474800,79,15938
F,1,4474800,79,16273
F,1,4474800,79,70
F,1,4474800,79,453
F,1,4474800,79,5835
F,1,4474800,79,6607
F,1,4474800,79,7215
F,1,4474800,79,7429
F,1,4474800,79,10128
F,1,4474800,79,13312
F,1,4474800,79,15751
F,1,4474800,79,353
F,1,4474800,79,1912
F,1,4474800,79,5982
F,1,4474800,79,6080
F,1,4474800,79,6316
F,1,4474800,79,6333
F,1,4474800,79,6636
F,1,4474800,79,7128
F,1,4474800,79,8076
F,1,4474800,79,8503
F,1,4474800,79,8998
F,1,4474800,79,11056
F,1,4474800,79,11118
F,1,4474800,79,12634
F,1,4474800,79,12990
F,1,4474800,79,13564
F,1,4474800,79,14286
F,1,4474800,79,15367
F,1,4474800,79,15807
F,1,4474800,79,17426
F,1,4474800,79,17435
F,1,4474800,79,1236
F,1,4474800,79,1396
F,1,4474800,79,1441
F,1,4474800,79,2153
F,1,4474800,79,2285
F,1,4474800,79,3303
F,1,4474800,79,3884
F,1,4474800,79,5748
F,1,4474800,79,5837
F,1,4474800,79,6421
F,1,4474800,79,7091
F,1,4474800,79,7120
F,1,4474800,79,7438
F,1,4474800,79,7657
F,1,4474800,79,7818
F,1,4474800,79,7998
F,1,4474800,79,8464
F,1,4474800,79,9066
F,1,4474800,79,9696
F,1,4474800,79,10012
F,1,4474800,79,10651
F,1,4474800,79,11109
F,1,4474800,79,11373
F,1,4474800,79,13075
F,1,4474800,79,13789
F,1,4474800,79,14228
F,1,4474800,79,14323
F,1,4474800,79,14693
F,1,4474800,79,14724
F,1,4474800,79,14989
F,1,4474800,79,15108
F,1,4474800,79,15331
F,1,4474800,79,15809
F,1,4474800,79,17042
F,1,4474800,79,17623
F,1,4474800,79,143
F,1,4474800,79,236
F,1,4474800,79,350
F,1,4474800,79,400
F,1,4474800,78,400
F,1,4474800,79,405
F,1,4474800,79,2154
F,1,4474800,79,2597
F,1,4474800,79,2633
F,1,4474800,79,4107
F,1,4474800,79,4571
F,1,4474800,79,4751
F,1,4474800,79,5139
F,1,4474800,79,5388
F,1,4474800,79,5996
F,1,4474800,79,6339
F,1,4474800,79,7137
F,1,4474800,79,7664
F,1,4474800,79,7828
F,1,4474800,79,8388
F,1,4474800,79,8459
F,1,4474800,79,8518
F,1,4474800,79,8658
F,1,4474800,79,8910
F,1,4474800,79,10551
F,1,4474800,79,10675
F,1,4474800,79,11136
F,1,4474800,79,11474
F,1,4474800,79,11635
F,1,4474800,79,12357
F,1,4474800,79,12507
F,1,4474800,79,13008
F,1,4474800,79,13085
F,1,4474800,79,13726
F,1,4474800,79,14514
F,1,4474800,79,17081
F,1,4474800,79,7267
F,1,4474800,79,7591
F,1,4474800,79,7798
F,1,4474800,79,7870
F,1,4474800,79,7913
F,1,4474800,79,8447
F,1,4474800,79,8739
F,1,4474800,79,9493
F,1,4474800,79,9636
F,1,4474800,79,10453
F,1,4474800,79,12029
F,1,4474800,79,13105
F,1,4474800,79,14350
F,1,4474800,79,15131
F,1,3603600,59,5771
F,1,3603600,59,11257
F,1,3603600,59,14244
F,1,3603600,59,16803
F,1,3603600,59,8876
F,1,3603600,59,9841
F,1,3603600,59,894
F,1,3603600,59,359
F,1,3603600,59,2742
F,1,3614400,62,52
F,1,3614400,62,143
F,1,3614400,62,290
F,1,3614400,62,525
C,1,3614400,62,868
C,1,3614400,61,1429
F,1,3614400,60,1505
F,1,3614400,62,1960
F,1,3614400,62,2185
F,1,3614400,62,2218
F,1,3614400,62,2680
F,1,3614400,62,2803
F,1,3614400,60,2907
C,1,3614400,62,3032
F,1,3614400,61,3058
F,1,3614400,62,3516
C,1,3614400,62,3844
F,1,3614400,62,4010
C,1,3614400,60,5483
C,1,3614400,62,5604
F,1,3614400,62,5722
C,1,3614400,60,6089
F,1,3614400,62,6097
F,1,3614400,62,6105
C,1,3614400,62,6301
F,1,3614400,60,6557
F,1,3614400,62,6917
C,1,3614400,62,7625
F,1,3614400,62,7818
F,1,3614400,62,7998
C,1,3614400,61,8091
C,1,3614400,62,8091
F,1,3614400,62,8129
C,1,3614400,62,8154
F,1,3614400,62,8163
F,1,3614400,62,8191
C,1,3614400,62,8210
F,1,3614400,60,8388
C,1,3614400,62,8388
C,1,3614400,62,8461
F,1,3614400,62,9066
F,1,3614400,62,9082
C,1,3614400,62,9174
F,1,3614400,62,9619
F,1,3614400,62,9683
F,1,3614400,61,10373
F,1,3614400,62,10766
F,1,3614400,62,10907
F,1,3614400,60,11097
F,1,3614400,62,11515
F,1,3614400,62,11523
F,1,3614400,62,11635
F,1,3614400,62,11848
F,1,3614400,62,12081
F,1,3614400,60,12207
F,1,3614400,61,12246
F,1,3614400,62,12529
F,1,3614400,62,12825
F,1,3614400,61,12888
C,1,3614400,62,13053
C,1,3614400,61,13066
F,1,3614400,62,13085
F,1,3614400,62,13293
C,1,3614400,62,13302
F,1,3614400,62,13569
F,1,3614400,62,14228
F,1,3614400,62,14387
F,1,3614400,61,14697
F,1,3614400,62,14724
F,1,3614400,62,14861
F,1,3614400,59,14962
F,1,3614400,60,14962
F,1,3614400,62,14962
F,1,3614400,62,15104
C,1,3614400,62,15807
F,1,3614400,62,15809
C,1,3614400,62,15892
F,1,3614400,62,16325
F,1,3614400,62,16489
C,1,3614400,62,16569
C,1,3614400,62,16608
F,1,3614400,61,16729
F,1,3614400,60,17033
F,1,3614400,61,17033
F,1,3614400,62,17033
F,1,3614400,62,17081
F,1,3614400,62,17916
F,1,4424400,78,4121
F,1,3614400,61,216
C,1,3614400,61,871
F,1,3614400,61,2158
C,1,3614400,61,3032
F,1,3614400,60,3258
F,1,3614400,61,4548
F,1,3614400,60,4577
F,1,3614400,60,4749
F,1,3614400,61,4749
F,1,3614400,61,5578
C,1,3614400,61,5844
F,1,3614400,61,6032
C,1,3614400,60,6515
F,1,3610800,60,7060
F,1,3614400,61,7060
F,1,3614400,60,7340
C,1,3614400,61,7656
F,1,3614400,61,8952
C,1,3614400,61,9677
F,1,3614400,61,14286
F,1,3614400,61,14947
F,1,3614400,60,14947
F,1,3614400,61,16489
C,1,3614400,61,16677
C,1,3614400,60,16677
C,1,3614400,61,17243
F,1,3614400,60,17756
F,1,3614400,59,17756
C,1,3603600,59,216
C,1,3603600,59,12382
F,1,3603600,59,2479
F,1,3603600,59,16755
F,1,3603600,59,9367
F,1,3603600,59,2765
F,1,3603600,59,4169
C,1,4449600,78,7305
F,1,4449600,78,9785
F,2,3546000,57,1868
F,1,3546000,55,9588
F,1,3546000,54,9588
F,1,3603600,59,17768
F,1,3603600,59,7191
F,1,3603600,59,7966
F,1,3603600,59,328
C,1,3603600,59,14228
F,1,3603600,59,3551
C,1,4485600,79,5266
F,1,4482000,79,14772
C,1,4485600,79,10987
F,1,4485600,79,8347
F,1,4482000,79,52
C,1,4485600,79,2276
F,1,4485600,79,14872
F,1,4482000,79,17421
F,1,4485600,79,16711
F,1,4485600,79,7448
F,1,4485600,79,9735
C,1,4485600,79,16509
F,1,4485600,79,9142
C,1,4485600,79,6601
F,1,4485600,79,10170
F,1,4485600,79,2301
F,1,4485600,79,422
F,1,4485600,79,14063
C,1,4485600,79,17374
F,1,4485600,79,7384
F,1,4485600,79,2908
F,1,3603600,59,2433
F,1,3603600,59,9
F,1,3603600,59,6917
F,1,3603600,59,3933
F,1,3614400,61,14310
F,1,3614400,61,167
C,1,3614400,61,298
C,1,3614400,61,316
C,1,3614400,61,413
C,1,3614400,59,2341
F,1,3614400,61,2486
F,1,3614400,61,2608
C,1,3614400,61,2786
F,1,3614400,61,3311
F,1,3614400,61,3711
F,1,3614400,60,4210
F,1,3614400,61,6097
F,1,3614400,61,6141
F,1,3614400,61,6179
C,1,3614400,59,6248
C,1,3614400,61,6515
C,1,3614400,61,6517
C,1,3614400,60,7316
F,1,3614400,61,8039
F,1,3614400,61,9575
F,1,3614400,60,9575
F,1,3614400,61,9696
F,1,3614400,60,10016
F,1,3614400,61,10342
F,1,3614400,61,10766
F,1,3614400,61,10935
C,1,3614400,61,11179
F,1,3614400,61,11306
F,1,3614400,61,11907
F,1,3614400,61,12590
F,1,3614400,60,12590
F,1,3614400,61,15271
F,1,3614400,61,15775
C,1,4478400,79,3066
C,1,4478400,79,3439
C,1,4478400,79,7635
C,1,4478400,79,11026
C,1,4478400,79,8461
C,1,4478400,79,11475
C,1,4478400,79,7338
C,1,4478400,79,9274
C,1,4478400,79,2264
F,1,4478400,79,12099
F,1,4478400,79,7280
F,1,4478400,79,16992
F,1,4478400,79,15038
F,2,4478400,77,9471
F,1,4478400,79,3121
F,1,4478400,79,10735
F,1,4478400,79,346
F,1,4478400,79,15808
F,1,4478400,79,17371
F,1,4478400,79,1752
F,1,4478400,79,12826
F,1,4478400,79,2197
F,1,4478400,79,5068
F,1,4478400,79,17084
F,1,3614400,60,242
F,1,3614400,62,353
F,1,3614400,62,405
F,1,3614400,62,619
F,1,3704400,62,871
F,1,3614400,60,1012
F,1,3614400,61,1012
F,1,3614400,59,1505
F,1,3614400,62,1771
F,1,3614400,62,1912
F,1,3614400,62,1947
F,1,3614400,62,1964
F,1,3614400,60,2185
F,1,3614400,62,2335
C,1,3614400,62,2339
F,1,3614400,62,2633
F,1,3614400,60,2686
F,1,3614400,62,3121
F,1,3614400,62,3143
C,1,3614400,62,3766
F,1,3614400,62,3831
C,1,3614400,62,3919
F,1,3614400,62,4011
F,1,3614400,62,4346
F,1,3614400,62,5535
F,1,3614400,62,5767
F,1,3614400,62,5777
F,1,3614400,61,5797
F,1,3614400,62,5835
F,1,3614400,62,5837
F,1,3614400,62,5860
F,1,3614400,61,5990
F,1,3614400,62,6157
F,1,3614400,60,6157
F,1,3614400,62,6248
F,1,3614400,62,6703
C,1,3614400,62,6861
C,1,3614400,62,6872
F,1,3614400,62,6982
F,1,3614400,61,7424
F,1,3614400,62,7463
F,1,3614400,62,7591
F,1,3614400,62,7617
C,1,3614400,62,7838
F,1,3614400,60,8163
F,1,3614400,61,8769
F,1,3614400,62,8985
C,1,3614400,62,9472
F,1,3614400,61,9619
F,1,3614400,62,10081
F,1,3614400,62,10326
F,1,3614400,62,10373
F,1,3614400,59,10907
F,1,3614400,61,10907
F,1,3614400,61,10924
F,1,3614400,62,11109
F,1,3614400,62,11474
F,1,3614400,60,11657
F,1,3614400,61,11657
F,1,3614400,62,11907
F,1,3614400,62,12057
F,1,3614400,59,12207
F,1,3614400,61,12207
F,1,3614400,62,12365
C,1,3614400,62,12475
F,1,3614400,61,12553
F,1,3614400,62,12553
F,1,3614400,62,12697
F,1,3614400,61,13569
F,1,3614400,62,13584
F,1,3614400,62,13691
F,1,3614400,62,13744
F,1,3614400,62,14286
F,1,3614400,60,14308
F,1,3614400,61,14962
F,1,3614400,61,15104
C,1,3614400,62,15130
F,1,3614400,60,15732
F,1,3614400,62,15866
C,1,3614400,61,15866
F,1,3614400,62,16755
F,1,3614400,62,17151
F,1,3614400,62,17331
C,1,3614400,62,17626
F,1,3618000,60,9708
F,1,3618000,60,13376
F,1,3618000,61,7327
F,1,3618000,61,13376
F,1,3618000,61,17768
F,1,3618000,59,13437
F,1,3618000,62,816
F,1,3618000,62,1007
F,1,3618000,62,7327
F,1,3618000,62,13437
F,1,3621600,62,16204
F,1,4388400,78,11646
F,1,4460400,78,8073
C,1,3610800,61,1
F,1,3610800,61,9
C,1,3614400,60,43
F,1,3614400,61,68
F,1,3614400,60,68
F,1,3610800,61,109
C,1,3610800,60,208
C,1,3610800,61,285
F,1,3614400,59,304
C,1,3610800,61,353
F,1,3610800,61,525
F,1,3614400,60,575
F,1,3610800,61,586
F,1,3610800,61,619
F,1,3610800,61,761
F,1,3610800,61,888
F,1,3614400,61,1244
F,1,3610800,61,1322
F,1,3610800,61,1771
F,1,3610800,61,1960
C,1,3614400,61,2201
F,1,3610800,61,2273
C,1,3610800,61,2339
C,1,3614400,61,2341
C,1,3614400,60,2341
F,1,3610800,61,2427
F,1,3610800,60,2433
F,1,3610800,61,2479
C,1,3614400,60,3066
F,1,3610800,61,3143
C,1,3610800,61,3271
F,1,3870000,61,3808
F,1,3614400,61,4028
F,1,3614400,61,4186
C,1,3610800,61,4371
F,1,3614400,59,4479
F,1,3610800,61,4486
F,1,3610800,61,4776
C,1,3614400,61,5020
F,1,3614400,61,5063
F,1,3610800,61,5860
F,1,3614400,61,6338
F,1,3610800,61,7238
F,1,3610800,61,7463
F,1,3610800,60,7617
F,1,3610800,61,7664
F,1,3614400,61,7828
F,1,3610800,61,8198
F,1,3610800,60,8210
F,1,3610800,61,8210
F,1,3610800,60,8225
F,1,3610800,59,8225
F,1,3610800,61,8399
C,1,3614400,61,8573
F,1,3610800,61,8658
C,1,3610800,61,8876
C,1,3610800,61,9174
F,1,3610800,61,9797
F,1,3614400,61,9865
C,1,3610800,61,9982
F,1,3614400,61,10023
C,1,3610800,61,10175
F,1,3610800,61,10326
F,1,3610800,61,10417
F,1,3610800,61,10651
