bookID,title,average_rating,isbn,isbn13,num_pages,ratings_count,text_reviews_count,publication_date,author,lang,publisher,num_pages_grp
26,The Lost Continent: Travels in Small Town America,3.83,60920084,9780060000000.0,299,45712,2257,8/28/1990,Bill Bryson,eng,William Morrow Paperbacks,250-499
27,Neither Here nor There: Travels in Europe,3.86,380713802,9780380000000.0,254,48701,2238,3/28/1993,Bill Bryson,eng,William Morrow Paperbacks,250-499
28,Notes from a Small Island,3.91,380727501,9780380000000.0,324,80609,3301,5/28/1997,Bill Bryson,eng,William Morrow Paperbacks,250-499
29,The Mother Tongue: English and How It Got That Way,3.93,380715430,9780380000000.0,270,28489,2085,9/28/1991,Bill Bryson,eng,William Morrow Paperbacks,250-499
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.59,345538374,9780350000000.0,1728,101233,1550,9/25/2012,J.R.R. Tolkien,eng,Ballantine Books,>=1000
31,The Lord of the Rings (The Lord of the Rings  #1-3),4.5,618517650,9780620000000.0,1184,1710,91,10/21/2004,J.R.R. Tolkien,eng,Houghton Mifflin Harcourt,>=1000
34,The Fellowship of the Ring (The Lord of the Rings  #1),4.36,618346252,9780620000000.0,398,2128944,13670,9/5/2003,J.R.R. Tolkien,eng,Houghton Mifflin Harcourt,250-499
35,The Lord of the Rings (The Lord of the Rings  #1-3),4.5,618260587,9780620000000.0,1216,1618,140,10/1/2002,J.R.R. Tolkien,en-US,Houghton Mifflin Harcourt,>=1000
36,The Lord of the Rings: Weapons and Warfare,4.53,618391002,9780620000000.0,218,19822,46,11/5/2003,Chris   Smith,eng,Houghton Mifflin Harcourt,<250
37,The Lord of the Rings: Complete Visual Companion,4.5,618510826,9780620000000.0,224,359,6,11/15/2004,Jude Fisher,eng,Houghton Mifflin Harcourt,<250
45,Agile Web Development with Rails: A Pragmatic Guide,3.84,097669400X,9780980000000.0,558,1430,59,7/28/2005,Dave Thomas,eng,Pragmatic Bookshelf,500-749
50,Hatchet (Brian's Saga  #1),3.72,689840926,9780690000000.0,208,270244,12017,4/1/2000,Gary Paulsen,eng,Atheneum Books for Young Readers: Richard Jackson Books,<250
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",4.0,1557344493,9781560000000.0,48,36,2,8/28/1994,Donna Ickes,eng,Teacher Created Resources,<250
53,Guts: The True Stories behind Hatchet and the Brian Books,3.88,385326505,9780390000000.0,144,2067,334,1/23/2001,Gary Paulsen,eng,Delacorte Press,<250
54,Molly Hatchet - 5 of the Best,4.33,1575606240,9781580000000.0,56,6,0,6/10/2003,Molly Hatchet,eng,Cherry Lane Music Company,<250
55,Hatchet Jobs: Writings on Contemporary Fiction,3.45,1595580271,9781600000000.0,228,99,16,11/1/2005,Dale Peck,en-US,The New Press,<250
57,A Changeling for All Seasons (Changeling Seasons #1),3.76,1595962808,9781600000000.0,304,167,4,11/1/2005,Angela Knight,eng,Changeling Press,250-499
58,Changeling (Changeling  #1),3.6,670059676,9780670000000.0,256,978,111,8/17/2006,Delia Sherman,eng,Viking Juvenile,250-499
59,The Changeling Sea,4.06,141312629,9780140000000.0,137,4454,302,4/14/2003,Patricia A. McKillip,eng,Firebird,<250
61,The Changeling,4.17,595321801,9780600000000.0,228,1176,96,6/8/2004,Zilpha Keatley Snyder,eng,iUniverse,<250
63,The Changeling,3.55,1590301943,9781590000000.0,339,301,43,4/12/2005,Kate Horsley,eng,Shambhala,250-499
66,The Changeling (Daughters of England  #15),3.98,449146979,9780450000000.0,369,345,12,8/28/1990,Philippa Carr,eng,Ivy Books,250-499
67,The Known World,3.83,61159174,9780060000000.0,388,29686,2626,8/29/2006,Edward P. Jones,eng,Amistad,250-499
68,The Known World,3.83,006076273X,9780060000000.0,14,55,12,6/15/2004,Edward P. Jones,en-US,HarperAudio,<250
69,The Known World,3.83,60749911,9780060000000.0,576,22,3,6/15/2004,Edward P. Jones,eng,Harper,500-749
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,3.83,273704745,9780270000000.0,334,1456,82,5/15/2006,Satyajit Das,eng,FT Press,250-499
72,Artesia: Adventures in the Known World,4.13,1932386106,9781930000000.0,352,52,4,12/14/2005,Mark Smylie,eng,Archaia,250-499
74,The John McPhee Reader (John McPhee Reader  #1),4.42,374517193,9780370000000.0,416,562,37,6/1/1982,John McPhee,eng,Farrar  Straus and Giroux,250-499
75,Uncommon Carriers,3.95,374280398,9780370000000.0,248,1630,203,5/16/2006,John McPhee,en-US,Farrar Straus Giroux,<250
76,Heirs of General Practice,4.17,374519749,9780370000000.0,128,268,22,4/1/1986,John McPhee,eng,Farrar  Straus and Giroux,<250
77,The Control of Nature,4.24,374522596,9780370000000.0,288,3498,305,9/1/1990,John McPhee,en-US,Farrar  Straus and Giroux,250-499
78,Annals of the Former World,4.34,374518734,9780370000000.0,720,3115,228,1/6/1999,John McPhee,eng,Farrar  Straus and Giroux,500-749
79,Coming Into the Country,4.22,374522871,9780370000000.0,448,5704,261,4/1/1991,John McPhee,eng,Farrar  Straus and Giroux,250-499
80,La Place de la Concorde Suisse,3.92,374519323,9780370000000.0,160,698,52,4/1/1994,John McPhee,fre,Farrar  Straus and Giroux,<250
81,Giving Good Weight,4.23,374516006,9780370000000.0,288,542,36,4/1/1994,John McPhee,eng,Farrar  Straus and Giroux,250-499
83,Rising from the Plains,4.23,374520658,9780370000000.0,208,1341,98,11/1/1987,John McPhee,eng,Farrar  Straus and Giroux,<250
85,The Heidi Chronicles,3.75,822205106,9780820000000.0,81,1423,70,3/1/2002,Wendy Wasserstein,eng,Dramatists Play Service,<250
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,3.84,679734996,9780680000000.0,249,2766,64,7/2/1991,Wendy Wasserstein,eng,Vintage,<250
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,3.94,1596670231,9781600000000.0,138,31,1,3/29/2006,Heidi Hayes Jacobs,eng,Routledge,<250
90,Simply Beautiful Beaded Jewelry,3.77,1581807740,9781580000000.0,128,62,4,3/14/2006,Heidi Boyd,en-US,North Light Books,<250
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,4.46,800793617,9780800000000.0,192,860,53,9/1/2003,Heidi Baker,eng,Chosen Books,<250
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,3.68,871202867,9780870000000.0,108,77,2,1/28/1997,Heidi Hayes Jacobs,en-US,Association for Supervision & Curriculum Development,<250
93,Heidi (Heidi  #1-2),3.99,753454947,9780750000000.0,352,153317,2257,11/15/2002,Johanna Spyri,eng,Kingfisher,250-499
94,Getting Results with Curriculum Mapping,3.25,871209993,9780870000000.0,192,55,5,11/15/2004,Heidi Hayes Jacobs,eng,ASCD,<250
96,There's Always Enough: The Miraculous Move of God in Mozambique,4.46,1852402873,9781850000000.0,192,34,6,4/28/2003,Rolland Baker,eng,Sovereign World,<250
98,What to Expect the First Year (What to Expect),3.89,761129588,9780760000000.0,832,11797,659,10/16/2003,Heidi Murkoff,eng,Workman Publishing Company,750-999
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,3.82,972016414,9780970000000.0,123,34,8,5/10/2004,Heidi Fleiss,eng,One Hour Entertainment,<250
100,Simply Beautiful Beading: 53 Quick and Easy Projects,3.78,1581805632,9781580000000.0,128,78,4,8/19/2004,Heidi Boyd,en-US,North Light Books,<250
103,God Emperor of Dune (Dune Chronicles  #4),3.84,441294677,9780440000000.0,423,2785,166,6/15/1987,Frank Herbert,eng,Ace Books,250-499
105,Chapterhouse: Dune (Dune Chronicles #6),3.91,441102670,9780440000000.0,436,38778,568,7/1/1987,Frank Herbert,eng,Ace Books,250-499
106,Dune Messiah (Dune Chronicles #2),3.88,441172695,9780440000000.0,331,97494,2359,7/15/1987,Frank Herbert,eng,Ace Books,250-499
107,Dreamer of Dune: The Biography of Frank Herbert,4.01,765306476,9780770000000.0,592,784,21,7/1/2004,Brian Herbert,en-US,Tor Books,500-749
109,Heretics of Dune (Dune Chronicles  #5),3.86,399128980,9780400000000.0,480,272,20,4/16/1984,Frank Herbert,eng,Putnam,250-499
110,The Road to Dune,3.88,765353709,9780770000000.0,426,4789,83,8/29/2006,Frank Herbert,eng,Tor Science Fiction,250-499
117,Heretics of Dune (Dune Chronicles #5),3.86,441328008,9780440000000.0,471,45388,644,8/15/1987,Frank Herbert,eng,Ace Books,250-499
119,The Lord of the Rings: The Art of the Fellowship of the Ring,4.59,618212906,9780620000000.0,192,26153,102,6/12/2002,Gary Russell,eng,Houghton Mifflin Harcourt,<250
122,The Power of One (The Power of One  #1),4.35,034541005X,9780350000000.0,544,69167,4551,9/29/1996,Bryce Courtenay,eng,Ballantine Books,500-749
123,The Power of One (The Power of One  #1),4.35,385732546,9780390000000.0,291,45,13,9/13/2005,Bryce Courtenay,eng,Delacorte Books for Young Readers,250-499
129,The Power of One: One Person  One Rule  One Month,4.28,785260056,9780790000000.0,256,16,1,11/1/2004,John C. Maxwell,en-US,Thomas Nelson,250-499
130,Power of an Hour: Business and Life Mastery in One Hour a Week,3.34,471780936,9780470000000.0,205,174,16,5/19/2006,Dave Lakhani,eng,Wiley,<250
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,3.67,325001537,9780330000000.0,240,10,0,2/7/2000,Louis E. Catron,eng,Heinemann Drama,<250
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,3.48,006076287X,9780060000000.0,336,76,9,5/3/2005,Adam Ginsberg,eng,William Morrow Paperbacks,250-499
133,eBay for Dummies,3.5,470045299,9780470000000.0,386,111,9,10/30/2006,Marsha Collier,eng,Wiley,250-499
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,3.62,72262788,9780070000000.0,260,24,0,1/24/2006,Chris Malta,eng,McGraw-Hill,250-499
137,Starting an eBay Business for Dummies,3.55,764569244,9780760000000.0,384,55,4,9/17/2004,Marsha Collier,eng,Wiley,250-499
138,eBay: Top 100 Simplified Tips & Tricks,4.27,471933821,9780470000000.0,260,9,0,6/6/2006,Julia Wilkinson,eng,Wiley,250-499
139,ebay Timesaving Techniques for Dummies,3.39,764559915,9780760000000.0,391,22,1,5/31/2004,Marsha Collier,en-US,Wiley,250-499
140,eBay Business All-in-One Desk Reference for Dummies,3.89,764584383,9780760000000.0,864,17,3,4/25/2005,Marsha Collier,en-US,Wiley,750-999
141,Ruby Cookbook,3.84,596523696,9780600000000.0,873,166,4,7/29/2006,Lucas Carlson,eng,O'Reilly Media,750-999
142,Ruby Ann's Down Home Trailer Park Cookbook,4.12,806523492,9780810000000.0,240,50,5,5/3/2005,Ruby Ann Boxcar,eng,Citadel,<250
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,4.08,806525363,9780810000000.0,206,13,2,5/3/2005,Ruby Ann Boxcar,eng,Citadel,<250
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,3.48,596527314,9780600000000.0,514,64,1,1/1/2007,Rob Orsini,eng,O'Reilly Media,500-749
151,Anna Karenina,4.05,143035002,9780140000000.0,838,16643,1851,5/31/2004,Leo Tolstoy,eng,Penguin Classics,750-999
152,Anna Karenina,4.05,451528611,9780450000000.0,960,109420,5696,11/5/2002,Leo Tolstoy,eng,Signet,750-999
153,Anna Karenina,4.05,140449175,9780140000000.0,837,2904,309,1/30/2003,Leo Tolstoy,eng,Penguin Books,750-999
154,CliffsNotes on Tolstoy's Anna Karenina,3.85,822001837,9780820000000.0,80,16,3,11/26/1965,Marianne Sturman,eng,Cliffs Notes,<250
155,Anna Karenina,4.05,1593080271,9781590000000.0,803,9564,726,7/1/2003,Leo Tolstoy,eng,Barnes & Noble Classics,750-999
156,Anna Karenina,4.05,486437965,9780490000000.0,752,474,72,11/23/2004,Leo Tolstoy,eng,Dover Publications,750-999
157,Anna Karenina,4.05,1593081774,9781590000000.0,803,303,48,8/26/2004,Leo Tolstoy,eng,Barnes & Noble,750-999
159,Dinner with Anna Karenina,2.99,778322270,9780780000000.0,360,411,65,1/28/2006,Gloria Goldreich,eng,Mira Books,250-499
160,Tolstoy: Anna Karenina,4.19,521313252,9780520000000.0,128,1204,33,11/26/1987,Anthony Thorlby,eng,Cambridge University Press,<250
162,Untouchable,3.71,140183957,9780140000000.0,160,3429,279,7/3/1990,Mulk Raj Anand,eng,Penguin Books,<250
163,The Untouchable,3.95,679767479,9780680000000.0,367,2163,216,6/30/1998,John Banville,eng,Vintage,250-499
164,The Untouchables,3.89,1568491980,9781570000000.0,256,613,31,2/1/1996,Eliot Ness,eng,Buccaneer Books,250-499
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,3.82,743270797,9780740000000.0,320,308,40,9/27/2005,Narendra Jadhav,en-US,Scribner,250-499
166,Dalit: The Black Untaouchables of India,4.2,932863051,9780930000000.0,100,10,0,1/28/1995,V.T. Rajshekar,eng,Clarity Press,<250
168,Growing Up Untouchable in India: A Dalit Autobiography,3.65,742508803,9780740000000.0,224,16,4,12/20/2000,Vasant Moon,eng,Rowman & Littlefield Publishers,<250
171,The Evidence-Based Social Work Skills Book,3.4,205358624,9780210000000.0,216,10,0,9/22/2003,Barry R. Cournoyer,eng,Pearson,<250
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",4.0,1557344035,9781560000000.0,48,17,0,9/28/1991,John Carratello,eng,Teacher Created Resources,<250
180,Wrinkles in Time,4.01,380720442,9780380000000.0,360,1035,23,10/1/1994,George Smoot,eng,Harper Perennial,250-499
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),4.0,821925326,9780820000000.0,250,36,6,5/1/2002,Madeleine L'Engle,eng,EMC/Paradigm Publishing,250-499
182,Literature Circle Guide: A Wrinkle in Time,3.6,043927169X,9780440000000.0,32,15,0,1/1/2002,Tara MacCarthy,eng,Teaching Resources,<250
201,Una arruga en el tiempo – A Wrinkle in Time,4.0,606105263,9780610000000.0,205,6,1,6/1/1984,Madeleine L'Engle,spa,Turtleback Books,<250
204,The Long Shadow (The Morland Dynasty  #6),4.12,751506435,9780750000000.0,367,376,17,6/1/1994,Cynthia Harrod-Eagles,eng,Little  Brown Book Group,250-499
205,A Long Shadow (Inspector Ian Rutledge  #8),4.11,006078671X,9780060000000.0,352,3086,237,1/3/2006,Charles Todd,eng,William Morrow,250-499
207,Long Way Round: Chasing Shadows Across the World,3.94,743499344,9780740000000.0,320,352,44,11/1/2005,Ewan McGregor,en-US,Atria Books,250-499
208,A Shadow in Summer (Long Price Quartet  #1),3.6,765313405,9780770000000.0,331,9852,633,3/7/2006,Daniel Abraham,eng,Tor Books,250-499
213,New Hope for the Dead (Hoke Mosely #2),3.9,1400032490,9781400000000.0,244,821,78,8/10/2004,Charles Willeford,eng,Vintage Crime/Black Lizard,<250
214,Sideswipe: A Hoke Moseley Novel,4.05,1400032482,9781400000000.0,215,731,72,3/8/2005,Charles Willeford,eng,Vintage Crime/Black Lizard,<250
216,Miami Blues (Hoke Moseley #1),3.94,1400032466,9781400000000.0,191,2897,178,8/10/2004,Charles Willeford,eng,Vintage Crime/Black Lizard,<250
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),3.89,679732527,9780680000000.0,144,98,11,10/3/1990,Charles Willeford,eng,Vintage,<250
231,I am Charlotte Simmons,3.42,312424442,9780310000000.0,738,20888,1688,8/30/2005,Tom Wolfe,eng,Picador USA,500-749
237,Poetry for Young People: Edward Lear,3.91,806930772,9780810000000.0,48,66,19,10/1/2001,Edward Lear,eng,Sterling,<250
244,The Puffin Book of Nonsense Verse,4.02,140366601,9780140000000.0,287,81,6,10/3/1996,Quentin Blake,eng,Puffin,250-499
245,Henry Miller on Writing,4.22,811201120,9780810000000.0,217,981,52,2/1/1964,Henry Miller,eng,New Directions Publishing,<250
247,Quiet Days in Clichy,3.69,080213016X,9780800000000.0,154,3381,141,1/13/1994,Henry Miller,eng,Grove Press,<250
249,Tropic of Cancer,3.68,802131786,9780800000000.0,318,53206,2376,1/6/1994,Henry Miller,eng,Grove Press,250-499
250,Tropic of Capricorn,3.78,802151825,9780800000000.0,348,14872,459,1/13/1994,Henry Miller,eng,Grove Press,250-499
251,Nexus (The Rosy Crucifixion  #3),4.1,802151787,9780800000000.0,316,3261,58,1/13/1994,Henry Miller,eng,Grove Press,250-499
252,Sexus (The Rosy Crucifixion  #1),3.98,802151809,9780800000000.0,506,7805,251,1/12/1994,Henry Miller,eng,Grove Press,500-749
253,The Air-Conditioned Nightmare,3.83,811201066,9780810000000.0,292,2699,142,1/17/1970,Henry Miller,eng,New Directions,250-499
264,The Portrait of a Lady,3.78,141439637,9780140000000.0,797,61640,1951,9/30/2003,Henry James,eng,Penguin Classics,750-999
269,The Portrait of a Lady,3.78,1593080964,9781590000000.0,635,392,41,1/16/2004,Henry James,eng,Barnes  Noble Classics,500-749
277,Writing,3.75,1571290532,9781570000000.0,91,778,44,5/6/1999,Marguerite Duras,eng,Brookline Books,<250
278,The War,3.85,1565842219,9781570000000.0,192,963,65,8/1/1994,Marguerite Duras,eng,The New Press,<250
280,The Ravishing of Lol Stein,3.66,394743040,9780390000000.0,181,2057,128,3/12/1986,Marguerite Duras,en-US,Pantheon,<250
285,Love Letters,3.68,1851681825,9781850000000.0,178,203,8,7/1/1999,Kahlil Gibran,eng,One World (UK),<250
288,Kahlil Gibran: His Life and World,4.21,156656249X,9781570000000.0,464,35,2,4/1/1998,Jean Gibran,eng,Interlink Publishing Group,250-499
289,The Beloved: Reflections on the Path of the Heart,4.19,014019553X,9780140000000.0,102,328,16,1/1/1998,Kahlil Gibran,eng,Penguin Books,<250
290,Jesus the Son of Man,3.98,394431243,9780390000000.0,216,1308,82,2/21/1995,Kahlil Gibran,eng,Knopf,<250
291,The Broken Wings,3.92,806501901,9780810000000.0,132,6432,517,3/3/2003,Kahlil Gibran,eng,Citadel,<250
292,Sand and Foam,4.08,067943920X,9780680000000.0,100,3015,217,6/14/2011,Kahlil Gibran,eng,Knopf,<250
295,Treasure Island,3.83,753453800,9780750000000.0,311,318753,6734,9/15/2001,Robert Louis Stevenson,eng,Kingfisher,250-499
296,Treasure Island,3.83,1402714572,9781400000000.0,213,420,42,10/1/2004,Robert Louis Stevenson,en-US,Sterling Children's Books,<250
297,Treasure Island,3.83,1416500294,9781420000000.0,245,5967,276,6/1/2005,Robert Louis Stevenson,eng,Simon & Schuster,<250
298,Treasure Island,3.83,689854684,9780690000000.0,64,104,14,7/1/2003,Robert Louis Stevenson,eng,Atheneum Books for Young Readers,<250
299,Treasure Island,3.83,517221144,9780520000000.0,272,56,4,9/3/2002,Robert Louis Stevenson,en-US,Gramercy Books,250-499
302,Treasure Island (Great Illustrated Classics),4.05,1577658051,9781580000000.0,232,91,16,1/31/2006,Deidre S. Laiken,eng,Abdo Publishing Company,<250
313,100 Years of Lynchings,4.61,933121180,9780930000000.0,270,88,4,11/22/1996,Ralph Ginzburg,eng,Black Classic Press,250-499
324,Cien años de soledad,4.07,785950109,9780790000000.0,448,63,7,1/1/1990,Gabriel García Márquez,spa,French & European,250-499
330,On Beyond Zebra!,4.04,394800842,9780390000000.0,64,2815,164,9/12/1955,Dr. Seuss,eng,Random House Books for Young Readers,<250
332,The Wedding Clause,3.6,821778250,9780820000000.0,256,95,13,6/7/2005,Debbie Raleigh,eng,Zebra,250-499
333,The Zebra Wall,3.44,60733039,9780060000000.0,147,217,24,2/15/2005,Kevin Henkes,eng,Greenwillow Books,<250
337,El perfume: Historia de un asesino,4.02,8432216062,9788430000000.0,239,4136,255,6/1/2002,Patrick Süskind,spa,Booket,<250
348,The Door Into Summer,4.01,345413997,9780350000000.0,304,17232,649,6/17/1997,Robert A. Heinlein,eng,Del Rey,250-499
350,Stranger in a Strange Land,3.92,441788386,9780440000000.0,528,251872,6241,10/1/1991,Robert A. Heinlein,eng,Ace,500-749
354,To Sail Beyond the Sunset,3.87,441748600,9780440000000.0,434,10293,193,6/1/1988,Robert A. Heinlein,en-US,Ace Books,250-499
355,Job: A Comedy of Justice,3.78,345316509,9780350000000.0,439,15970,438,10/12/1985,Robert A. Heinlein,en-US,Del Rey,250-499
356,Time for the Stars (Heinlein's Juveniles  #10),3.97,765314932,9780770000000.0,256,6898,200,8/8/2006,Robert A. Heinlein,eng,Tor Books,250-499
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),4.06,671742515,9780670000000.0,307,67803,1401,2/15/1991,Douglas Adams,en-US,Pocket Books,250-499
359,The Salmon of Doubt (Dirk Gently  #3),3.93,345455290,9780350000000.0,298,22091,746,4/26/2005,Douglas Adams,eng,Del Rey,250-499
362,Wish You Were Here: The Official Biography of Douglas Adams,4.14,345476514,9780350000000.0,368,2623,49,12/27/2005,Nick  Webb,eng,Del Rey,250-499
367,Douglas Adams's Starship Titanic,3.6,345368436,9780350000000.0,256,885,84,10/27/1998,Terry Jones,eng,Ballantine Books,250-499
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,3.93,1417622857,9781420000000.0,336,5,0,7/1/2003,Douglas Adams,eng,Turtleback Books,250-499
382,The Phantom Tollbooth: A Children's Play in Two Acts,4.13,573650969,9780570000000.0,72,100,13,1/12/2011,Susan Nanus,eng,Samuel French  Inc.,<250
385,On Bullshit,3.57,691122946,9780690000000.0,67,9358,995,1/30/2005,Harry G. Frankfurt,eng,Princeton University Press,<250
386,Another Bullshit Night in Suck City,3.78,393329402,9780390000000.0,347,9318,907,9/12/2005,Nick Flynn,eng,W. W. Norton & Company,250-499
394,Lincoln at Gettysburg: The Words That Remade America,4.14,671867423,9780670000000.0,317,120,15,6/12/1993,Garry Wills,en-US,Simon & Schuster,250-499
397,The Gettysburg Address,4.53,395883970,9780400000000.0,32,5239,76,2/2/1998,Abraham Lincoln,eng,HMH Books for Young Readers,<250
399,Underworld,3.92,684848155,9780680000000.0,827,1505,175,7/9/1998,Don DeLillo,eng,Scribner,750-999
400,Libra,3.99,140156046,9780140000000.0,480,11857,564,5/1/1991,Don DeLillo,eng,Penguin,250-499
403,Americana,3.43,140119485,9780140000000.0,377,393,55,7/6/1989,Don DeLillo,eng,Penguin Books,250-499
404,Running Dog,3.43,679722947,9780680000000.0,256,1356,72,7/17/1989,Don DeLillo,eng,Vintage Contemporaries,250-499
406,Cosmopolis,3.22,743244257,9780740000000.0,224,460,41,4/6/2004,Don DeLillo,eng,Scribner,<250
407,Great Jones Street,3.48,140179178,9780140000000.0,272,2492,145,1/1/1994,Don DeLillo,eng,Penguin Books,250-499
408,The Names,3.64,679722955,9780680000000.0,339,3100,212,7/17/1989,Don DeLillo,eng,Vintage,250-499
409,Against the Day,4.13,159420120X,9781590000000.0,1085,5296,587,11/21/2006,Thomas Pynchon,eng,Penguin Press,>=1000
410,V.,3.96,60930217,9780060000000.0,547,1415,177,7/5/2005,Thomas Pynchon,eng,Harper Perennial Modern Classics,500-749
411,The Crying of Lot 49,3.69,60931671,9780060000000.0,152,2161,230,4/1/1999,Thomas Pynchon,eng,Harper Perennial,<250
412,Gravity's Rainbow,4.01,140283382,9780140000000.0,784,762,213,1/1/2000,Thomas Pynchon,eng,Penguin Books,750-999
413,Mason & Dixon,4.07,312423209,9780310000000.0,773,8086,602,1/3/2004,Thomas Pynchon,eng,Picador USA,750-999
414,Vineland,3.69,141180633,9780140000000.0,385,702,69,9/1/1997,Thomas Pynchon,en-US,Penguin Classics,250-499
415,Gravity's Rainbow,4.01,143039946,9780140000000.0,776,29764,2164,10/31/2006,Thomas Pynchon,eng,Penguin Books,750-999
416,Slow Learner: Early Stories,3.5,316724432,9780320000000.0,193,334,34,4/30/1985,Thomas Pynchon,eng,Back Bay Books,<250
418,Been Down So Long It Looks Like Up To Me,3.8,140189300,9780140000000.0,352,2473,220,8/29/1996,Richard Fariña,eng,Penguin Classics,250-499
420,The Year of Magical Thinking,3.89,140004314X,9781400000000.0,227,2656,336,10/4/2005,Joan Didion,en-US,Knopf Publishing Group,<250
421,The White Album,4.17,374522219,9780370000000.0,222,11889,738,10/1/1990,Joan Didion,eng,Farrar Straus Giroux,<250
422,A Book of Common Prayer,3.8,679754865,9780680000000.0,272,2962,255,4/11/1995,Joan Didion,eng,Vintage International,250-499
423,Where I Was From,3.86,679752862,9780680000000.0,240,2842,292,9/14/2004,Joan Didion,eng,Vintage,<250
424,Slouching Towards Bethlehem,4.21,374521727,9780370000000.0,238,26934,1825,10/1/1990,Joan Didion,eng,Farrar Straus Giroux,<250
425,Democracy,3.81,679754857,9780680000000.0,234,2070,169,4/25/1995,Joan Didion,en-US,Vintage International,<250
