name
J.K. Rowling
Marisha Pessl
Lois Beckwith
Janet Evanovich
Jayne Ann Krentz
Sarah Ban Breathnach
Marjorie Weinman Sharmat
George E. Stanley
Kaho Miyasaka
Fulton J. Sheen
George MacDonald
Ivan Turgenev
Jane Moore
Amanda Clark
Justin   O'Brien
Antonio Gramsci
L.M. Montgomery
Arthur Conan Doyle
E.J. Wagner
Nick Rennison
NOT A BOOK
Eric Tyson
Clare Naylor
Bruce H. Wilkinson
Lois Lowry
Bill Brittain
Jack Weatherford
Claire Messud
Zadie Smith
Libba Bray
Kym Douglas
Anna Sewell
Ann Patchett
Norman Sherry
Graham Greene
Chuck Palahniuk
Helen Ericson
Maya Gold
Ian Fleming
Madeleine Brent
Noel Streatfeild
Rumer Godden
Anne Chisholm
Jonathan Franzen
Lisa Whelchel
P.D. James
Henri Blocher
Nina Bangs
Michael Jan Friedman
Miguel de Cervantes Saavedra
Vladimir Nabokov
J.A. Jance
Fern Michaels
Eric Klinenberg
Lora Leigh
Ruth Prawer Jhabvala
Sarah Macdonald
Joel Salatin
Nicole Krauss
Thomas E. Woods Jr.
Tom Standage
Karen Armstrong
Barbara Fairchild
Ina Garten
Diane Johnson
Leonard Michaels
Laura Dave
Dan Simmons
J. Michael Straczynski
Michael Chabon
Max Lucado
J.D. Salinger
Brenda Walpole
Bret Easton Ellis
Scott Turow
Pete Hautman
Ronald B. Flowers
Thomas  Moore
Elizabeth Clare Prophet
Arielle Ford
Viktor E. Frankl
Eric R. Kandel
Peter Kent
Andy Hunt
Johanna Rothman
Anne Hoppus
Brigid Avison
Roderick Townley
Ray Oldenburg
James C. Collins
Amy Sedaris
David Sedaris
Ben Mezrich
Pat Williams
Efrem Smith
Tom Stanton
James Ellroy
Hans Blumenberg
Greg  Taylor
Larry Burkett
Robert Anton Wilson
Bart D. Ehrman
Nick Hornby
Ruth Downie
Middlesex Borough Heritage Committee
Stephen J. Burn
Anthony Kiedis
Éric-Emmanuel Schmitt
Sonallah Ibrahim
Sarah Dessen
Dale Brown
Chris  Williams
Aidan Hartley
Anderson Cooper
Michael Herr
Bentley Little
Robert D. Siegel
Ian Whybrow
Joanne Rocklin
Anthony Loyd
Anthony Shadid
Suketu Mehta
Andrew X. Pham
Chanrithy Him
Loung Ung
Ray Bradbury
Kelly McGrath Vlcek
Neil Gaiman
Jon Meacham
Stephen Oppenheimer
Yona Zeldis McDonough
Harrison Edward Livingstone
Robert Dallek
Augusten Burroughs
M. Scott Peck
John Irving
Atul Gawande
Judith Viorst
Helen Fielding
Carlos Ruiz Zafón
Ruby K. Payne
David A. Black
E.L. Konigsburg
Sylvia Engdahl
Jonathan Safran Foer
Matt Ridley
David W. Mount
James Shreeve
Glen David Gold
Sandra Boynton
Doreen Cronin
Lisa Wheeler
Charles A. Peek
Joseph Heller
Liza Dalby
New Scientist
Mark Bailey
Sven Regener
Carlene Fredericka Brennen
F. Scott Fitzgerald
Kathleen Parkinson
Kate Maurer
Noah Gordon
Noah Eli Gordon
Paula S. Fass
Steven L. Layne
Scott   Cunningham
Time-Life Books
George Lucas
Robert L. O'Connell
John Warry
Dava Sobel
Rebecca Aberg
William Andrewes
Gavin Menzies
Kristi Gold
Nathaniel Philbrick
Lerone Bennett Jr.
Salman Rushdie
Steve McConnell
Dale Carnegie
Alice   Miller
Spencer Johnson
W. Chan Kim
Joseph Conrad
Frank McCourt
Jerome K. Jerome
Haruki Murakami
Fyodor Dostoyevsky
James Lamar Roberts
Peter Menzel
Eric Carle
Don    Wood
Elinor J. Pinczes
Amitav Ghosh
Geneen Roth
Dave Eggers
Lisa McCourt
Geraldine Brooks
Tanya Remer Altmann
Stephen King
Kurt Vonnegut Jr.
Harold Bloom
Anita Diamant
Sandra Hack Polaski
Ann Finding
Christopher   Clark
Jean Rabe
Antony Beevor
Ian McEwan
Alma Flor Ada
Ken Follett
Marcia Angell
Yukito Kishiro
John E. Upledger
Julia Child
Margaret Atwood
Barron's
Aldous Huxley
Elspeth Huxley
Lauren Weisberger
Julie Mullaney
John Knowles
Anna Quindlen
Kaye Gibbons
Alice Hoffman
Maya Angelou
Jacquelyn Mitchard
Lalita Tademy
Billie Letts
Katherine E. Krohn
Christina Schwarz
Ann-Marie MacDonald
Pearl Cleage
Sue Miller
Melinda Haynes
Edwidge Danticat
Jane Hamilton
Elizabeth Berg
Anita Shreve
Maeve Binchy
Ernest J. Gaines
Toni Morrison
Bill Cosby
Wally Lamb
Joyce Carol Oates
Rohinton Mistry
Janet Fitch
Alan Paton
Barbara Kingsolver
Paul Kengor
Dinesh D'Souza
Oscar Wilde
Richard Ellmann
Ravi Zacharias
Don Rosa
Marvin Kaye
Jean Shepherd
Tim Dowley
Jane Werner Watson
Jane Parker Resnick
Robin Waterfield
Diana Gabaldon
Kathleen Winsor
Paula Danziger
Dugald A. Steer
Kaza Kingsley
James A. Hetley
Christopher Stasheff
Patricia Thomas
Roland H. Bainton
Edward W. Said
Jhumpa Lahiri
David L. Holmes
Ann Brashares
George Orwell
David Nasaw
Naguib Mahfouz
Ruud van der Rol
Miep Gies
Frances Goodrich
Johanna Hurwitz
Rosetta James
Robert Penn Warren
L. David Allen
Ian King
Richard P. Feynman
Steve Wozniak
William McDonough
James Patterson
Michael B. Oren
Bernard Williams
Jean Nienkamp
Jahan Ramazani
Gillian Avery
Kenneth Grahame
Richard M. Weaver
Harvey Mansfield
Anton Chekhov
Maria Skobtsova
Tom Clancy
Le Ly Hayslip
Craig Scharlin
Anne Moody
Christopher Fowler
Steven Pinker
Lavigne
Samuel J. Leffler
Stuart Woods
James C. Mitchell
Jorge Luis Borges
William Makepeace Thackeray
Alan Moore
V.C. Andrews
Steve Moore
Steven Weisenburger
Anthony Hern
Chris          Jones
Carlos Marighella
Christopher   Duncan
V.S. Naipaul
Shiva Naipaul
Bruce Alvin King
Richard Slotkin
Julie E. Czerneda
Pat Barker
Mary Doria Russell
Rob Kidd
Wilkie Collins
National Commission on Terrorist Attacks Upon The United States
Harry Graham
Pablo Neruda
Michael Ondaatje
Stacy Horn
Hermann Hesse
Wilbur Smith
Chris Chester
Ben Mikaelsen
Janette Oke
Fran Leeper Buss
Karen Hesse
Li Bai
Wang Wei
Charles Rembar
Monica Furlong
Judy Tam Sargent
Erich Maria Remarque
Jonathan Shay
Jacques Derrida
Diana Cooper
John Julius Norwich
Frances J. Roberts
Kay Arthur
Bill Potter
Jean Houston
Sherman Alexie
Cormac McCarthy
Rose Tremain
Primo Levi
Ian Thomson
Emily Brontë
J.M. Coetzee
Sigrid Undset
David Malouf
Sébastien Japrisot
Sebastian Faulks
Wilfred Owen
Friedrich A. Hayek
R.A. Salvatore
Jamie Jensen
Diana Wynne Jones
Allen Ginsberg
Truddi Chase
Hayao Miyazaki
America's Test Kitchen
Roald Dahl
Richard R. George
Kazuo Ishiguro
Eva Brann
Michael Vitez
Dixie Cash
Sylvia Browne
David Foster Wallace
Walter Scott
Marianna Mayer
Elizabeth L. Fuller
Dave R. Palmer
George Washington
Peter A. Lillback
Elizabeth Wurtzel
James Mangold
James N. Frey
Patricia Cornwell
Patricia Daniels Cornwell
John Saul
Saul Williams
Saul Leiter
Saul Bellow
Linda Jones
Mark Leyner
Candace Bushnell
Allen Carr
Siegfried Engelmann
Jim Henson
Sherrilyn Kenyon
Jasper Fforde
Renee Baron
Crissy Trask
Dallas Willard
Dante Alighieri
Karen Kingsbury
Julie Otsuka
David Noonan
Mary K. Baxter
Lyle Saxon
Eckhart Tolle
Douglas Clegg
Christopher Golden
Hope S. Warshaw
R. de Roussy de Sales
Douglas Downing
Peter Biskind
David Mitchell
Liam Callanan
William Camann
John A. McDougall
David A. Stewart
John Sandford
Jean Sasson
Fodor's Travel Publications Inc.
Barbara Bretton
Plum Sykes
Mavis Applewater
Nora Kelly
Estelle B. Freedman
Jean Marzollo
Richard Nelson Bolles
Michael Neill
Laura Esquivel
Emma Holly
Esther Schor
Sue Monk Kidd
Bryan Sykes
Wanda Sykes
Charles J. Sykes
Eric Sykes
CliffsNotes
Kathryn Lasky
Alexander McCall Smith
Murasaki Shikibu
Yoshitaka Amano
Adam Gopnik
Émile Zola
Richard A. Hawley
Philip K. Dick
K.A. Applegate
Tracy Kidder
Peter Cozzens
Bruce Catton
John Dos Passos
Alexandre Dumas
Lawrence M. Friedman
Elliott Currie
Cesare Beccaria
Katherine Beckett
Alexandre Dumas fils
Jeffrey Archer
Frances Mayes
Donald Miller
Kate Sedley
Jenna Jameson
Matthew Scully
Charlie Huston
Randy Alcorn
Pamela Duncan Edwards
Masamune Shirow
Richard B. Primack
Elliott A. Norse
David W. Macdonald
Jim Dutcher
Rosita Arvigo
Zolar
Pamela Ball
Humphrey Carpenter
Janet Brennan Croft
Brian Sibley
Ralph C. Wood
John Garth
Colin Duriez
Lin Carter
John Berendt
Philippa Pearce
J.R. Hyland
Harlow Giles Unger
George  Adamson
Brian K. Vaughan
Sandra Steffen
Carol Marinelli
D.W. Meinig
Mikhail Bakunin
David Cairns
Juan Bonilla
Jacqueline Winspear
William S. Burroughs
Jeannette Walls
Lauren  Levin
Amy Sohn
Daniel Jonah Goldhagen
Luanne Rice
Mary Alice Monroe
Brad Thor
Patricia D. Netzley
Richard Dawkins
Laurie Notaro
Denis Waitley
Chris Ware
Voltaire
Tom Robbins
Gus Van Sant
Surya  Das
Shirin Ebadi
Mark Nepo
Mona Lisa Schulz
Charles R. Swindoll
Frank Wedekind
Kathleen A. Brehony
James Joyce
Jan Greenberg
Azar Nafisi
Pam Muñoz Ryan
Lolita Files
Phoebe Dunn
Jaroslav Hašek
Ford Madox Ford
Michael Crichton
Jeffery Hudson
J.M. Barrie
Kenneth C. Laudon
Annie Dillard
Elaine Sciolino
George Bernard Shaw
Peter Kuper
Franz Kafka
Judith Butler
Gill Harvey
Martin Woodside
Sena Jeter Naslund
Hunter S. Thompson
Amy Tan
Richard H. Minear
Theo LeSieg
Julia Butterfly Hill
Brian Boyd
T. Coraghessan Boyle
Elizabeth Hardwick
Jim Toomey
Scott Adams
Aimee Bender
Mike  Davis
Justin Akers Chacón
Steve Erickson
Robert Ludlum
Maud Hart Lovelace
Julie A. Schrader
Margaret Sidney
Sydney Taylor
Carol Ryrie Brink
Carolyn Haywood
Orson Scott Card
Brian Jacques
Roger Hargreaves
Margery Clark
Judi Barrett
Robin McKinley
Barbara Taylor Bradford
Jeanne Treat
Richard A. Knaak
William   Anderson
Laura Ingalls Wilder
Tim Freke
Jean-Luc Marion
Hans Jonas
Melissa Wiley
Donald Zochert
Cynthia Rylant
Ann Romines
Carolyn Strom Collins
Barbara M. Walker
Rose Wilder Lane
David Burnie
Melody Malmberg
Sergio Ramírez
Jeanne DuPrau
Frank E. Peretti
Mary O'Neill
Simone de Beauvoir
Mary Daly
R.B. Bernstein
Thomas Jefferson
Dennis Brindell Fradin
Monty Roberts
Dick Francis
Lynne Truss
Ian Hemphill
Patrick O'Brian
Tom McGregor
Karen Hawkins
Timothy D. Taylor
Timothy  Taylor
Mary Lawson
John Dickson Carr
Anthony Robbins
Edward C. Klatt
Hélène Greven-Borde
Gore Vidal
Al Gore
Ruth Reichl
Nikos Kazantzakis
Leslie Kelly
Val McDermid
Waris Dirie
Joanna Strange
W.F. Deedes
Nora Ephron
Susan  Jeffers
Jennifer Quasha
Jamie Lee Curtis
Anne Millard
Nancy Cote
Julie Aigner-Clark
Corinne Hofmann
Luis Sepúlveda
Thornton W. Burgess
Anthony Burgess
Ben Elton
Stacy Schiff
Antoine de Saint-Exupéry
M.C. Beaton
Alex Went
James Shapiro
Celeste Davidson Mannis
Pierre Boulle
William T. Quick
Ian Edginton
William Arrow
David Gerrold
Max Brooks
Martin  Gilbert
James L. Stokesbury
Malvina G. Vogel
Jamie Oliver
Darren Shan
Rodman Philbrick
Stefan Fatsis
D.C. Talk
Rebecca St. James
Randy Cerveny
Robert Bogdan
Steve  Miller
Andre Duza
Sakurako Gokurakuin
Kate Bornstein
David Rakoff
Tucker Max
Sławomir Rawicz
Richard Bachman
Nelson Mandela
Nancy M. Armstrong
Erik Larson
Marc Bloch
William Holdsworth
Richard Hofstadter
Edward Countryman
Elizabeth Kostova
Robert B. Baer
Peter Robinson
East Bay M. U. D. Staff
Leah Bendavid-Val
Bill Hurter
J.D. Robb
Jeff   Smith
Usamah ibn Munqidh
Gail Grant
Eliza Gaynor Minden
John         Green
Peter Martins
Barbara  Newman
Alexandra Moss
Jane Yolen
George Balanchine
Scott Speck
Adèle Geras
Carol Lee
Katharine Holabird
Janice Ross
Susan Au
John               White
Jahnna N. Malcolm
Nicholas Evans
Marian Keyes
Frederick P. Lenz
Jimmy Carter
Steven F. Hayward
Fannie Flagg
Stephen Nachmanovitch
Rupa Bajwa
Sophie Kinsella
Nuala O'Faolain
James T. Farrell
John  Miller
Søren Kierkegaard
Georg Wilhelm Friedrich Hegel
Martin Heidegger
Christopher Biffle
Jenny Nimmo
Gertrude Chandler Warner
Marcel Proust
Miroslav Volf
Eduardo Galeano
Jack Frost
William Stacy Johnson
Linda Lael Miller
John O'Donohue
Mark Behr
Julia Briggs
Marjane Satrapi
Dave Barry
Julie Garwood
Robert Jordan
David Horowitz
Michelle Sagara
Robert A. Johnson
Jun'ichirō Tanizaki
Elisabeth Elliot
Christine Feehan
David     Payne
Sam Weller
Italo Calvino
Erica Jong
Jessica Hagedorn
Stephen Kinzer
Thomas Fahy
Milan Kundera
Joy Kogawa
Barack Obama
Mao Zedong
Peter Hessler
Peg Kerr
D.H. Lawrence
Robin Norwood
Susan Forward
Walt Disney Company
Jonathan Lethem
Kenneth Robeson
Alice Munro
Albert Marrin
James Clavell
"John ""Red"" Shea"
Ben Katchor
Åsne Seierstad
Fatemeh Keshavarz
Joseph E. Stiglitz
Curtis Sittenfeld
Denis Johnson
James C.    Simmons
Rudolph R. Windsor
Kira Salak
Ian Buruma
Gertrude the Great
Kōbō Abe
Max Frisch
Bernd Matzkowski
Sten Nadolny
C.D. Payne
Deborah Spungen
Alex Cox
James D. Bradley
Michael R. French
Philip Pullman
Antonia Fraser
Alison Weir
J. Keith Cheetham
Tad Williams
Jenny Wormald
John Guy
Carolly Erickson
Robert Hutchinson
Margaret George
Margaret Hodges
Gene Wilder
Sigrid Nunez
Helen Fisher
Mary Jane Maffini
Jincy Willett
Dobrica Erić
Wisława Szymborska
Charlotte Brontë
M.M. Kaye
Paul Farmer
Fritjof Capra
Edward T. Haslam
Michelle Feynman
Mark S. Smith
Joan Dayan
Ted Steinberg
Huston Smith
Christopher Partridge
Jim  Powell
Larry McMurtry
Amartya Sen
Karen Rizzo
Julie Andrews Edwards
Giles Andreae
Marina Belozerskaya
David A. Ufer
Wilson Rawls
Marc Platt
Andrew    Hunt
Andrew Cartmel
Greg Behrendt
Michaela Muntean
Beth Hensperger
Martine Agassi
Sarah Susanka
Rachel Lichtenstein
Fiona McAuslan
Richard Gott
Nancy Osa
Stephen Coonts
Kim Edwards
John Updike
Paul Pitchford
Rebecca  Wood
Eugene Linden
Margaret  Rose
Candida Höfer
Pierdomenico Baccalario
Shelley Klein
King Arthur Flour
Frank Portman
George R.R. Martin
George Beahm
Brian James Freeman
Stanley Wiater
Sam Walton
Roger Penrose
Barry Schwartz
Robert D. Kaplan
Andreas J. Köstenberger
Roger Lowenstein
Francine Pascal
Kate McMullan
Simon Schama
Rudyard Kipling
George Gladir
Walker Percy
Gregory Maguire
Christopher M. Andrew
James Lee Burke
John Terra
Stephen Clarke
Geneviève
Michael S. Reynolds
Leonardo Padura
Bernice Kert
Jeffrey Meyers
Amanda Hemingway
Jackson J. Benson
E.B. White
Jon Lee Anderson
Caroline Preston
Allan C. Weisbecker
Solomon Jones
Steve Martin
Anita Thompson
Walter Isaacson
Anne Lamott
Cecelia Ahern
Jerry Ahern
Chris Gardner
Jodi Picoult
Charles Frazier
Hanshan
Susan    Lewis
Billy Crystal
Phillip Margolin
Timothy Truman
James Axler
Matt Keefe
William Faulkner
Katherine Neville
Louise Bates Ames
Henepola Gunaratana
Eliot Asinof
Jane E. Gerver
Arturo Pérez-Reverte
Anaïs Nin
Bart King
Clint Willis
Jason Hook
J. Maarten Troost
Jim Trelease
David K. Shipler
Christie Ridgway
Peter J. D'Adamo
C.S. Lewis
Shifra Horn
Pansy
Elie Wiesel
Edward J. Larson
Margo Maine
Connie Mason
Dan B. Allender
Julia Alvarez
Bruce Edward Walker
Ken Kesey
Iris Murdoch
Susan Howatch
Mary McCarthy
Jay Rubin
Susan Cooper
Mercer Mayer
Scott Leonard
Barbara W. Tuchman
Sinclair Lewis
Arthur Edward Waite
Jan Frank
Raymond Carver
Tobias Wolff
Philip Gourevitch
The Paris Review
Paul Hendrickson
Alice Walker
Melody Carlson
Chaim Potok
Patricia Schultz
Robert R. McCammon
Lois H. Gresh
Raynold Gideon
Judith Farr
Richard B. Sewall
Emily Dickinson
Sylvia Plath
Paul Alexander
Ronald Hayman
Keri Hulme
James Plath
Jacquelyn Reinach
Oscar Hijuelos
John Cheever
Orhan Pamuk
Ian Jack
Octavio Paz
Anthony Minghella
A.S. Byatt
Penelope Fitzgerald
Marilynne Robinson
Carol Shields
Elisabeth Jean Wood
Sid Fleischman
Cynthia Voigt
Mary B. Collins
Andrew P. Trout
Lou Priolo
William Styron
Robert L. Geneve
Bebe Moore Campbell
Anne Rice
Kelley Armstrong
Peter S. Beagle
Don Webb
Jack Williamson
Albert Camus
Jacqueline Harpman
Robert Polito
Iain M. Banks
Alan MacGillivray
Iain Banks
Hershel Parker
Patricia Hall
Paul Bowles
Ann Major
Paul Coughlin
Ludwig Wittgenstein
David Edmonds
Saul A. Kripke
Ray Monk
Allan Janik
Eugene O'Neill
Carlos A. Schwantes
Samuel Beckett
Jonathan Croall
Eugène Ionesco
Margaret Bertha Synge
Luigi Pirandello
Sam Shepard
Robert Frost
Richard  Adams
Jacqueline K. Ogburn
Louise Borden
Marguerite Yourcenar
Nicholas A. Basbanes
Thomas Bernhard
Jay Parini
Tennessee Williams
Sam Bass Warner
Chet Green
Mary Pope Osborne
Richmond Lattimore
Carroll John Daly
Jo Ann Ooiman Robinson
Nathaniel Hawthorne
Michael Teitelbaum
Nancy Milford
João Guimarães Rosa
Ruth Ozeki
Sarah Vowell
Richard Russo
Gus Russo
Richard Ford
Graydon Carter
Steven Watts
Jim Morrison
Mary B. Morrison
Louis-Ferdinand Céline
William T. Vollmann
Paul Robert Magocsi
Nella Larsen
Sonny Brewer
Boris Pasternak
Thomas Wolfe
Howard Korder
Norman Mailer
Lynda La Plante
James Hamilton-Paterson
Erin McCarthy
Pete McCarthy
W. Michael Kelley
David Mamet
Mary Roach
Iain Levison
P.G. Wodehouse
Richard Brautigan
Eudora Welty
Anne Fadiman
Noam Chomsky
Shirley Rousseau Murphy
Jean-Jacques Rousseau
James A. Michener
John Grogan
Graham Handley
Terry C. Johnston
Margot Adler
Scott O'Dell
Shirley Hazzard
Elizabeth Mayne
Ira Levin
William Hjortsberg
Melissa M. Garcia
Alice Kaplan
Ha Jin
Robert Mason
Michael Morpurgo
Maryam Riess
Carlos Castañeda
Steve Blamires
Daphne du Maurier
Rebecca Goldstein
Rebecca York
Rebecca West
John Barth
Horace Walpole
Mark Helprin
Isak Dinesen
Troy Denning
Terry Tempest Williams
Bob      Smith
James K. Lowers
Lewis Carroll
Lawrence Durrell
Reynolds Price
Carl Hiaasen
Andrés Duany
Don Colbert
James Redfield
Donald Spoto
Howard Stern
Lesley Glaister
Kevin Smith
Stephanie Spinner
Maxim Gorky
Jane Heller
Ruth Heller
Zoë Heller
Paul Crilley
Igor Stravinsky
C. Hassell Bullock
John Milner
Mark Rothko
Lee Seldes
Diane Waldman
Henry M. Sayre
Pindar
Garth Nix
Prima Publishing
Joyce Meyer
Brenda Joyce
Stuart Gilbert
Miriam Toews
Marilyn Herbert
Dorothy Dunnett
Stuart McLean
David  Michaels
