publisher,average_rating
Cook's Illustrated,4.335
Cooper Square Press,4.12
Cooper Square Publishers,4.03
Copernicus Books,3.61
Copper Canyon Press,4.225
Corgi,4.062222222222222
Corgi Books,3.8049999999999997
Corgi Books (Adult),4.14
Corgi Childrens,4.055
Cornell University Press,4.074999999999999
Cornerstone Press Chicago,3.93
Coronet,3.5949999999999998
Coronet Books (GB),4.08
Cosimo Classics,4.0
Cosmos Books (OH),3.8
Council Oak Books,3.85
Council Press,3.57
Counterpoint,3.62
Counterpoint LLC,3.655
Countryman Press,4.13
Courage Books,5.0
Course Technology,3.8666666666666667
Creation Books,3.92
Crescent,3.52
Critica (Grijalbo Mondadori),4.22
Crossing Press,4.49
Crossroad,4.3100000000000005
Crossroad Publishing Company,3.6
Crossway Books,4.24
Crown,3.8542857142857145
Crown Business,4.02
Crown Forum,4.0
Crown Journeys/Crown Publishers/Crown Publishing Group/Random House,3.51
Crown Publishers,3.77
Crown Publishing Group,4.05
Crown Publishing Group (NY),3.91
Cruithne Press,3.0
Crystal Clarity Publishers,3.9800000000000004
Cumberland House Publishing,3.8
Cybereditions Corp,4.11
Cátedra,3.06
Círculo de Lectores,3.91
DAW,3.84609756097561
DAW Books,3.685
DAW Books (NY),3.56
DAW Books Inc,4.128
DAW Fantasy,4.2
DAW Hardcover,4.13
DAW SF,3.11
DC Comics,3.799032258064516
DC Comics Vertigo,4.003333333333334
DEBOLS!LLO,3.84
DK,4.4399999999999995
DK Children,4.09
DK Publishing,4.165
DK Publishing (Dorling Kindersley),4.124285714285714
Da Capo Press,3.9742857142857146
Dabel Brothers Productions,4.45
Dabel Brothers Publishing,3.885
Dafina Books,4.38
Daimon Verlag,4.02
Dalkey Archive Press,3.8175
Dante University of America Press,3.81
Dark Horse,3.6439999999999997
Dark Horse Books,3.7988888888888885
Dark Horse Comics,3.89
Dark Horse Manga,3.9829999999999997
Dartmouth College Press,3.46
Darton  Longman & Todd,4.26
David C Cook,3.96
David C. Cook,3.96
David R. Godine,4.234999999999999
David R. Godine Publisher,3.9116666666666666
Daw Books,4.024615384615385
De Boekerij,4.18
DeBolsillo,3.9285714285714284
DeVorss & Company,2.98
Deadite Press (Eraserhead Press),3.69
Debolsillo,3.868333333333333
Dedalus,4.09
Dedalus Limited,3.53
Del Rey,4.041625
Del Rey Ballantine Random House,4.3
Del Rey Books,3.9145454545454546
Del Rey Books (NY),4.22
Del Rey Fantasy,3.62
Del Rey/Ballantine Books,3.83
Delacorte Books,3.81
Delacorte Books for Young Readers,4.093999999999999
Delacorte Press,3.8527777777777774
Delcourt,4.02
Dell,3.83
Dell Laurel-Leaf,4.1
Dell Publishing,3.92
Dell Publishing Company,3.8530769230769235
Dell Yearling,3.69
Delmar Thomson Learning,4.04
Delta,3.981
Delta Publishing,3.88
Denoël,3.8840000000000003
Deodand,3.99
Deodand Publishing,2.86
Dervy,4.23
Deseret Book Company,3.78
Destino Ediciones,3.48
Destiny Books,4.1
Destiny Image Incorporated,4.33
Deutscher Taschenbuch Verlag,3.86
Devil's Due Publishing,4.12
Dey Street Books,3.8925
Dhv der Hörverlag,4.56
Dial,3.89
Dial Books,3.95
Dial Press,3.883846153846154
Dial Press Trade Paperback,4.005833333333333
Diamond/Charter,4.14
Diana TB,3.79
Digireads.com,3.7900000000000005
Digital Manga Publishing,3.934
Digital Manga Publishing / Dark Horse,4.06
Diogenes,4.02
Diogenes Verlag,3.9
Disinformation Books,3.46
Disinformation Company,3.855
Disney Editions,4.44
Disney Enterprises,4.32
Disney Hyperion Books,4.245
Disney Press,4.023571428571429
Disney-Hyperion,3.8322222222222226
Distribooks,3.28
Do-Not Press,4.27
Dodd Mead; 1st edition (September 1976),3.95
Dodo Press,3.956666666666667
Doherty  Tom Associates  LLC,3.89
Dominion Press,4.18
Dorling Kindersley Children,3.85
Doubleday,3.948333333333333
Doubleday & Company  Inc.,4.38
Doubleday Books,3.9658823529411764
Doubleday Books for Young Readers,4.15
Doubleday Canada,3.88
Doubleday Publishing (NY),3.84
Douglas  McIntyre,3.84
Douglas & McIntyre,4.085
Dover Publications,3.9538823529411764
Dover Publications  Inc.,3.9699999999999998
Dover Publications (NY),4.06
Dover Publications (NYC),3.65
Downtown Press,3.82
Dr. Master Productions Inc.,3.55
Dragon Door Publications,4.0
Dragonfly Books,4.13
Dramatists Play Service,3.942857142857143
Dramatists Play Service  Inc.,3.93
Drawn and Quarterly,4.26
Droemer Knaur,4.09
Dtv,3.53
Duke University Press Books,3.9375
Dundurn,3.7
Dutton,3.8183333333333334
Dutton Adult,3.95
Dutton Books,3.836
Dutton Books for Young Readers,3.85
Dutton Children's Books,4.32
Dutton Juvenile,3.945
ECW Press,4.13
EMC/Paradigm Publishing,4.0
EOS,4.0
Earthlight,3.825
East Bay Municipal Utility District,4.3
Ebury Press,3.375
Ecco,3.7689473684210526
Ecco / HarperCollins,3.98
Ecco Press,4.076666666666667
Ecco/Harper Perennial,4.07
Edaf S.A.,4.32
Edebé,3.77
Ediciones B,3.9566666666666666
Ediciones Glénat España,3.99
Ediciones Urano,3.81
Edicións Xerais de Galicia  S.A.,3.36
Edimat Libros,4.0675
Editions 10/18,3.8449999999999998
Editions Gallimard,3.98
Editions de l'Olivier,3.77
Editions du Rocher,3.74
Editorial Diana,3.9
Editorial Juventud,4.13
Editorial Presença,4.001666666666667
Editorial RM,4.05
Edwin Mellen Press,3.94
Eerdmans,4.03
Egmont Books Ltd,4.21
Egmont Children's Books,3.98
El Paso Norte Press,4.16
Element,4.1
Ellora's Cave,3.7066666666666666
Elloras Cave,4.21
Ember,3.85
Emece Editores,4.49
Emecé Editores,4.33
Eminent Lives,3.975
Encounter Books,4.38
Enitharmon Press,3.91
Eos,3.9939999999999998
Eraserhead Press,3.56
Eros Comix,3.56
Europa Editions,3.813333333333333
Evans Brothers,3.76
Everyman,4.095
Everyman Chess,4.25
Everyman Library / Overlook Press,4.01
Everyman Paperback Classics,3.32
Everyman Paperbacks,3.79
Everyman's Library,4.147435897435898
Everyman's Library 234,3.99
Everyman's Library Classics,4.33
Everymans Library,3.76
Exact Change,4.25
Express Publishing,4.08
F & W Publications Inc.,3.9
F. Meiner,4.78
FASA Corp.,3.89
FASA Corporation,3.71
FT Press,3.83
Fab Press,4.45
Faber  Faber,3.9659999999999997
Faber & Faber,3.9493333333333336
Faber & Faber Limited,3.49
Faber & Faber Ltd.,4.25
Faber and Faber,3.873846153846154
Faber and Faber & Penguin India,3.94
FaithWords,4.316666666666666
Fandemonium Books,3.79
Fanfare,3.6366666666666667
Fantagraphics,3.9866666666666664
Fantagraphics Books,4.1
Fantasy Flight Games,4.05
Farrar  Straus & Giroux,3.88
Farrar  Straus and Giroux,4.074146341463415
Farrar  Straus and Giroux (BYR),4.12
Farrar  Straus and Giroux (NY),3.68
Farrar  Strauss & Giroux-3pl,3.58
Farrar Straus Giroux,3.7840000000000003
Farrar Straus and Giroux,3.7800000000000002
Fawcett,3.8880000000000003
Fawcett Books,3.8790909090909094
Fawcett Coventry,3.0
Fawcett Crest,3.97
Fawcett Crest Books,3.735
Fawcett crest,3.83
Feiwel & Friends,4.36
Fellowship for the Performance,4.6
Felony & Mayhem,3.51
Feminist Press,4.07
Feral House,3.6500000000000004
Festival,4.3
Festival Books,4.31
Filiquarian Publishing  LLC.,3.66
Findakly,3.87
Firebird,3.9375
Firebird Books,3.95
Firebrand Books,3.95
Firelight Press,4.0
Fireside,3.7
Fireside Books,4.44
First Avenue Editions (Tm),3.64
Fischer (Tb.),3.97
Fischer TB,3.93
Fischer Taschenbuch Verlag,3.94
Fithian Press,0.0
Five Star (ME),3.6
Five Star Trade,3.61
Flamingo,3.9000000000000004
Fleming H Revell Co,4.22
Fleming H. Revell Company,4.36
Focal Press,3.84
Focus,3.983333333333333
Focus Publishing/R. Pullins Company,3.42
Focus on the Family Publishing,3.36
Fodor's,3.43
Folio,4.175000000000001
Folio histoire,3.96
FonoLibro,3.89
Fontana,4.025
Fontana Books,4.05
Fontana Press,4.1
For Dummies,3.6955555555555555
Forge,3.81
Forge Books,3.618
Fortress Press,3.67
Fount,4.22
Four Ninety-Eight Productions,4.72
Four Walls Eight Windows Press,3.72
Fourth Estate,3.925
Fourth Estate (GB),3.52
Fourth Estate Ltd,3.76
Fourth Estate Paperbacks,3.79
Franklin Watts,3.6
Frederick P. Lenz Foundation for American Buddhism,0.0
Fredonia Books (NL),3.74
Free Press,3.8764285714285713
Free Spirit Publishing,4.04
French & European,4.07
French & European Publications,3.4
French & European Pubns,4.1
Fulcrum Publishing,3.96
Futura,4.35
G. P. Putnam's Sons,3.41
G.P. Putnam's Sons,3.93025
G.P. Putnam's Sons Books for Young Readers,4.046666666666667
Gaia Books,4.38
Galahad Books,4.03
Gale Cengage,0.0
Gallery / Saga Press,4.09
Gallery Books,3.93375
Gallimard,3.875625
Gallimard Education,3.855
Gallimard Jeunesse,4.225
Gallopade International,3.61
Gamble Guides,3.75
Games Workshop,3.77
Games Workshop(uk),3.81
Gardners Books,3.9050000000000002
Gauntlet Press,4.17
Geddes & Grosset,4.36
Gemstone Publishing,4.343333333333334
Geoplaneta,4.03
George Braziller,3.72
George Braziller Inc.,4.41
Gibbs Smith,3.7925
Gibbs Smith Publishers,4.025
Gingko Press,4.03
Globe,3.66
Glénat,4.217777777777778
Godsfield Press Ltd,3.6
Gold Eagle,3.8783333333333334
Golden Books,4.37
Golden Gryphon Press,4.0600000000000005
Golden/Disney,4.1000000000000005
Goldmann,3.7775
Goldmann Verlag,3.94
Gollancz,3.9442857142857144
Gollehon Books,3.75
Gotham,3.54
Grafton,4.12
Gramedia Pustaka Utama,3.44
Gramercy,4.298
Gramercy Books,4.2092307692307696
Grand Central,3.84
Grand Central Life & Style,4.24
Grand Central Publishing,3.9225000000000003
Grand Central Publishing (Formerly Warner Books),3.765
Granta,3.17
Granta Books,3.94
Granta UK,3.8049999999999997
Graphics Press,4.08
Graphics Press LLC,4.15
Grasset,3.76
Graywolf Press,3.98
Green Integer,3.5949999999999998
Green Ronin Publishing,3.81
Greenery Press (CA),3.76
Greenwillow Books,4.051875
Greenwood,4.01
Greenwood Press,0.0
Griffin,4.123333333333333
Grijalbo,4.16
Grijalbo Mondadori Sa,4.04
Grosset & Dunlap,4.086
Grove Press,3.87051282051282
Grove Press  Black Cat,3.98
Grove Press  Granta,3.83
Grove Press  Open City Books,1.88
Grove Press (NYC),4.12
Grove Weidenfeld,4.46
Grove/Atlantic  Inc.,3.91
Grupo Editorial Norma  S.A.,3.74
Grupo Océano,3.76
Gun Digest Books,4.44
Gurze Books,3.57
Gürze Books,3.57
HJ Kramer,4.145
HMH Books for Young Readers,3.940967741935484
HQN,3.88
HQN Books,3.8
Hachette,3.9299999999999997
Hachette Audio,4.066666666666666
Hachette Books,3.9072727272727277
Hachette Children's,3.02
Hachette Jeunesse,4.21
Hachette Littérature,4.11
Hackett Publ. Co Inc,3.95
Hackett Publishing Company,4.08
Hackett Publishing Company  Inc.,3.905806451612903
Hackett Publishing Company  Inc. (USA),3.77
Hackett Publishing Company (Indianapolis  IN),3.69
Hakusen Sha,4.48
Hal Leonard Pub Corp,4.24
Hal Leonard Publishing Corporation,4.475
Hamish Hamilton,4.11
Hamish Hamilton Ltd,3.62
Hamish hamilton,3.81
Hampton Roads Publishing Company,3.9766666666666666
Harbor Press,4.29
Harcourt,4.005454545454546
Harcourt  Brace  Jovanovich,4.26
Harcourt  Brace Jovanovich/Harvest,3.76
Harcourt  Inc.(Harvest Book),4.14
Harcourt Brace,4.07
Harcourt Brace & Company,4.18
Harcourt Brace & company,3.75
Harcourt Brace Jovanovich,3.8449999999999998
Harcourt Brace Jovanovich (NY),3.96
Harcourt Children's Books,3.47
Hard Crime Case,3.6666666666666665
Hard Press,4.0275
Harlequin,3.6999999999999997
Harlequin American Romance,4.0
Harlequin Anthologies,3.57
Harlequin Blaze,3.73
Harlequin Books,3.8200000000000003
Harlequin Historical,3.6833333333333336
Harlequin Presents,3.3175
Harlequin Readers' Choice,3.97
Harlequin Romance,3.04
Harlequin Special Releases,3.8550000000000004
Harlequin Superromance,3.73
Harlequin Temptation,3.74
Harmony,4.081666666666666
Harper,3.914
Harper & Row,3.84
Harper & Row (NYC et al.),4.14
Harper Audio,4.39
Harper Business,3.7944444444444443
Harper Collins,3.846666666666667
Harper Design,4.24
Harper Element,3.83
Harper Paperbacks,3.965
Harper Perennial,3.8980357142857143
Harper Perennial (HarperCollins),4.04
Harper Perennial (NYC),3.6
Harper Perennial Classics,3.83
Harper Perennial Modern Classics,4.056923076923077
Harper Teen,3.89
Harper Trophy,4.17
Harper Voyager,3.9995
HarperAudio,3.8725
HarperCollins,4.036875
HarperCollins (SanFrancisco),4.29
HarperCollins Espanol,4.054
HarperCollins Leadership,4.165
HarperCollins Perennial,3.93
HarperCollins Publishers,3.8685416666666668
HarperCollins Publishers  Inc.,3.74
HarperCollins Publishers Ltd,4.093333333333333
HarperCollins UK,3.57
HarperCollinsChildren’sBooks,4.2075
HarperCollinsPublishers,4.003333333333333
HarperEntertainment,3.836
HarperFestival,4.1450000000000005
HarperLargePrint,3.76
HarperOne,4.035142857142857
HarperPaperbacks,4.05
HarperPerennial,3.9825
HarperPerennial / Perennial Classics,3.99
HarperPrism,4.27
HarperResource,4.18
HarperSanFrancisco,3.82
HarperTeen,3.9509999999999996
HarperTempest,3.986666666666667
HarperTorch,3.9460416666666664
HarperTorch (an imprint of HarperCollins Publishers),3.31
HarperTrophy,4.023684210526316
HarperVoyager,4.11
Harpercollins,3.81
Harpercollins Children's Books,4.16
Harpercollins Childrens Books,4.34
Harpperen,4.055
Harrison House,4.67
Harry N. Abrams,3.970666666666667
Hartley & Marks Publishers,4.24
Hartorch,4.13
Harvard Business Review Press,3.84
Harvard Common Press,3.8766666666666665
Harvard University Press,4.093684210526316
Harvard University Press (Cambridge  MA)/Wm Heinemann Ltd. (London),3.93
Harvard University Press (Cambridge),4.295
Harvest / Harcourt,4.22
Harvest Books,4.12
Harvest Books/Harcourt,3.92
Harvest House Publishers,4.215454545454546
Harvill Press,4.096666666666667
Haus Publishing,3.76
Hawthorne Books,3.39
Hay House,4.042857142857143
Haymarket Books,3.815
Haynes Manuals N. America  Inc.,3.89
Hazelden Publishing,4.44
Hci,3.7
Headline,3.9200000000000004
Headline Book Pub Ltd,4.2
Headline Book Publishing,3.9924999999999997
Headline Feature,3.83
Headline Review,3.7572727272727273
Healing Arts Press,4.0649999999999995
Health Communications,3.99
Health Communications Inc,4.095
Hearst Communications,4.37
Heinemann,4.12
Heinemann Drama,3.67
Heinemann Educational Books,3.66
Heinemann Library,4.1
Heinemann-Octopus,3.98
Heinle,3.39
Helen Marx Books,4.0
Henry Holt,3.78
Henry Holt & Company,3.5549999999999997
Henry Holt and Co.,4.08
Henry Holt and Co. (BYR),4.08
Henry Holt and Company,4.23
Here's Life Publishers,3.97
Hesperus Press,3.91
Heyne,3.98625
High Point Media,3.95
High Roads Media,4.18
HighBridge Company,3.6799999999999997
Highbridge Audio,3.58
Hill & Wang,3.87
Hill & Wang Publ. (NY),4.02
Hill and Wang,3.9133333333333336
Hiperión,4.09
