Alice Randall,<250,1
Alice Sebold,250-499,3
Alice Sebold,500-749,1
Alice Walker,250-499,1
Alice Walker,<250,1
Alice Wong,250-499,1
Alison Baverstock,<250,1
Alison Bechdel,<250,1
Alison Weir,250-499,1
Alison Weir,500-749,1
Alistair Horne,500-749,1
Alistair MacLeod,250-499,1
Alistair McCallum,<250,1
Alistair Moffat,250-499,1
Alister E. McGrath,250-499,1
Alister E. McGrath,500-749,2
Aljean Harmetz,<250,1
Allan C. Weisbecker,250-499,1
Allan Janik,250-499,1
Allan Zola Kronzek,250-499,1
Allegra Goodman,250-499,1
Allen Carr,<250,1
Allen Ginsberg,<250,2
Allen J. Frantzen,<250,1
Allison Pearson,250-499,2
Alma Flor Ada,<250,2
Alvin L. Reid,<250,1
Amanda Clark,250-499,1
Amanda Eyre Ward,250-499,1
Amanda Hemingway,250-499,1
Amartya Sen,250-499,2
Amartya Sen,<250,1
Amelia Atwater-Rhodes,250-499,1
Amelia Atwater-Rhodes,<250,4
America's Test Kitchen,250-499,1
Amir D. Aczel,250-499,1
Amitav Ghosh,250-499,1
Amos Oz,500-749,1
Amy Cotler,<250,1
Amy Goldman Koss,<250,1
Amy Krouse Rosenthal,<250,3
Amy L. Marsland,<250,1
Amy Sedaris,250-499,1
Amy Sedaris,<250,1
Amy Sohn,<250,1
Amy Tan,250-499,7
Amy Tan,<250,3
Amy Taubin,<250,1
Anaïs Nin,250-499,10
Anaïs Nin,<250,3
Anderson Cooper,<250,1
Andre Dubus,250-499,1
Andre Dubus,<250,2
Andre Dubus III,<250,1
Andre Duza,250-499,1
Andrea Camilleri,250-499,2
Andrea Camilleri,<250,1
Andrea Levy,250-499,2
Andrea Wilson Nightingale,<250,1
Andreas Gursky,<250,1
Andreas J. Köstenberger,250-499,1
Andrei Codrescu,250-499,1
Andrew      Hunt,<250,1
Andrew    Hunt,250-499,1
Andrew Carnegie,250-499,1
Andrew Cartmel,250-499,1
Andrew Delbanco,250-499,1
Andrew Heintzman,250-499,1
Andrew Helfer,<250,1
Andrew Hussey,250-499,1
Andrew J. Offutt,<250,2
Andrew James McLean,250-499,1
Andrew M. Greeley,250-499,1
Andrew P. Trout,250-499,1
Andrew Solomon,500-749,2
Andrew Weil,250-499,1
Andrew X. Pham,250-499,1
Andrés Duany,250-499,1
Andy Griffiths,<250,2
Andy Hertzfeld,250-499,1
Andy Hunt,250-499,1
Andy McNab,250-499,1
Andy Warhol,250-499,1
Angela Knight,250-499,10
Angus Gellatly,<250,1
Angus Wells,500-749,2
Anita Desai,<250,3
Anita Diamant,250-499,4
Anita Shreve,250-499,4
Anita Shreve,<250,1
Anita Thompson,<250,1
Ann  O'Leary,<250,1
Ann Abramson,<250,1
Ann Bausum,<250,1
Ann Beattie,250-499,2
Ann Brashares,250-499,2
Ann Finding,<250,1
Ann Granger,250-499,1
Ann Hewetson,<250,1
Ann Hodgman,<250,1
Ann M. Martin,250-499,1
Ann M. Martin,<250,1
Ann Major,<250,1
Ann Margaret Lewis,<250,1
Ann Maxwell,250-499,1
Ann Packer,250-499,2
Ann Patchett,250-499,3
Ann Rinaldi,250-499,2
Ann Romines,250-499,1
Ann Rule,250-499,1
Ann Rule,500-749,1
Ann Thwaite,250-499,1
Ann-Marie MacDonald,500-749,1
Ann-Marie MacDonald,750-999,1
Anna Deavere Smith,<250,1
Anna J.,250-499,1
Anna Maxted,250-499,2
Anna Maxted,500-749,1
Anna Maxted,<250,2
Anna Quindlen,250-499,1
Anna Sewell,<250,3
Annalee Allen,<250,1
Anne Brontë,<250,1
Anne Carson,250-499,1
Anne Chisholm,250-499,1
Anne Easter Smith,500-749,1
Anne Fadiman,250-499,1
Anne Hoppus,<250,1
Anne K. Mellor,250-499,1
Anne Lamott,250-499,3
Anne Lamott,<250,1
Anne Macdonald,500-749,1
Anne Mazer,<250,7
Anne McCaffrey,250-499,4
Anne McCaffrey,<250,5
Anne Michaels,250-499,1
Anne Millard,<250,1
Anne Moody,250-499,1
Anne Morrow Lindbergh,<250,1
Anne Rampling,250-499,1
Anne Rice,250-499,14
Anne Rice,500-749,5
Anne Rice,750-999,1
Anne Rice,<250,2
Anne Rice,>=1000,1
Anne Stuart,250-499,10
Anne Tyler,250-499,9
Anne Tyler,<250,1
Annie Dillard,250-499,2
Annie Dillard,500-749,1
Annie Dillard,<250,3
Annie Proulx,250-499,2
Annie Proulx,<250,3
Anonymous,250-499,1
Anonymous,500-749,2
Anonymous,<250,6
Anonymous,>=1000,1
Ansel Adams,250-499,1
Ansel Adams,<250,2
Anthony  Lewis,250-499,1
Anthony Bourdain,250-499,5
Anthony Burgess,250-499,2
Anthony Burgess,500-749,1
Anthony Burgess,<250,5
Anthony D. Pellegrini,250-499,1
Anthony E. Wolf,250-499,1
Anthony E. Wolf,<250,1
Anthony F.C. Wallace,250-499,1
Anthony Grafton,250-499,1
Anthony Hern,<250,1
Anthony J. Cascardi,250-499,1
Anthony Kenny,250-499,1
Anthony Kiedis,250-499,1
Anthony Loyd,250-499,2
Anthony Mcreavy,250-499,1
Anthony Minghella,<250,1
Anthony Powell,500-749,3
Anthony Powell,750-999,1
Anthony Robbins,250-499,1
Anthony Shadid,500-749,1
Anthony Thorlby,750-999,1
Anthony Thorlby,<250,1
Antoine de Saint-Exupéry,<250,2
Anton Chekhov,250-499,4
Anton Chekhov,500-749,2
Anton Chekhov,<250,1
Anton Chekhov,>=1000,1
Anton Myrer,500-749,2
Antonia Fraser,250-499,1
Antonia Fraser,500-749,3
Antonia Juhasz,250-499,1
Antonin Artaud,250-499,1
Antonio Gramsci,<250,1
Antonio Negri,250-499,2
Antony Beevor,250-499,3
Antony Johnston,<250,1
Anya Seton,250-499,2
Anya Seton,500-749,2
Apollodorus,250-499,5
April Jones Prince,<250,1
Architecture For Humanity,250-499,1
Ariel Levy,<250,1
Arielle Ford,250-499,1
Arien Mack,250-499,1
Aristophanes,250-499,10
Aristophanes,500-749,4
Aristophanes,<250,7
Aristotle,250-499,5
Aristotle,500-749,1
Aristotle,<250,2
Aristotle,>=1000,2
Armand Marie Leroi,250-499,1
Armistead Maupin,250-499,1
Armistead Maupin,500-749,1
Arnold Rampersad,500-749,1
Arnon Grunberg,250-499,1
Art Spiegelman,250-499,1
Art Spiegelman,<250,1
Arthur  Miller,500-749,1
Arthur  Miller,750-999,1
Arthur  Miller,<250,3
Arthur Agatston,250-499,1
Arthur Bennett,<250,1
Arthur C. Clarke,250-499,1
Arthur C. Clarke,750-999,1
Arthur C. Clarke,<250,1
Arthur Conan Doyle,250-499,5
Arthur Conan Doyle,500-749,2
Arthur Conan Doyle,750-999,1
Arthur Conan Doyle,<250,7
Arthur Conan Doyle,>=1000,2
Arthur Edward Waite,<250,1
Arthur Golden,250-499,4
Arthur Golden,500-749,2
Arthur Golden,750-999,1
Arthur Herzog III,250-499,1
Arthur J. Roth,<250,1
Arthur Koestler,250-499,2
Arthur Koestler,500-749,2
Arthur Koestler,750-999,1
Arthur Koestler,<250,2
Arthur Nersesian,250-499,1
Arthur Plotnik,250-499,1
Arthur Schopenhauer,500-749,1
Arthur Schopenhauer,<250,3
Arthur Yorinks,<250,1
Arturo Pérez-Reverte,250-499,3
Arturo Pérez-Reverte,500-749,1
Arundhati Roy,250-499,1
Ashley Gardner,250-499,1
Ashley Shannon,<250,1
Astrid Lindgren,250-499,1
Astrid Lindgren,<250,11
Atul Gawande,250-499,1
Audre Lorde,<250,1
Audrey Niffenegger,500-749,2
Audrey Niffenegger,<250,2
Audrey Penn,<250,1
Augusten Burroughs,250-499,3
Augusten Burroughs,<250,1
Augustine of Hippo,250-499,6
Augustine of Hippo,500-749,1
Augustine of Hippo,750-999,1
Augustine of Hippo,<250,4
Augustine of Hippo,>=1000,1
Aurelio Voltaire,<250,1
Avi,250-499,1
Avi,<250,3
Avigdor Kahalani,<250,1
Ayn Rand,250-499,3
Ayn Rand,500-749,2
Ayn Rand,750-999,2
Ayn Rand,<250,4
Ayn Rand,>=1000,5
Azar Nafisi,250-499,2
B.K. Beckwith,<250,1
Babette Rothschild,<250,1
Babette Smith,250-499,1
Barack Obama,250-499,2
Barbara  Newman,<250,1
Barbara Ann Brennan,250-499,1
Barbara Berst Adams,<250,1
Barbara Bottner,<250,1
Barbara Bretton,250-499,1
Barbara Cleverly,250-499,1
Barbara Coloroso,250-499,1
Barbara Conklin,<250,3
Barbara Ehrenreich,250-499,2
Barbara Ehrenreich,<250,2
Barbara Fairchild,750-999,1
Barbara Hambly,250-499,1
Barbara Haworth-Attard,<250,1
Barbara Kerley,<250,1
Barbara Kingsolver,250-499,3
Barbara Kingsolver,500-749,3
Barbara Kingsolver,<250,1
Barbara Leonie Picard,<250,1
Barbara M. Walker,250-499,1
Barbara Nadel,250-499,4
Barbara Park,<250,3
Barbara Richard,250-499,1
Barbara Taylor Bradford,250-499,1
Barbara Taylor Bradford,750-999,1
Barbara W. Tuchman,500-749,2
Bard E. O'Neill,<250,1
Bard Thompson,250-499,1
Barrie Trinkle,<250,1
Barrington Moore Jr.,500-749,1
Barron's,<250,1
Barry  Lopez,250-499,2
Barry  Lopez,<250,2
Barry Chubin,<250,1
Barry Eisler,250-499,1
Barry Glassner,<250,1
Barry Hughart,250-499,1
Barry R. Cournoyer,<250,1
Barry Schwartz,250-499,1
Bart D. Ehrman,<250,1
Bart G. Farkas,250-499,1
Bart King,250-499,1
Barthe DeClements,<250,2
Bartholomew Gill,250-499,1
Barton Zwiebach,500-749,1
Basil Mahon,250-499,1
Basil Pao,<250,1
Beatrix Potter,<250,6
Beatrix Potter,>=1000,1
Bebe Moore Campbell,250-499,1
Belva Plain,250-499,1
Ben Avery,<250,1
Ben Bova,250-499,1
Ben Carson,<250,1
Ben Counter,750-999,1
Ben Elton,250-499,2
Ben Katchor,<250,1
Ben M. Baglio,<250,1
Ben Mezrich,250-499,1
Ben Mikaelsen,<250,1
Ben R. Kaplan,250-499,1
Ben Schoen,<250,1
Ben Schott,<250,1
Benjamin James Sadock,>=1000,1
Bentley Little,250-499,1
Bernard Cornwell,250-499,2
Bernard Cornwell,<250,3
Bernard Lewis,<250,1
Bernard Malamud,250-499,1
Bernard Malamud,500-749,1
Bernard Malamud,<250,4
Bernard Taper,250-499,1
Bernard Williams,250-499,1
Bernard Williams,<250,2
Bernd Matzkowski,<250,1
Bernice Kert,500-749,1
Beryl Markham,<250,1
Bessie Head,<250,1
Beth A. Jones,<250,1
Beth Hensperger,500-749,1
Beth Moore,<250,1
Bethany Roberts,<250,1
Bette Greene,<250,1
Better Homes and Gardens,<250,1
Betty  Smith,250-499,1
Betty Friedan,500-749,1
Betty Jay,<250,1
Betty MacDonald,250-499,1
Betty MacDonald,<250,3
Betty Mahmoody,500-749,1
Betty Neels,<250,1
Beverly Daniel Tatum,250-499,1
Bill   Phillips,250-499,1
Bill  Bryson,<250,1
Bill Brittain,<250,1
Bill Bryson,250-499,15
Bill Bryson,500-749,5
Bill Bryson,<250,3
Bill Buford,250-499,1
Bill Clinton,500-749,1
Bill Clinton,750-999,1
Bill Cosby,<250,3
Bill Farrel,250-499,1
Bill Hurter,<250,1
Bill Hybels,250-499,1
Bill Hybels,<250,2
Bill Maher,250-499,3
Bill Nichols,<250,1
Bill Phillips,250-499,1
Bill Phillips,<250,1
Bill Pittman,<250,1
Bill Potter,<250,1
Bill Richardson,<250,1
Bill Watterson,<250,6
Bill Watterson,>=1000,1
Bill Willingham,<250,9
Billie Letts,250-499,1
Billy Collins,<250,3
Billy Crystal,<250,2
Billy Mills,<250,1
Binjamin W. Segel,<250,1
Black Elk,250-499,1
Blaine M. Yorgason,<250,1
Blake Nelson,250-499,6
Blake Nelson,<250,3
Bob      Smith,250-499,1
Bob Blaisdell,250-499,1
Bob Blaisdell,<250,1
Bob Cullen,250-499,1
Bob Dylan,250-499,2
Bob Madgic,250-499,1
Bob Marley,<250,1
Bob Spitz,750-999,1
Bob Tarte,250-499,1
Bob Woodward,250-499,2
Bob Woodward,500-749,3
Bobby Henderson,<250,1
Bodie Thoene,250-499,1
Boethius,<250,1
Bonnie Burton,<250,1
Boris Pasternak,250-499,2
Boris Vian,<250,1
Brad Meltzer,250-499,1
Brad Thor,250-499,1
Brad Thor,500-749,1
Brady Games,<250,3
Bram Stoker,250-499,4
Bram Stoker,500-749,1
Bram Stoker,<250,3
Brandon Mull,250-499,1
Brenda Joyce,250-499,2
Brenda Joyce,500-749,1
Brenda Novak,250-499,1
Brenda Walpole,<250,1
Bret Easton Ellis,250-499,3
Bret Easton Ellis,500-749,2
Bret Easton Ellis,750-999,1
Bret Easton Ellis,<250,1
Brian  Doyle,<250,1
Brian Azzarello,<250,1
Brian Boyd,250-499,1
Brian Boyd,750-999,1
Brian Braithwaite,<250,1
Brian Copeland,250-499,1
Brian D. McLaren,<250,2
Brian Doherty,<250,1
Brian Greene,250-499,1
Brian Greene,500-749,1
Brian Greene,<250,1
Brian Hall,250-499,1
Brian Herbert,250-499,1
Brian Herbert,500-749,5
Brian J. Robb,<250,1
Brian Jacques,250-499,8
Brian Jacques,<250,1
Brian James Freeman,250-499,1
Brian Johnston,<250,1
Brian K. Vaughan,<250,1
Brian L. Weiss,<250,1
Brian Michael Bendis,250-499,1
Brian Michael Bendis,<250,1
Brian Rotman,<250,1
Brian Sibley,<250,4
Brian Tracy,<250,1
Brigid Avison,<250,1
Broughton Coburn,250-499,1
Bruce Alvin King,<250,1
Bruce Arnold,250-499,1
Bruce Campbell,250-499,1
Bruce Catton,500-749,2
Bruce Coville,<250,2
Bruce Cumings,500-749,1
Bruce Edward Walker,<250,1
Bruce Feiler,250-499,1
Bruce H. Wilkinson,<250,1
Bruce L. Edwards,>=1000,1
Bruce Patton,250-499,1
Bruce Spizer,250-499,1
Bryan Lee O'Malley,<250,1
Bryan Magee,250-499,2
Bryan Magee,<250,1
Bryan Sykes,250-499,2
Bryce Courtenay,250-499,1
Bryce Courtenay,500-749,3
Bryce Courtenay,750-999,1
Burton G. Malkiel,250-499,2
Buzz Bissinger,250-499,1
C. Hassell Bullock,250-499,1
C.D. Payne,500-749,2
C.D.B. Bryan,500-749,1
C.E. Murphy,250-499,2
C.G. Jung,250-499,1
C.S. Friedman,250-499,4
C.S. Friedman,500-749,3
C.S. Harris,250-499,1
C.S. Lewis,500-749,2
C.S. Lewis,750-999,2
C.S. Lewis,<250,27
C.S. Lewis,>=1000,2
CLAMP,<250,17
Cait London,250-499,3
Cait London,<250,1
Caitlin Brennan,250-499,1
Caleb Carr,250-499,1
Camellia Panjabi,<250,1
Candace Bushnell,250-499,2
Candace Bushnell,500-749,1
Candace Schuler,<250,1
Candace Ward,<250,2
Candida Höfer,250-499,1
Cara Black,250-499,1
Carl Hiaasen,250-499,12
Carl Hiaasen,<250,3
Carl Plasa,<250,1
Carl Safina,250-499,1
Carl Sagan,250-499,2
Carl Senna,<250,1
Carl Zimmer,<250,1
Carla Lynn Stockton,<250,1
Carlene Fredericka Brennen,<250,1
Carlos A. Schwantes,250-499,1
Carlos Castañeda,250-499,8
Carlos Marighella,<250,1
Carlos Ruiz Zafón,250-499,2
Carlos Ruiz Zafón,500-749,1
Carlos Ruiz Zafón,<250,1
Carlton Mellick III,<250,1
Carol Adrienne,250-499,1
Carol Belanger Grafton,<250,1
Carol Dommermuth-Costa,<250,1
Carol Drinkwater,250-499,1
Carol Lee,250-499,1
Carol Lloyd,250-499,1
Carol Marinelli,250-499,1
Carol Ryrie Brink,<250,1
Carol Shields,250-499,1
Carol Shields,<250,1
Carol Stock Kranowitz,250-499,2
Carole Marsh,<250,3
Carole Nelson Douglas,250-499,1
Caroline B. Cooney,250-499,2
Caroline B. Cooney,<250,4
Caroline Preston,250-499,1
Caroline Sharp,<250,1
Carolly Erickson,250-499,1
Carolyn Brown,<250,1
Carolyn Haywood,<250,1
Carolyn Keene,500-749,1
Carolyn Keene,<250,6
Carolyn Meyer,250-499,2
Carolyn Meyer,<250,4
Carolyn Strom Collins,<250,1
Carrie Vaughn,250-499,3
Carroll John Daly,250-499,3
Carson McCullers,250-499,2
Casey Loe,250-499,1
Catharine M. Fishel,<250,1
Catherine Coulter,250-499,5
Catherine Coulter,500-749,1
Catherine Gilbert Murdock,250-499,1
Catherine Hapka,<250,2
Catherine Marshall,250-499,1
Catherine Nichols,<250,1
Catherine Osborne,<250,1
Catherine Thimmesh,<250,1
Catherine de Zegher,250-499,1
Cecelia Ahern,250-499,3
Cecil Adams,250-499,2
Cecily von Ziegesar,<250,5
Celeste Bradley,250-499,2
Celeste Davidson Mannis,<250,1
Cesare Beccaria,<250,1
Chad Oliver,<250,2
Chaim Potok,250-499,5
Chalmers Johnson,250-499,1
Chanrithy Him,250-499,1
Charlaine Harris,<250,3
Charles  Green,<250,1
Charles A. Coulombe,250-499,1
Charles A. Peek,<250,1
Charles Allen,250-499,1
Charles Baudelaire,250-499,2
Charles Baudelaire,<250,3
Charles Boyce,750-999,1
Charles Bukowski,250-499,4
Charles Bukowski,<250,4
Charles Burns,250-499,1
Charles Burns,<250,4
Charles C. Mann,500-749,1
Charles Darwin,250-499,1
Charles Darwin,500-749,2
Charles Darwin,<250,1
Charles Darwin,>=1000,1
Charles Dickens,250-499,14
Charles Dickens,500-749,3
Charles Dickens,750-999,6
Charles Dickens,<250,4
Charles Dickens,>=1000,3
Charles Frazier,250-499,3
Charles J. Sykes,250-499,1
Charles John Cutcliffe Wright Hyne,250-499,1
Charles Kingsley,<250,1
Charles Lamb,250-499,2
Charles Lockwood,<250,1
Charles Mackay,500-749,1
Charles Osborne,250-499,1
Charles P. Rubenstein,<250,1
Charles Petzold,250-499,1
Charles R. Miller,250-499,1
Charles R. Swindoll,250-499,2
Charles Rembar,500-749,1
Charles Segal,250-499,1
Charles Seife,<250,1
Charles Simic,<250,1
Charles Stross,250-499,4
Charles Stross,<250,3
Charles Tandy,250-499,1
Charles Taylor,250-499,1
Charles Taylor,500-749,1
Charles Taylor,<250,2
Charles Todd,250-499,9
Charles W. Sydnor Jr.,250-499,1
Charles Wheelan,250-499,1
Charles Willeford,<250,5
Charles de Lint,250-499,1
Charles de Lint,500-749,1
Charlie Huston,250-499,3
Charlie Huston,<250,2
Charlotte Brontë,250-499,1
Charlotte Brontë,500-749,3
Charlotte Brontë,750-999,1
Charlotte Brontë,>=1000,1
Charlotte Fiell,250-499,1
Charlotte Lyons,<250,1
Cheri Huber,<250,3
Cheryl Carlson,<250,1
Cheryl St. John,250-499,1
Chester Gould,250-499,1
Chet Green,250-499,1
Chie Shinohara,<250,4
Chieri Uegaki,<250,1
Chiho Saito,<250,5
Chimamanda Ngozi Adichie,250-499,1
Chinua Achebe,<250,4
Chip Kidd,250-499,2
Chris          Jones,500-749,1
Chris    Green,250-499,1
Chris   Smith,<250,1
Chris  Williams,250-499,1
Chris Abani,250-499,1
Chris Adrian,<250,1
Chris Anderson,250-499,1
Chris Archer,<250,1
Chris Chester,250-499,1
Chris Claremont,<250,1
Chris Gardner,250-499,1
Chris Gray,<250,1
Chris Horrocks,<250,1
Chris Ingham,250-499,1
Chris Kubica,250-499,1
Chris L. Demarest,<250,3
Chris Malta,250-499,1
Chris Manby,250-499,2
Chris Offutt,250-499,1
Chris Offutt,<250,2
Chris Prentiss,<250,1
Chris Rowthorn,750-999,1
Chris Ryall,<250,1
Chris Seay,<250,1
Chris Tait,<250,1
Chris Van Allsburg,<250,1
Chris Ware,250-499,1
Chris Ware,<250,4
Christie Ridgway,250-499,1
Christina Dodd,250-499,1
Christina Schwarz,250-499,2
Christina Scull,>=1000,2
Christine Feehan,250-499,2
Christine Rimmer,<250,1
Christopher   Black,750-999,1
Christopher   Clark,750-999,1
Christopher   Duncan,250-499,1
Christopher   Green,<250,1
Christopher Andersen,500-749,1
Christopher Biffle,<250,1
Christopher Bram,250-499,1
Christopher Buckley,250-499,1
Christopher Caswell,250-499,1
Christopher Cokinos,250-499,1
Christopher Fowler,250-499,1
Christopher Golden,250-499,1
Christopher Hitchens,250-499,4
Christopher Hitchens,<250,6
Christopher Isherwood,250-499,2
Christopher Isherwood,<250,2
Christopher Janaway,250-499,1
Christopher Janaway,<250,1
Christopher M. Andrew,500-749,1
Christopher Marlowe,500-749,1
Christopher Marlowe,750-999,1
Christopher Marlowe,<250,3
Christopher Moore,250-499,8
Christopher Partridge,250-499,1
Christopher Pike,250-499,1
Christopher Pinney,250-499,1
Christopher Pinney,<250,1
Christopher Priest,250-499,1
Christopher Schmitt,500-749,1
Christopher Stasheff,250-499,1
Chuck Klosterman,250-499,4
Chuck Klosterman,<250,1
Chuck Palahniuk,250-499,10
Chuck Palahniuk,<250,5
Chuck Williams,<250,1
Ciruelo Cabral,<250,1
Claire Brennan,<250,1
Claire McNab,<250,1
Claire Messud,250-499,2
Claire Messud,<250,1
Clare Naylor,250-499,1
Claudia Bishop,<250,1
Claudia Carroll,250-499,1
Clayton M. Christensen,250-499,1
Clement Greenberg,250-499,1
Clifford D. Simak,250-499,1
CliffsNotes,<250,1
Clint Willis,500-749,1
Clive Barker,250-499,3
Clive Barker,500-749,7
Clive Barker,<250,1
Clive Cussler,250-499,14
Clive Cussler,500-749,13
Cody Goodfellow,<250,1
Cole Porter,500-749,1
Colin      Wells,250-499,1
Colin  Wells,250-499,1
Colin Duriez,250-499,1
Colin Duriez,<250,1
Colin McGinn,250-499,1
Colin Wilson,500-749,2
Colin Wilson,<250,1
Colleen McCullough,250-499,2
Colleen McCullough,500-749,1
Colleen McCullough,750-999,5
Colleen McCullough,>=1000,2
Colleen Sexton,<250,1
Colm Tóibín,250-499,2
Colm Tóibín,<250,2
Colson Whitehead,250-499,2
Colum McCann,250-499,1
Commander X,<250,1
Confucius,250-499,2
Confucius,<250,1
Connie Mason,250-499,1
Connie Willis,250-499,1
Connie Willis,750-999,1
Connie Willis,<250,4
Constance Ash,250-499,1
Cook's Illustrated Magazine,250-499,1
Cook's Illustrated Magazine,<250,3
Cordwainer Smith,250-499,1
Corinne Hofmann,250-499,1
Cormac McCarthy,250-499,5
Cormac McCarthy,<250,2
Cormac McCarthy,>=1000,1
Cornel West,<250,1
Cornelia Funke,500-749,2
Cornelia Funke,<250,3
Cornelius Agrippa,>=1000,1
Cornell Woolrich,250-499,1
Cornell Woolrich,<250,1
Cory Doctorow,250-499,1
Cory Doctorow,<250,3
Courtney E. Martin,250-499,1
Craig Keller,<250,1
Craig Scharlin,<250,1
Craig Thompson,500-749,1
Craig Thompson,<250,4
Crissy Trask,<250,1
Crystal Lacey Winslow,250-499,1
Curtis Saxton,<250,1
Curtis Sittenfeld,250-499,1
Cynthia Chin-Lee,<250,1
Cynthia Harrod-Eagles,250-499,7
Cynthia Harrod-Eagles,500-749,2
Cynthia J. Arnson,250-499,1
Cynthia Rylant,<250,4
Cynthia Voigt,250-499,3
Cynthia W. Shelmerdine,<250,1
D. Medina Lasansky,250-499,1
D.B. Wyndham-Lewis,250-499,1
D.C. Talk,250-499,1
D.C. Talk,<250,1
D.H. Lawrence,250-499,2
D.H. Lawrence,500-749,5
D.H. Lawrence,>=1000,1
D.T. Max,250-499,2
D.W. Buffa,250-499,1
D.W. Meinig,500-749,1
Dai Sijie,<250,2
Daidōji Yūzan,<250,1
Daisy Meadows,<250,5
Dalai Lama XIV,250-499,1
Dalai Lama XIV,<250,1
Dale Brown,250-499,3
Dale Carnegie,250-499,6
Dale Carnegie,500-749,1
Dale Carnegie,<250,1
Dale Peck,250-499,2
Dale Peck,<250,1
Dale Peterson,250-499,1
Dallas Willard,250-499,1
Damion Hunter,250-499,1
Dan B. Allender,<250,1
Dan Birlew,250-499,1
Dan Birlew,<250,1
Dan Brown,250-499,5
Dan Brown,500-749,9
Dan Brown,750-999,1
Dan Brown,<250,2
Dan Harrington,250-499,2
Dan Hitt,750-999,1
Dan Millman,250-499,1
Dan Millman,<250,2
Dan Nadel,250-499,1
Dan Savage,250-499,2
