Au8,Au8_CN,Au,Ag,Al,As,B,Ba,Ca,Ce,Co,Cr,Cu,Fe,Hg,K,La,Mg,Mn,Mo,Ni,P,Pb,S,Sb,Sr,Th,Ti,V,Y,Zn
0.44,16.67,2.64,0.9,4100,2279,14,153,2900,98,13,2,2,39100,8,3400,56,300,958,2,11,1100,279,32200,105,20,23,14,8,10,111
0.06,6.06,0.99,0.5,4900,1262,17,204,2700,73,14,2,2,48200,2,4000,42,500,2598,3,12,860,267,28100,57,18,20,24,9,10,68
0.08,10.67,0.75,0.6,4300,1149,17,175,2800,130,16,2,90,32500,18,3500,76,300,844,1,11,1080,103,28200,96,24,28,16,9,10,113
0.13,13.54,0.96,2.2,4200,5370,16,321,2900,137,12,3,6,25100,8,3700,80,800,540,1,8,1150,2067,18900,75,31,29,18,9,9,95
0.34,17.71,1.92,0.7,3900,2228,18,284,2300,89,11,4,22,26000,1,3200,50,400,1138,3,12,940,120,18300,276,56,19,13,13,12,184
0.65,31.25,2.08,1.0,4300,1481,16,210,500,81,11,3,10,22900,2,4000,46,300,32,3,6,290,120,18700,335,23,20,19,6,5,57
1.7,53.13,3.2,0.6,5400,7185,12,378,1800,64,20,2,3,40200,7,3200,35,200,60,4,10,1190,74,25500,1658,111,18,12,16,16,340
1.64,23.16,7.08,0.7,4200,2583,16,151,600,69,23,35,28,21700,10,3500,36,200,40,7,55,190,66,19200,121,23,18,15,11,7,267
2.23,43.55,5.12,0.9,4200,2163,15,388,1900,84,20,2,5,23100,3,3300,49,400,128,2,23,850,175,16100,79,25,20,16,7,6,136
0.6,60.0,1.0,0.5,5700,1845,16,252,1400,99,41,3,3,25800,12,3200,58,200,24,4,47,880,84,23300,217,31,22,12,12,8,387
3.57,28.24,12.64,0.6,4200,6579,15,185,500,75,26,3,8,31000,6,3100,44,200,11,3,17,690,44,33000,212,32,18,13,9,6,111
1.09,3.45,31.59,0.6,3900,28756,11,115,3700,59,12,3,8,27000,6,2900,34,1100,106,2,13,770,26,37700,881,24,16,13,19,8,759
0.46,21.9,2.1,45.8,3400,2693,15,115,2100,50,34,2,9429,52900,439,2800,29,200,26,4,11,890,573,62100,9115,15,18,15,6,6,1440
0.15,11.81,1.27,2.9,2900,1306,16,170,2700,83,23,2,30,50900,1,2700,47,300,2503,4,16,1000,476,39200,134,13,19,15,6,9,137
0.06,8.57,0.7,0.6,5100,865,20,297,2900,98,6,3,368,26100,2,3900,57,1300,1668,1,5,1080,80,11600,620,28,22,19,13,11,94
0.65,23.13,2.81,0.6,4800,1931,18,94,3600,106,69,11,34,30800,10,2800,53,1000,648,3,78,1310,106,24100,71,19,21,56,24,11,210
0.36,11.25,3.2,0.5,4700,4262,15,100,3100,86,41,7,58,52700,11,4100,44,300,324,3,88,1240,168,48300,269,19,20,18,15,10,231
1.39,29.96,4.64,0.7,3900,4201,12,350,2300,111,13,3,71,19100,18,3700,57,300,213,6,18,1000,363,18600,170,23,25,20,13,10,563
0.27,14.52,1.86,1.1,5700,10477,14,304,2400,63,26,2,100,19600,23,3700,33,300,37,10,34,1000,901,24400,148,54,24,21,8,21,762
0.25,6.44,3.88,1.8,3800,12091,10,274,2300,94,17,3,146,15800,25,3400,52,300,30,9,22,1210,628,22900,1505,18,25,23,9,11,293
0.17,9.09,1.87,3.1,3900,5191,14,137,2300,84,35,2,127,50500,5,3500,45,600,701,12,49,1020,3198,46900,200,25,25,31,13,10,135
0.42,40.0,1.05,1.1,8100,7246,17,419,600,128,41,2,66,9600,42,4300,68,200,12,2,12,1050,796,13600,149,32,27,19,11,14,445
0.17,16.5,1.03,0.9,8900,3013,13,186,1700,113,33,2,104,17100,14,4100,60,200,12,5,29,1480,213,18700,226,27,27,22,12,12,346
0.08,4.49,1.78,0.5,10900,965,10,605,4400,147,12,22,195,44400,9,2900,85,8700,1474,3,15,1380,32,4900,203,37,26,87,47,14,89
1.89,11.32,16.69,1.8,4900,9332,18,35,2600,115,37,2,49,36700,61,3400,70,300,36,16,29,1050,51,36900,230,21,26,23,8,13,204
0.13,9.29,1.4,0.7,2700,808,20,212,2500,98,17,10,3,32900,1,2300,52,200,244,1,26,1350,139,35900,23,19,25,12,4,7,61
0.15,9.74,1.54,1.1,3300,2499,15,158,2300,103,12,3,34,24900,6,3600,57,300,327,7,16,1000,95,23400,143,17,20,16,10,9,247
0.34,11.04,3.08,1.4,3700,47384,20,169,1900,39,10,3,117,17200,341,2400,20,200,280,6,8,1210,390,39500,29443,15,11,15,5,7,185
0.38,13.06,2.91,2.2,4000,42572,50,38,1200,41,10,2,252,15800,242,2000,22,200,32,8,8,900,721,36100,14944,9,11,17,6,5,167
0.08,5.56,1.44,0.7,5100,8046,27,196,1400,69,23,3,5,25500,23,3900,39,300,23,13,17,1070,361,25500,130,17,19,30,9,10,247
0.15,10.87,1.38,5.3,4400,1568,20,222,1100,68,23,3,353,27800,106,3100,38,300,26,4,10,870,172,31500,375,18,17,47,8,7,148
0.5,7.91,6.32,0.6,5000,18844,29,162,1200,73,17,2,13,23100,894,3100,39,200,160,5,14,760,164,31400,516,33,18,18,8,12,477
0.23,5.87,3.92,0.9,4400,7024,29,169,1500,89,16,2,3,18100,25,3300,50,200,22,4,12,1010,230,21900,194,16,20,18,5,10,323
0.29,14.95,1.94,0.5,4200,14909,27,159,1500,62,18,2,8,23400,237,2600,33,200,24,4,14,1040,125,34600,780,22,17,15,6,11,280
0.48,13.79,3.48,0.5,5900,42099,17,208,800,54,11,2,10,19500,1729,2500,30,200,20,2,10,950,111,39400,1387,115,17,11,8,18,818
0.08,7.34,1.09,0.5,3300,2371,20,301,2600,86,14,3,6,18900,17,2400,45,200,128,2,14,1160,377,20500,77,23,22,13,5,10,147
0.02,2.33,0.86,0.5,5800,767,18,383,3000,97,15,4,12,20800,5,3100,53,1700,243,3,18,1330,129,19800,52,43,21,84,17,9,193
0.02,3.28,0.61,0.5,4100,738,18,275,3300,84,13,7,5,29400,2,3400,48,800,1136,2,23,1400,213,20800,35,29,21,16,13,12,78
-0.02,2.27,0.88,0.6,4200,1158,27,267,3200,105,12,8,14,20900,2,3700,58,300,361,5,18,1420,378,20200,157,22,22,19,10,10,102
0.11,8.94,1.23,0.6,3700,3504,19,177,2900,70,23,7,16,31700,3,3200,39,800,759,3,42,1200,218,28100,575,21,19,16,10,9,100
0.25,6.38,3.92,0.5,3300,854,19,250,2600,79,12,4,12,24500,4,2800,44,700,706,2,13,1140,94,30800,42109,18,16,17,10,8,85
0.13,13.54,0.96,0.7,3600,850,33,97,2500,76,10,5,8,19800,3,3300,41,300,248,6,13,1090,297,21300,281,18,20,15,5,8,74
0.13,10.0,1.3,1.8,3800,2815,18,132,2400,79,36,5,64,34400,15,3600,43,300,307,4,34,1080,284,35400,113,15,19,18,7,9,84
0.55,39.01,1.41,0.6,13600,976,16,159,3400,102,33,39,230,28700,7,3400,58,6700,204,2,38,1410,41,18200,307,37,16,40,46,13,133
1.01,18.84,5.36,1.4,4300,1781,17,180,2600,106,39,6,61,23300,13,3300,59,300,10,4,36,1120,195,25400,5385,38,22,13,13,12,177
0.55,16.18,3.4,1.3,4400,868,23,155,3100,114,24,4,6,25900,4,3300,64,300,10,5,26,1360,322,29600,2715,31,28,13,10,16,443
0.48,8.76,5.48,0.9,3400,2009,13,237,2800,93,15,3,15,31100,10,2800,53,200,987,5,25,1240,132,27400,3726,23,23,13,14,8,474
0.23,8.04,2.86,0.8,4600,2323,22,214,2700,104,11,4,12,22200,15,4000,59,200,170,4,20,1070,93,23300,2646,23,23,15,11,7,392
0.61,13.03,4.68,1.4,4100,1483,15,249,2700,104,13,5,9,21600,7,3600,60,200,16,4,25,1250,372,24300,1203,24,28,16,18,11,406
0.69,20.06,3.44,0.7,3600,674,12,236,1800,104,14,4,11,17300,12,3300,62,200,7,4,13,760,62,18000,427,20,24,14,11,9,102
0.67,16.92,3.96,0.8,3700,897,14,162,2600,112,13,4,10,26000,4,3300,65,200,14,5,17,1110,102,28100,369,22,30,13,15,11,439
-0.02,1.56,1.28,0.6,4300,431,18,151,3000,102,13,3,13,30900,1,3600,60,500,785,4,19,1140,120,27800,119,23,28,13,13,10,197
0.57,29.08,1.96,0.8,5100,392,25,227,2300,124,13,3,6,23600,14,4200,73,200,20,4,15,970,99,24800,893,27,26,13,9,9,198
0.15,28.3,0.53,0.9,4500,302,25,190,2700,131,13,3,10,25400,6,3700,77,200,24,4,14,1120,191,27600,388,34,33,10,8,10,799
0.5,51.02,0.98,0.8,3800,678,28,280,1400,147,8,4,20,23900,30,3000,87,200,21,6,9,870,465,18500,1035,129,35,11,10,13,123
0.25,35.21,0.71,0.7,3300,404,18,121,1700,145,11,3,30,33600,19,2900,87,200,14,5,12,860,296,34400,168,40,33,12,8,10,55
0.21,39.62,0.53,0.6,3500,300,13,295,1800,141,8,4,51,20800,12,3200,85,200,13,4,9,850,154,19600,192,34,33,12,11,11,19
0.74,50.34,1.47,0.6,3800,303,17,310,1100,112,16,2,5,21400,7,2900,68,200,8,4,13,600,518,22700,740,47,32,13,6,16,266
1.28,60.66,2.11,0.7,3200,561,14,267,300,104,10,3,6,28800,25,2500,62,100,7,5,10,570,471,24300,977,138,32,11,11,8,82
0.42,37.84,1.11,0.7,3000,464,22,277,400,94,9,2,12,24000,7,2300,56,100,7,4,8,590,432,22200,801,149,29,12,8,6,90
0.36,9.47,3.8,0.7,4300,11762,21,146,100,80,10,2,3,19700,2544,2700,48,100,6,2,9,660,59,27500,3919,13,26,11,5,7,148
0.25,12.95,1.93,0.6,5700,10313,26,394,100,112,17,2,2,17100,11,3300,64,100,5,4,17,980,156,25700,329,15,31,13,8,11,310
0.23,44.23,0.52,0.8,7600,9624,29,200,200,79,17,3,3,23800,8,3500,47,200,5,3,14,1200,134,31700,203,15,25,16,7,9,495
0.19,12.84,1.48,0.5,5800,2142,16,177,4200,136,23,8,54,52000,6,3200,75,3300,3323,2,21,1190,343,9800,181,30,30,71,31,26,293
0.13,2.23,5.84,1.7,2300,4196,15,34,2700,99,11,2,12,35200,4,2200,55,500,991,26,10,860,396,27500,7926,11,27,11,12,11,609
0.04,5.48,0.73,0.7,2700,3274,24,94,3000,119,11,3,24,42800,6,2400,66,500,2140,3,9,920,116,22400,200,12,32,13,11,13,65
0.04,2.74,1.46,0.7,2300,2576,31,125,2500,106,10,2,4,27200,2,2000,57,300,590,4,10,970,449,23800,448,11,30,11,8,9,53
0.06,3.0,2.0,0.6,2700,4280,18,253,5900,126,8,4,7,20700,2,2500,68,1700,230,3,9,960,314,20800,183,23,33,12,15,8,77
0.06,3.47,1.73,0.8,2800,2249,17,289,6500,132,9,4,14,22400,2,2600,71,1900,190,4,11,920,245,20700,128,26,34,14,16,8,109
0.06,4.32,1.39,1.2,2000,2443,13,111,3500,107,13,2,10,49700,1,2000,60,700,2978,3,12,1040,143,20200,210,16,29,11,11,16,43
0.19,10.05,1.89,0.5,2500,1711,19,199,3000,132,15,3,3,32500,1,2400,75,400,1224,3,12,1020,46,19700,78,18,32,13,14,13,56
0.27,3.81,7.08,0.6,3000,2961,25,291,2900,132,12,3,8,33700,2,2700,74,400,1576,4,13,960,51,18800,1210,20,32,15,14,11,43
0.06,7.23,0.83,0.6,3600,2336,24,317,3600,119,16,3,7,29100,1,2700,71,500,721,4,18,1330,57,22800,57,22,31,16,11,9,67
1.49,36.88,4.04,0.6,3500,3962,18,210,1200,113,9,3,141,26100,4,3700,61,200,162,8,19,600,54,16500,526,29,24,14,10,8,92
0.84,44.92,1.87,0.6,3700,3019,16,324,2500,114,8,3,120,29900,1,3600,61,1100,1024,9,9,1010,59,13300,169,33,24,21,14,10,73
0.48,15.19,3.16,1.6,3700,837,12,291,2100,101,26,62,8,40400,3,3300,56,200,332,3,13,900,713,32700,286,23,22,10,13,8,57
0.11,12.94,0.85,2.3,3700,321,20,344,2700,71,26,107,110,39300,2,3000,38,300,1560,5,9,950,1793,28100,1050,19,18,11,13,6,257
0.02,6.06,0.33,0.8,5500,1394,19,252,2800,105,15,117,3,45700,1,4700,60,400,2045,2,13,970,213,29700,72,21,22,13,12,6,139
0.27,22.69,1.19,0.7,3500,15706,8,210,2100,75,18,62,7,28500,32,3300,44,200,319,2,18,830,249,36100,5809,13,19,12,9,7,131
0.34,19.77,1.72,0.5,6000,801,15,354,2200,83,14,46,4,15900,2,4300,46,300,324,4,9,960,301,9900,154,20,22,24,18,8,52
0.17,27.42,0.62,3.9,5400,2330,17,371,2100,88,28,47,606,44600,3,4500,52,1300,2057,5,18,850,1016,23900,253,18,22,21,12,10,65
0.04,5.56,0.72,0.7,5500,528,21,499,2800,88,14,55,6,27900,2,4200,49,400,884,4,11,1030,162,19700,39,23,23,15,8,8,31
0.36,10.23,3.52,1.0,4100,5899,14,209,2000,87,14,105,5,29200,18,3800,51,200,58,4,15,870,487,28900,442,23,18,11,10,7,148
0.04,16.67,0.24,2.0,4200,1792,23,485,3000,113,12,63,5,29100,4,4100,62,1100,2629,3,19,1090,471,5900,443,22,23,11,13,12,996
0.02,3.39,0.59,12.3,4900,751,23,105,3000,101,44,67,117,50800,3,3300,60,900,4200,3,43,1020,2184,24000,254,20,22,13,11,19,4168
0.02,5.71,0.35,0.6,3300,814,14,285,11900,102,18,66,7,30200,2,2300,59,7800,774,3,25,1040,86,16400,60,41,23,11,22,9,93
-0.02,4.44,0.45,1.4,4400,1904,17,148,3100,112,16,72,37,25200,6,3400,68,2700,408,3,16,1080,287,15100,48,21,25,15,18,9,565
0.9,46.63,1.93,3.0,6200,779,16,370,300,115,14,254,69,22700,8,4700,63,300,28,5,15,790,1982,15500,635,81,28,15,16,7,24
0.27,25.96,1.04,1.1,4200,233,15,153,300,90,14,516,10,35000,3,3800,47,200,67,6,18,610,302,29400,444,46,27,17,13,4,60
3.26,88.59,3.68,1.0,4000,207,17,158,200,121,16,335,8,33500,5,3300,66,200,45,8,17,820,132,31200,334,32,26,14,14,6,32
0.13,25.49,0.51,0.5,5200,146,19,189,300,96,15,619,11,30400,3,2800,52,200,81,8,25,1140,203,26600,1871,20,27,14,13,8,84
0.06,15.38,0.39,0.8,3000,205,13,315,200,105,14,393,8,30100,1,2900,58,100,45,4,18,380,218,26900,759,35,25,16,11,6,30
0.46,30.87,1.49,0.9,3100,304,12,321,200,90,17,369,8,28300,3,3200,49,100,45,5,16,590,188,23300,581,63,27,14,12,5,23
0.27,39.71,0.68,0.9,4100,384,18,247,200,77,15,670,12,36400,3,3600,41,200,84,7,21,1130,232,27700,3241,62,26,15,17,4,13
0.15,20.0,0.75,0.9,4700,435,8,100,100,102,16,400,8,37000,2,3600,56,200,54,5,21,1240,221,35300,391,19,28,17,13,5,73
0.21,26.58,0.79,1.2,4000,361,11,149,200,98,19,239,15,27500,4,3400,54,200,40,9,17,560,248,25100,304,27,26,16,10,6,62
0.15,35.71,0.42,0.8,4200,265,8,388,100,121,11,268,7,20800,1,3200,68,200,29,5,15,790,161,18000,125,33,29,14,9,9,43
0.08,21.05,0.38,1.9,4600,165,10,282,100,108,16,387,8,31200,1,3400,59,200,49,5,18,640,1863,28900,518,30,27,16,11,7,35
0.46,42.99,1.07,5.1,6700,458,17,243,300,85,17,438,10,41100,1,4300,44,200,53,6,15,2490,6749,27500,463,185,25,17,20,8,44
0.29,20.28,1.43,2.2,4400,370,7,132,100,81,35,348,24,35000,1,3200,42,200,64,4,23,690,1694,31500,530,30,27,15,11,5,48
0.5,31.85,1.57,1.1,5900,286,9,149,200,76,25,246,7,30500,1,3000,40,200,37,4,18,790,405,28100,359,31,26,13,10,6,17
0.17,14.17,1.2,1.5,5600,388,6,134,100,81,14,232,10,28400,4,3000,44,200,41,3,19,450,311,27500,2041,27,23,17,12,5,47
0.17,20.0,0.85,1.1,4600,213,6,152,100,82,14,304,8,28500,1,2700,44,200,65,5,20,360,238,27300,236,18,24,14,11,5,49
0.15,7.39,2.03,0.9,4000,187,9,129,100,75,12,290,8,25600,2,3000,42,200,49,4,15,170,156,23500,1678,13,24,14,9,5,15
0.61,34.86,1.75,0.7,4800,220,11,137,100,77,10,234,9,23300,3,2800,42,100,61,5,16,390,241,18900,249,40,23,13,10,14,29
1.32,40.37,3.27,1.2,3400,630,9,189,200,80,13,238,8,28700,6,3300,45,100,41,3,29,760,427,23100,1622,42,23,14,11,5,61
0.23,44.23,0.52,0.8,3400,567,5,137,300,91,7,248,6,20800,1,2800,50,200,66,7,13,980,197,15900,697,29,24,11,11,4,15
1.37,52.09,2.63,1.0,4300,766,13,179,200,111,16,257,7,30800,4,3000,59,100,45,4,16,1180,527,29800,297,141,25,23,13,7,54
0.84,41.18,2.04,2.7,4500,1577,15,415,100,93,4,257,153,20700,32,4500,51,100,28,7,11,1200,3919,12300,1211,50,25,16,18,5,19
0.99,19.0,5.21,0.8,6200,939,10,320,200,140,8,208,11,18500,6,4600,76,200,36,13,12,1060,111,15700,2570,119,27,24,22,15,45
4.49,58.77,7.64,0.9,6300,6430,10,287,500,123,4,151,9,18500,17,3700,70,200,20,4,8,1550,60,9500,3623,176,25,15,18,12,26
4.87,60.57,8.04,0.6,6900,1731,12,277,400,118,11,147,57,23800,23,3200,64,100,31,5,15,1330,197,22500,3333,95,25,12,12,8,14
1.68,26.5,6.34,1.6,10000,6404,10,308,300,139,20,122,534,22600,17,3800,78,200,19,5,35,2130,1048,17400,1546,86,25,14,17,14,67
0.67,21.27,3.15,0.5,5700,1366,8,364,200,133,14,113,8,18800,3,3700,76,200,20,3,23,850,542,17900,68,36,28,19,12,10,104
10.33,58.07,17.79,1.8,6400,1814,11,194,200,138,19,129,33,26300,90,3700,78,200,26,3,22,1240,1556,25800,81,68,27,20,13,11,105
0.21,35.0,0.6,1.0,6500,5034,19,272,100,126,30,105,36,20300,8,5100,70,300,19,3,83,900,132,17700,144,23,25,13,13,17,614
1.6,16.74,9.56,12.4,3500,4230,12,295,200,100,8,95,242,21000,32,2900,54,100,36,3,13,770,6638,21100,3816,27,22,11,16,9,137
2.58,41.61,6.2,9.3,10200,4794,26,233,300,106,63,107,141,27900,22,5200,58,400,23,4,86,1290,3969,25400,418,49,20,23,16,11,84
0.42,6.44,6.52,0.8,9700,3113,40,225,1000,115,75,84,69,25600,17,5900,61,500,11,3,124,710,72,23600,193,85,19,22,18,17,54
0.5,5.1,9.8,1.3,10400,3134,29,210,600,116,107,132,78,28500,19,6300,64,400,15,3,113,370,45,26100,277,43,17,14,25,12,79
1.97,31.17,6.32,0.7,13100,3488,33,262,900,106,97,54,55,23100,43,4800,57,500,5,3,180,1100,139,23100,1283,90,18,35,22,37,2097
0.76,71.03,1.07,1.9,14500,2064,24,85,900,114,79,55,19,32200,4,4100,59,300,21,3,190,680,49,29700,573,261,18,31,21,19,131
1.05,60.0,1.75,2.6,17400,1781,49,295,1300,118,28,65,239,10200,12,4500,61,400,5,2,80,1690,2872,7500,253,331,22,96,27,37,89
7.62,19.2,39.69,0.6,4500,10788,11,165,100,95,8,107,8,20000,27,3900,51,200,41,3,13,1100,79,23200,2179,47,20,13,12,9,69
1.3,17.45,7.45,0.8,8100,4198,20,105,200,108,29,92,9,31500,13,5100,57,300,25,4,45,1100,87,30000,595,87,22,16,13,9,64
0.29,4.62,6.28,1.1,6100,9869,14,109,300,117,30,68,63,23200,81,3800,62,300,19,6,45,740,783,27700,1743,82,21,15,10,13,443
0.32,16.08,1.99,23.0,7200,1589,28,446,2900,101,8,44,372,57400,2,5900,56,5900,1576,1,6,960,1750,23100,340,20,24,18,13,7,121
0.13,10.83,1.2,4.3,6700,8367,24,285,2500,111,14,46,258,31200,21,6000,61,400,127,2,8,1060,659,31100,412,22,26,19,8,8,134
0.02,1.54,1.3,0.7,5200,3486,25,436,2100,96,11,62,12,20000,6,4800,52,300,32,3,9,980,100,22800,9271,22,22,17,9,6,124
2.42,35.28,6.86,2.3,5400,6301,16,357,2900,119,25,45,82,57300,22,5100,68,1200,1919,7,17,1130,396,26300,433,23,23,16,20,10,117
2.0,68.97,2.9,2.0,8700,2781,19,363,1200,133,3,70,12,20100,7,8100,79,500,189,6,5,530,153,3700,877,49,25,30,31,6,41
1.3,37.79,3.44,0.9,7700,5584,18,450,2300,104,10,64,13,39900,3,7200,62,1300,1478,4,9,970,404,17100,409,37,21,26,26,9,107
0.72,67.29,1.07,0.5,6300,2429,15,558,1200,117,9,45,12,17500,4,6300,71,300,130,3,7,680,273,5900,314,48,24,20,14,8,41
0.6,62.5,0.96,1.0,7500,1413,21,759,800,107,7,53,26,20200,2,6900,64,400,981,14,5,550,421,2800,355,39,24,21,15,8,49
0.51,85.0,0.6,1.4,6100,1578,16,868,1400,107,3,40,25,28400,3,5900,62,300,449,8,4,830,459,1900,720,38,20,19,16,9,83
1.93,51.88,3.72,0.6,6900,2307,15,303,900,111,8,64,11,16100,4,6400,65,300,68,3,6,540,383,7500,346,49,24,24,21,6,31
0.21,7.87,2.67,3.0,6300,3080,16,425,2300,114,12,41,205,28100,1,6000,66,500,762,7,8,1120,596,10500,759,31,23,20,17,10,55
1.49,47.76,3.12,0.9,5200,2763,14,370,1800,109,11,44,11,17200,4,5100,64,300,82,7,7,910,335,13800,583,20,22,18,15,8,77
1.9,45.67,4.16,0.7,4700,2345,15,160,2000,100,11,57,12,23500,4,4700,59,500,830,14,8,910,131,9100,154,32,22,16,13,9,67
0.08,8.16,0.98,0.6,5100,3324,17,77,2400,98,8,45,4,21200,1,5100,55,300,774,4,9,1120,115,13700,122,17,20,21,10,9,167
0.06,2.24,2.68,0.7,4000,4088,14,93,2300,101,8,44,6,18500,2,4300,57,200,235,6,11,1080,138,15700,224,19,20,17,13,7,139
0.04,2.31,1.73,0.5,5300,3490,18,492,2400,108,11,34,4,15800,1,5200,61,300,167,5,12,1150,159,13400,139,24,21,16,11,7,145
0.06,2.17,2.76,0.6,4100,3125,16,113,2400,103,8,42,6,16900,2,4400,58,300,215,5,12,1060,768,14700,333,18,21,16,12,7,204
0.06,4.76,1.26,10.3,3700,4905,12,26,2600,101,9,36,720,31300,7,4000,58,500,1036,9,11,1050,7473,22900,1335,15,21,16,12,8,141
0.09,1.97,4.58,0.9,3700,6464,17,256,2700,85,17,30,263,21600,4,3400,45,300,24,6,12,1200,464,21400,356,19,21,12,10,7,179
0.06,3.61,1.66,1.0,7100,1814,22,212,2600,129,39,31,43,30300,7,4500,71,400,26,4,59,1190,150,33800,1338,69,27,11,14,11,531
0.28,16.57,1.69,3.6,5500,23586,14,163,1400,101,22,28,59,22900,18,3500,54,300,15,4,19,800,1075,47500,40320,34,18,10,20,5,2304
0.11,14.29,0.77,0.8,5400,1525,28,408,1700,114,33,25,21,30700,9,3800,63,400,34,6,44,810,226,33000,363,23,27,11,10,7,294
0.13,5.31,2.45,1.4,5700,3746,23,247,1800,107,14,63,9,30700,6,4000,60,400,42,5,16,910,236,34400,3484,28,27,14,13,7,304
0.75,56.39,1.33,0.8,3900,198038,7,24,900,48,9,37,7,16000,22,2600,27,200,22,6,8,540,93,112600,21325,18,11,10,11,3,1042
0.2,7.22,2.77,0.8,5200,5153,15,323,2500,100,15,29,5,28600,11,4000,55,400,61,5,23,1090,90,32700,695,19,22,13,10,6,472
0.17,5.06,3.36,0.8,6200,3991,19,361,2700,99,16,55,6,28800,13,4500,55,500,63,5,24,1220,80,31300,790,25,21,14,11,7,235
0.13,3.49,3.72,1.0,4700,5002,20,300,2600,101,14,33,12,30600,23,3500,56,300,62,7,16,1130,173,41800,19446,34,23,12,12,6,275
0.04,4.65,0.86,0.6,5500,1743,25,336,3200,125,13,31,10,28000,4,4000,67,400,88,4,18,1320,239,32800,6018,56,29,12,12,8,200
0.45,2.57,17.53,1.2,5800,35117,26,368,3400,109,11,44,14,19300,13,4100,60,300,24,3,11,1310,88,38400,7287,44,21,16,19,9,113
0.21,12.96,1.62,0.8,5100,6993,21,463,3300,128,14,44,12,25300,10,4300,71,300,35,3,19,1450,151,29200,169,33,25,15,11,9,112
0.11,11.22,0.98,1.0,7400,2659,23,391,3500,133,25,58,14,28800,9,5400,74,400,42,3,28,1460,179,30200,129,33,25,17,14,10,123
0.24,42.11,0.57,0.7,6600,19859,21,398,2400,100,10,63,6,20300,4,4800,56,300,32,4,13,1040,200,29900,633,30,23,16,9,7,106
0.11,2.52,4.36,0.7,6100,1765,17,443,3000,116,12,52,29,25900,8,4400,66,300,20,3,13,1090,196,26500,290,32,25,13,8,8,98
