Level,Offers Remote,Publish Time,Salary,Title,Close Time,State,Collaboration Type
S,False,2019-12-02 10:35:58,<12MT,Front-end Developer,2020-02-01 03:00:10,C,FT
J,False,2020-10-07 12:14:06,,Product Owner,2020-11-08 01:28:11,C,FT
S,False,2019-07-20 14:56:58,<4MT,برنامه‌نویس فرانت اند React (مشهد),2019-09-19 03:00:05,C,FT
,False,2017-04-09 12:48:17,,کارآموز واحد سلامت محصول (Product & User Safety),2017-06-08 12:48:17,C,
S,False,2019-07-20 15:00:54,<4MT,برنامه‌نویس بک اند (NodeJS),2019-09-19 03:00:05,C,FT
J,False,2020-02-15 18:54:51,,طراح الگوریتم معاملاتی,2020-04-16 03:00:06,C,PT
,False,2017-04-09 12:43:28,,مدیر محصول فنی (Technical Product Manager),2017-06-08 12:43:28,C,
,False,2018-07-08 16:48:59,,برنامه نویس اندروید,2018-09-06 16:48:59,C,
S,True,2020-03-15 11:44:27,<4MT,برنامه‌نویس جاوا,2020-05-15 03:00:05,C,FT
S,False,2020-06-20 11:41:51,<8MT,متخصص BI,2020-08-20 03:00:09,C,FT
J,True,2020-07-28 17:54:35,<2MT,توسعه‌دهنده Node JS,2020-08-26 16:53:52,C,PT
J,False,2020-02-15 14:14:40,<4MT,(Full-Stack Developer (PHP,2020-04-16 03:00:06,C,FT
S,True,2020-04-13 10:45:29,,Java / Kotlin Backend Developer,2020-06-13 03:00:06,C,FT
J,False,2020-04-13 11:37:10,<4MT,توسعه‌دهنده Back-end,2020-06-13 03:00:06,C,FT
S,True,2020-04-13 11:11:48,>12MT,توسعه‌دهنده Front-end,2020-05-30 11:27:38,C,PR
J,False,2020-02-15 18:56:26,<8MT,Back-End Developer,2020-04-16 03:00:06,C,FT
S,False,2020-02-15 18:56:14,>12MT,Back-End Developer,2020-04-16 03:00:06,C,PT
J,False,2020-02-15 18:55:45,,برنامه‌نویس Full Stack,2020-04-16 03:00:06,C,FT
,False,2017-04-09 12:39:58,,برنامه نویس موبایل (iOS Developer),2017-06-08 12:39:58,C,
,False,2017-03-04 09:59:50,,برنامه نويس وب Client Side,2017-05-03 10:59:50,C,
J,False,2019-12-17 19:33:37,<3MT,توسعه‌دهنده بک اند,2020-02-16 03:00:05,C,FT
S,False,2019-12-17 10:44:51,,کارشناس پایگاه داده,2020-02-16 03:00:05,C,FT
S,False,2019-12-17 15:25:13,<12MT,توسعه‌دهنده جاوا,2020-02-16 03:00:05,C,FT
S,False,2019-12-17 15:25:22,<12MT,توسعه‌دهنده ++C,2020-02-16 03:00:05,C,FT
,False,2017-02-27 21:28:14,,كارشناس development,2017-04-28 22:28:14,C,
,False,2017-02-08 15:43:32,,برنامه نویس وب، اندروید و پایتون (سمت سرور),2017-04-09 16:43:32,C,
,False,2018-05-24 13:20:59,,Web Developer,2018-07-23 13:20:59,C,
S,False,2020-04-13 12:57:18,<4MT,کارشناس بینایی ماشین و یادگیری ماشین,2020-06-13 03:00:06,C,FT
S,True,2020-02-16 12:09:44,<2MT,برنامه‌نویس flutter - کاملا دورکاری,2020-04-17 03:00:05,C,PT
J,False,2019-10-16 12:06:26,,برنامه‌نویس موتورهای بازی ساز,2019-12-16 03:00:05,C,FT
,False,2017-02-08 15:43:32,,برنامه نویس بک اند,2017-04-09 16:43:32,C,
S,True,2020-02-16 12:09:14,<8MT,SysAdmin & Network,2020-04-04 00:01:32,C,PR
,False,2017-11-20 16:14:41,,تولید کننده محتوای تعاملی دیجیتال,2018-01-19 16:14:41,C,
S,False,2020-02-16 12:08:47,<12MT,توسعه‌دهنده ++C,2020-04-17 03:00:05,C,FT
S,True,2020-02-18 09:45:49,>12MT,برنامه‌نویس Full-Stack,2020-04-19 03:00:05,C,PR
S,False,2020-01-13 16:06:49,<8MT,مدیر ارشد فناوری (CTO),2020-03-14 03:00:05,C,FT
S,True,2020-10-31 00:15:04,<12MT,توسعه‌دهنده بلاک چین,2020-12-30 03:00:10,C,FT
J,False,2020-04-13 15:28:19,<4MT,توسعه‌دهنده Front-end,2020-06-13 03:00:06,C,FT
S,True,2020-07-12 10:53:28,<3MT,توسعه‌دهنده SharePoint,2020-08-26 16:54:07,C,PT
J,False,2020-05-16 11:44:42,<8MT,کارشناس BI,2020-06-07 14:18:05,C,FT
I,False,2019-12-18 14:57:27,,توسعه‌دهنده Front-end,2020-02-17 03:00:04,C,FT
J,False,2020-08-13 15:42:32,<4MT,برنامه‌نویس .NET,2020-10-13 03:00:10,C,FT
S,False,2020-08-16 10:28:10,<8MT,برنامه‌نویس ارشد React js,2020-10-16 03:00:09,C,FT
J,True,2020-10-06 11:48:39,<12MT,Front-end developer (ReactJS),2020-11-22 12:37:18,C,FT
S,False,2020-02-17 10:54:03,<6MT,برنامه‌نویس Vue/React) Front End-اصفهان),2020-04-18 03:00:05,C,FT
,False,2017-04-30 08:50:39,,برنامه نویس,2017-06-29 08:50:39,C,
S,False,2021-01-03 11:45:35,,WordPress Developer,2021-03-05 03:00:10,C,FT
S,False,2020-10-07 10:57:00,,DevOps Engineer,2020-11-02 20:47:02,C,FT
J,False,2020-08-22 17:34:06,,برنامه‌نویس سیستمی,2020-10-22 03:00:09,C,FT
J,False,2020-02-18 11:07:30,,برنامه‌نویس iOS,2020-04-19 03:00:05,C,PT
J,False,2020-04-14 11:06:31,<2MT,توسعه‌دهنده فرانت-اند,2020-06-14 03:00:05,C,FT
J,True,2020-02-18 11:07:43,<4MT,توسعه‌دهنده Node.js) Back-End),2020-04-19 03:00:05,C,PT
M,False,2019-12-28 10:09:10,<6MT,برنامه‌نویس ارشد CTO,2020-02-27 03:00:05,C,FT
,False,2018-02-04 10:46:55,,برنامه نویس آندروید,2018-04-05 11:46:55,C,
S,False,2019-12-19 16:54:55,<12MT,DevOps Engineer,2020-02-18 03:00:04,C,FT
J,True,2020-02-18 11:07:52,<4MT,توسعه‌دهنده React) Front-End),2020-04-19 03:00:05,C,PT
J,False,2020-02-18 11:08:06,,توسعه‌دهنده Front-End,2020-03-11 10:49:03,C,FT
,False,2017-05-30 14:36:44,,iOS developer,2017-07-29 14:36:44,C,
S,False,2020-06-20 13:57:00,,برنامه‌نویس ارشد جاوا,2020-08-20 03:00:09,C,FT
S,False,2020-06-20 13:50:23,<8MT,برنامه‌نویس PHP,2020-08-20 03:00:09,C,FT
S,False,2020-07-15 17:00:57,<8MT,برنامه‌نویس لاراول,2020-09-14 03:00:09,C,FT
S,False,2020-02-18 16:20:31,,توسعه‌دهنده فرانت اند (سرباز امریه),2020-04-19 03:00:05,C,FT
J,False,2020-02-18 11:08:00,,Junior React.Js Developer,2020-04-19 03:00:05,C,PT
J,False,2020-04-14 12:35:42,<6MT,برنامه‌نویس PHP,2020-06-14 03:00:05,C,FT
J,False,2020-02-18 12:09:18,<2MT,برنامه‌نویس Front-End,2020-04-19 03:00:05,C,FT
S,False,2020-02-18 16:20:18,,توسعه‌دهنده اندروید (سرباز امریه),2020-04-19 03:00:05,C,FT
S,False,2019-12-16 17:47:01,,برنامه‌نویس ارشد وب (Front-End),2020-02-15 03:00:05,C,FT
S,False,2020-02-12 13:48:35,,توسعه‌دهنده جاوا,2020-04-13 03:00:05,C,FT
S,False,2020-04-14 16:28:33,<6MT,توسعه‌دهنده وب,2020-06-14 03:00:05,C,FT
J,False,2020-02-19 11:04:18,,برنامه‌نویس Nodejs,2020-04-20 03:00:05,C,FT
J,False,2020-04-12 10:50:05,<6MT,برنامه نویس UI/UX,2020-06-12 03:00:05,C,FT
J,True,2020-04-14 16:34:24,<4MT,توسعه‌دهنده iOS,2020-06-14 03:00:05,C,PT
S,True,2019-12-16 12:26:21,,توسعه‌دهنده PHP,2020-02-15 03:00:05,C,PR
,False,2018-06-21 19:59:13,,"دعوت به همکاری برنامه نویس مسلط به html , css , javascript , jquery",2018-08-20 19:59:13,C,
J,False,2020-02-19 14:20:47,<4MT,توسعه‌دهنده PHP و اندروید,2020-04-20 03:00:05,C,PT
J,False,2020-02-19 14:23:45,<4MT,مدیر محصول,2020-04-20 03:00:05,C,PT
J,False,2020-02-19 11:05:26,,طراح وب سایت (WordPress),2020-04-20 03:00:05,C,FT
J,False,2020-05-14 13:46:36,<3MT,برنامه‌نویس NET.,2020-06-01 15:09:37,C,FT
S,True,2020-04-15 10:46:34,<6MT,برنامه‌نویس Reactjs,2020-06-15 03:00:05,C,FT
S,False,2020-04-15 10:46:11,,برنامه‌نویس Front-end,2020-06-15 03:00:05,C,FT
S,True,2020-04-15 10:46:02,,برنامه‌نویس وب (Full-Stack),2020-06-15 03:00:05,C,FT
J,False,2019-12-16 10:21:35,<6MT,برنامه‌نویس Flutter,2020-02-15 03:00:05,C,FT
J,False,2020-02-19 14:22:11,,برنامه‌نویس اندروید (Android Developer),2020-04-20 03:00:05,C,FT
S,False,2020-02-19 14:22:28,,Senior Front-End Developer,2020-04-20 03:00:05,C,FT
S,False,2020-04-15 10:46:18,,برنامه‌نویس دات نت,2020-06-15 03:00:05,C,FT
J,False,2020-02-19 14:21:20,,کارشناس DevOps,2020-04-20 03:00:05,C,FT
S,True,2020-04-15 14:40:34,<12MT,برنامه‌نویس ارشد PHP لاراول - CTO,2020-06-15 03:00:05,C,PR
J,False,2020-02-19 14:23:09,,برنامه‌نویس (Full-Stack (Node JS,2020-04-20 03:00:05,C,FT
S,False,2020-05-16 14:37:08,<6MT,برنامه‌نویس ارشد NET.,2020-06-01 15:09:32,C,FT
J,False,2020-02-19 14:19:55,<3MT,توسعه‌دهنده Back end,2020-04-20 03:00:05,C,FT
I,False,2019-04-27 18:09:18,,کارآموز برنامه‌نویسی فرانت اند,2019-06-27 03:00:04,C,PT
J,False,2020-02-19 14:23:18,<6MT,کارشناس BI,2020-04-20 03:00:05,C,FT
,False,2017-11-29 12:14:04,,بازاریابی و امور اجرایی,2018-01-28 12:14:04,C,
S,False,2020-02-19 14:23:50,,برنامه‌نویس ارشد iOS,2020-04-20 03:00:05,C,FT
S,False,2020-07-25 13:58:23,,مدرس برنامه‌نویسی Java,2020-08-10 16:37:17,A,PT
,False,2017-10-22 12:43:00,,برنامه نویس وب,2017-12-21 12:43:00,C,
J,False,2020-02-19 16:47:06,,توسعه‌دهنده جاوا,2020-04-20 03:00:05,C,FT
S,False,2020-02-19 16:46:46,<12MT,Front End Developer,2020-04-20 03:00:05,C,FT
S,True,2020-04-16 18:05:48,>12MT,برنامه‌نویس ارشد PHP,2020-06-16 03:00:06,C,FT
S,False,2020-02-22 14:43:14,<6MT,برنامه‌نویس iOS,2020-04-23 03:00:06,C,FT
J,False,2020-08-16 15:02:22,,کارشناس تست و پشتیبانی نرم افزار,2020-10-16 03:00:09,C,FT
J,False,2020-04-16 18:05:56,,Front-end Developer,2020-06-16 03:00:06,C,FT
J,False,2019-12-16 10:18:16,,توسعه‌دهنده Front End,2020-02-15 03:00:05,C,FT
S,True,2020-02-15 14:13:52,<6MT,توسعه‌دهنده ارشد Node.js) Back-End),2020-04-16 03:00:06,C,PT
S,False,2019-12-21 11:18:09,<2MT,توسعه‌دهنده وب,2020-02-20 03:00:05,C,PR
S,False,2020-02-15 10:13:29,,کارشناس پایگاه داده,2020-04-16 03:00:06,C,FT
J,False,2020-02-22 17:41:32,<4MT,طراح سخت‌افزار‌های الکترونیکی,2020-04-23 03:00:06,C,FT
J,False,2020-02-22 16:11:27,<4MT,ادمین شبکه Network Administrator,2020-04-23 03:00:06,C,FT
S,False,2019-12-16 10:17:53,<3MT,توسعه‌دهنده گیم انجین و فیزیک انجین,2020-02-15 03:00:05,C,PT
J,False,2020-02-22 17:54:36,<4MT,برنامه‌نویس میکروکنترلر ARM,2020-04-23 03:00:06,C,FT
J,False,2020-02-22 17:36:08,<4MT,برنامه‌نویس React Native,2020-04-23 03:00:06,C,FT
I,True,2020-08-23 17:35:35,,توسعه‌دهنده Back-end,2020-09-29 10:47:50,C,PT
S,False,2020-02-23 11:20:18,<8MT,برنامه‌نویس React,2020-04-24 03:00:05,C,FT
,False,2017-12-04 14:30:27,,کارشناس ETL,2018-02-02 14:30:27,C,
J,True,2020-05-16 14:46:24,<4MT,SAP-ERP Developer,2020-07-16 03:00:09,C,FT
J,False,2020-09-27 12:44:48,<4MT,توسعه‌دهنده Front-end,2020-10-10 10:49:16,C,FT
J,False,2020-04-16 18:07:03,,توسعه‌دهنده Front-end,2020-06-16 03:00:05,C,FT
S,False,2020-02-22 17:58:44,,برنامه‌نویس ارشد Back-End,2020-04-23 03:00:05,C,FT
S,False,2020-07-25 13:57:02,,مدرس دوره علم داده,2020-08-10 16:37:17,A,PT
S,False,2020-02-23 11:20:37,<8MT,برنامه‌نویس Back End (Python),2020-04-24 03:00:05,C,FT
S,True,2019-10-08 14:59:04,<6MT,برنامه‌نویس Python ، مسلط به جنگو,2019-12-08 03:00:05,C,FT
S,False,2020-04-19 11:04:44,<8MT,PHP) Full-Stack Developer),2020-06-19 03:00:06,C,FT
S,False,2020-04-16 18:06:36,,توسعه‌دهنده ارشد Front-end,2020-05-30 10:36:10,C,FT
S,False,2020-02-23 11:20:49,<8MT,برنامه‌نویس Back End (node.js),2020-04-24 03:00:05,C,FT
J,False,2019-12-15 14:02:07,<3MT,توسعه‌دهنده React/React Native/php,2020-02-14 03:00:05,C,FT
S,False,2020-02-23 11:21:08,,توسعه‌دهنده Front-End,2020-03-11 10:48:57,C,FT
S,True,2020-01-09 16:12:45,,کارشناس تحلیل داده - Data Scientist,2020-03-10 03:00:05,C,FT
J,False,2020-02-22 17:36:22,<4MT,برنامه‌نویس Full Stack,2020-04-23 03:00:06,C,FT
J,False,2020-04-16 18:07:24,<4MT,برنامه‌نویس ویندوز C#,2020-06-16 03:00:05,C,FT
S,False,2020-02-23 11:21:31,,کارشناس DevOps,2020-04-24 03:00:05,C,FT
J,False,2020-01-28 11:29:04,,توسعه‌دهنده (Front End (Vue.js,2020-03-29 03:00:05,C,FT
J,False,2020-04-16 18:07:15,,توسعه‌دهنده Backend,2020-06-16 03:00:05,C,FT
,False,2018-07-26 13:33:28,,طراح UI/UX,2018-09-24 12:33:28,C,
S,True,2019-10-08 14:56:47,<6MT,PHP) Full-Stack Developer),2019-12-08 03:00:05,C,PT
,False,2018-06-29 13:30:33,,Front-end Developer,2018-08-28 13:30:33,C,
J,False,2020-08-22 17:32:35,<6MT,توسعه‌دهنده Back-end,2020-10-22 03:00:10,C,FT
,False,2018-12-24 13:10:01,,Creative CSS/HTML Developer,2019-02-23 03:00:04,C,
J,False,2019-12-01 14:11:12,,توسعه‌دهنده Backend,2020-01-31 03:00:06,C,FT
S,False,2020-02-22 16:08:00,,Senior Back-End Developer,2020-04-23 03:00:05,C,FT
S,False,2020-02-23 11:22:11,,Front-End Developer & UI/UX Designer,2020-04-24 03:00:05,C,FT
,False,2018-12-27 16:11:15,,کارآموز توسعه دهنده Front End,2019-02-26 03:00:04,C,
J,False,2020-04-17 23:56:04,<4MT,تحلیل‌گر و تستر سیستم,2020-06-17 03:00:06,C,FT
J,True,2020-09-08 19:03:50,,Back-End Developer,2020-11-08 03:00:10,C,PT
,False,2018-12-27 15:30:21,,کارآموز توسعه دهنده Web service -Back end,2019-02-26 03:00:04,C,
J,False,2020-02-23 13:44:09,<1MT,توسعه‌دهنده back-end,2020-04-24 03:00:05,C,PT
J,False,2019-10-06 17:03:07,<3MT,برنامه‌نویس QML/QT,2019-12-06 03:00:05,C,FT
J,False,2019-06-22 16:28:53,,Ruby on Rails)Back-end Developer),2019-08-22 03:00:05,C,FT
M,False,2020-02-16 19:42:29,,توسعه‌دهنده Backend,2020-04-17 03:00:05,C,FT
S,False,2020-02-23 15:47:58,<12MT,PHP Laravel Developer - Backend,2020-04-24 03:00:05,C,FT
S,False,2020-02-16 12:09:03,<12MT,توسعه‌دهنده جاوا,2020-04-17 03:00:05,C,FT
S,False,2020-02-23 16:38:11,,Front-End Developer,2020-04-24 03:00:05,C,FT
J,True,2020-04-18 10:55:05,<1MT,متخصص نرم افزارهای گرافیکی و معماری,2020-06-18 03:00:05,C,PR
,False,2018-12-24 19:33:27,,برنامه نویس ارشد,2019-02-23 03:00:04,C,
S,True,2020-06-22 02:37:35,<12MT,توسعه‌دهنده Back-end / Front-end,2020-08-21 03:00:08,C,PR
S,True,2020-05-16 18:25:07,<12MT,Senior Python Developer,2020-07-16 03:00:09,C,FT
S,True,2020-05-17 10:43:59,,توسعه‌دهنده Front end,2020-07-17 03:00:09,C,FT
I,True,2020-08-12 14:59:50,<1MT,کار آموز PHP,2020-10-12 03:00:10,C,FT
S,True,2020-04-18 10:54:52,>12MT,Back-End) Senior Java Developer),2020-06-18 03:00:05,C,FT
,False,2018-03-06 15:44:53,,توسعه دهنده  Django,2018-05-05 16:44:53,C,
S,False,2019-12-28 10:08:37,<8MT,React.Js/React-Native Developer,2020-02-27 03:00:05,C,FT
S,False,2020-04-18 15:15:54,,UI/UX Designer,2020-06-18 03:00:05,C,FT
S,False,2020-02-24 11:08:59,,مدیر فنی تیم برنامه‌نویسی,2020-04-25 03:00:05,C,FT
S,False,2020-01-01 15:07:06,>12MT,Senior PHP Developer Amsterdam,2020-03-02 03:00:05,C,FT
,False,2017-07-25 23:01:52,,برنامه نویس ActionScript و Air,2017-09-23 22:01:52,C,
,False,2018-12-24 16:14:17,,برنامه‌نویس ارشد React Native,2019-02-23 03:00:04,C,
J,False,2020-09-08 19:02:56,<4MT,Front-end Developer (React),2020-11-08 03:00:10,C,FT
J,False,2020-02-24 15:46:43,,توسعه‌دهنده Front End,2020-04-25 03:00:05,C,FT
S,False,2020-02-24 12:25:15,<4MT,برنامه‌نویس ارشد PHP,2020-04-25 03:00:05,C,FT
J,True,2020-02-24 12:24:49,,برنامه‌نویس Nuxt,2020-04-25 03:00:05,C,PR
J,False,2020-02-24 15:46:50,,تحلیلگر بدافزار,2020-04-25 03:00:05,C,FT
J,False,2020-02-24 15:46:34,,توسعه‌دهنده Backend,2020-04-25 03:00:05,C,FT
,False,2018-12-24 13:13:23,,برنامه نویس وردپرس,2019-02-23 03:00:04,C,
,False,2018-11-19 17:58:16,,توسعه‌دهنده  .NET,2019-01-19 03:00:04,C,
J,False,2020-04-19 11:04:24,<6MT,PHP Developer,2020-06-19 03:00:06,C,FT
S,False,2020-02-24 15:46:29,<8MT,کارشناس فنی پشتیبانی سیستم,2020-04-25 03:00:05,C,FT
,False,2017-07-25 22:56:49,,برنامه نویس MVC.net,2017-09-23 21:56:49,C,
J,False,2020-02-18 11:07:15,<4MT,Co-Founder and Developer,2020-04-19 03:00:05,C,FT
S,False,2019-10-27 12:44:51,<6MT,PHP - Laravel Backend Developer,2019-12-27 03:00:05,C,FT
,False,2018-12-24 12:54:33,,iOS Developer,2019-02-23 03:00:04,C,
,False,2018-12-24 12:44:07,,Android Developer,2019-02-23 03:00:04,C,
J,False,2020-02-24 19:06:36,<6MT,توسعه‌دهنده Front End,2020-04-25 03:00:05,C,FT
,False,2018-12-22 17:19:51,,برنامه نویس Front-end,2019-02-21 03:00:04,C,
J,False,2020-08-22 17:32:10,<6MT,توسعه‌دهنده Front-end,2020-10-22 03:00:10,C,FT
S,False,2020-04-21 18:16:24,<8MT,توسعه‌دهنده Back-End,2020-06-21 03:00:05,C,FT
S,True,2019-10-06 14:56:41,,برنامه‌نویس reactJS,2019-12-06 03:00:05,C,PR
J,False,2020-02-24 19:07:15,,برنامه‌نویس ASP.Net,2020-04-25 03:00:05,C,FT
,False,2018-12-22 13:43:40,,برنامه‌نویس PHP- هم‌بنیانگذار - آقا - مشهد,2019-02-21 03:00:04,C,
,False,2018-11-19 14:48:20,,متخصص UI/UX,2019-01-19 03:00:04,C,
,False,2018-06-27 10:02:46,,برنامه نویس Android,2018-08-26 10:02:46,C,
J,False,2020-02-25 17:42:41,,برنامه‌نویس وب,2020-04-26 03:00:05,C,FT
,False,2018-12-20 13:20:02,,برنامه نویس vuejs,2019-02-19 03:00:04,C,
S,False,2020-04-19 11:05:19,<12MT,Senior Android Developer,2020-06-19 03:00:06,C,FT
J,True,2020-02-28 16:59:44,<2MT,توسعه‌دهنده React js,2020-04-29 03:00:05,C,PT
S,False,2020-06-14 15:00:00,<12MT,Senior Android Developer,2020-08-14 03:00:09,C,FT
J,False,2020-02-25 15:33:15,,توسعه‌دهنده Front End,2020-04-26 03:00:05,C,FT
J,False,2020-07-15 14:06:52,,PHP Developer,2020-09-14 03:00:09,C,FT
S,False,2020-01-01 15:06:56,>12MT,Experienced Software Developer,2020-03-02 03:00:05,C,FT
J,False,2019-09-28 10:10:25,,کارشناس هوش تجاری (BI),2019-11-28 03:00:05,C,FT
J,False,2020-02-24 18:51:59,<4MT,برنامه‌نویس پایتون,2020-04-25 03:00:05,C,FT
S,False,2020-03-01 11:10:17,,توسعه‌دهنده ارشد Python/Django,2020-04-26 14:52:18,C,FT
S,False,2019-06-26 17:19:01,<12MT,Java Developer,2019-08-26 03:00:04,C,FT
S,False,2020-04-19 11:06:29,<12MT,Senior iOS Developer,2020-06-19 03:00:06,C,FT
M,False,2019-12-15 13:11:45,<3MT,مدیر محصول,2020-02-14 03:00:05,C,FT
,False,2018-12-18 12:23:01,,برنامه‌نویس PHP,2019-02-17 03:00:04,C,
S,True,2020-02-25 17:43:16,<6MT,توسعه‌دهنده Front End,2020-04-26 03:00:05,C,FT
S,False,2020-04-19 11:06:37,<12MT,Senior PHP Developer,2020-06-19 03:00:06,C,FT
S,False,2019-11-30 14:15:34,,Senior Front-End (React) Developer,2020-01-30 03:00:05,C,FT
S,True,2020-02-25 19:19:28,<6MT,برنامه‌نویس Flutter,2020-04-26 03:00:05,C,FT
,False,2018-12-18 10:32:27,,برنامه‌نویس Back-end,2019-02-17 03:00:04,C,
J,True,2020-04-20 10:40:59,,برنامه‌نویس ASP.NET MVC,2020-06-20 03:00:06,C,FT
,False,2018-12-16 14:13:14,,توسعه‌دهنده Front-end,2019-02-15 03:00:05,C,
S,False,2020-06-21 12:06:16,<6MT,برنامه‌نویس Back-End) PHP),2020-08-21 03:00:08,C,FT
J,False,2020-02-26 16:49:49,,کارشناس کنترل کیفیت نرم‌افزار,2020-04-20 10:37:23,C,FT
,False,2018-07-31 09:22:48,,برنامه نویس,2018-09-29 08:22:48,C,
J,False,2019-11-30 14:13:41,,برنامه‌نویس وب,2020-01-30 03:00:05,C,FT
J,False,2020-02-29 10:22:58,<4MT,توسعه‌دهنده Front End,2020-04-30 03:00:06,C,FT
I,False,2020-05-17 15:48:30,,Front-end Internship Program,2020-07-17 03:00:09,C,FT
S,False,2020-07-15 14:06:26,,توسعه‌دهنده Back-End,2020-09-14 03:00:09,C,FT
S,False,2020-02-26 16:49:43,,برنامه‌نویس ارشد وب,2020-04-13 13:08:07,C,FT
S,False,2019-12-30 16:43:19,,SQL Server Database Developer,2020-02-29 03:00:05,C,FT
J,False,2020-02-29 10:23:36,<6MT,توسعه‌دهنده بک اند,2020-04-30 03:00:06,C,FT
